========================================
me_B1_Frequencies_1_0.1.out
1 atm
T,P1->P2
200.0,2.13808e-14
210.0,2.47992e-14
220.0,2.87625e-14
230.0,3.3344e-14
240.0,3.86228e-14
250.0,4.46835e-14
260.0,5.16162e-14
270.0,5.95163e-14
280.0,6.84843e-14
290.0,7.86251e-14
300.0,9.0048e-14
310.0,1.02866e-13
320.0,1.17197e-13
330.0,1.3316e-13
340.0,1.5088e-13
350.0,1.70482e-13
360.0,1.92094e-13
370.0,2.15848e-13
380.0,2.41875e-13
390.0,2.70311e-13
400.0,3.0129e-13
410.0,3.3495e-13
420.0,3.71427e-13
430.0,4.10861e-13
440.0,4.53389e-13
450.0,4.99152e-13
460.0,5.48289e-13
470.0,6.00939e-13
480.0,6.57243e-13
490.0,7.17339e-13
500.0,7.81367e-13
510.0,8.49465e-13
520.0,9.21772e-13
530.0,9.98424e-13
540.0,1.07956e-12
550.0,1.16531e-12
560.0,1.25582e-12
570.0,1.35122e-12
580.0,1.45164e-12
590.0,1.55721e-12
600.0,1.66807e-12
610.0,1.78434e-12
620.0,1.90616e-12
630.0,2.03365e-12
640.0,2.16694e-12
650.0,2.30615e-12
660.0,2.4514e-12
670.0,2.60282e-12
680.0,2.76053e-12
690.0,2.92465e-12
700.0,3.0953e-12
800.0,5.18541e-12
900.0,8.04566e-12
1000.0,1.1767e-11
1100.0,1.64242e-11
1200.0,2.20772e-11
1300.0,2.87724e-11
1400.0,3.65443e-11
1500.0,4.54178e-11
1600.0,5.54091e-11
1700.0,6.65278e-11
1800.0,7.87776e-11
1900.0,9.21577e-11
2000.0,1.06664e-10
2100.0,1.22288e-10
2200.0,1.39022e-10
2300.0,1.56853e-10
2400.0,1.75768e-10
2500.0,1.95755e-10
2600.0,2.16799e-10
2700.0,2.38884e-10
2800.0,2.61995e-10
2900.0,2.86118e-10
3000.0,3.11236e-10
========================================
me_W1_Frequencies_1_0.1.out
1 atm
T,P1->P2
200.0,2.13808e-14
210.0,2.47992e-14
220.0,2.87625e-14
230.0,3.3344e-14
240.0,3.86228e-14
250.0,4.46835e-14
260.0,5.16162e-14
270.0,5.95164e-14
280.0,6.84843e-14
290.0,7.86251e-14
300.0,9.0048e-14
310.0,1.02866e-13
320.0,1.17197e-13
330.0,1.3316e-13
340.0,1.5088e-13
350.0,1.70482e-13
360.0,1.92094e-13
370.0,2.15848e-13
380.0,2.41876e-13
390.0,2.70311e-13
400.0,3.0129e-13
410.0,3.3495e-13
420.0,3.71427e-13
430.0,4.10861e-13
440.0,4.53389e-13
450.0,4.99152e-13
460.0,5.48289e-13
