========================================
meqz_W2_Frequencies_1_0.1.out
1.0 atm
T,W2->P1
200.0,-4.58324e-15
210.0,-4.76236e-14
220.0,-3.55726e-13
230.0,-4.24909e-12
240.0,-1.68822e-11
250.0,-4.10676e-11
260.0,-1.76594e-10
270.0,5.20777e-10
280.0,1.92985e-09
290.0,9.9568e-09
300.0,3.16693e-08
310.0,8.11767e-08
320.0,3.11881e-07
330.0,2.26052e-06
340.0,6.72326e-06
350.0,8.47369e-06
360.0,1.03052e-05
370.0,3.33884e-05
380.0,0.000113584
390.0,0.00022501
400.0,0.000307152
410.0,0.000784755
420.0,0.00176403
430.0,0.00214266
440.0,0.00509569
450.0,0.00311719
460.0,0.0104455
470.0,0.0270389
480.0,0.0121897
490.0,0.0426587
500.0,0.000970644
510.0,0.061109
520.0,0.129667
530.0,-0.0511132
540.0,0.131887
550.0,0.118342
560.0,-0.162142
570.0,0.225916
580.0,-0.334547
590.0,-0.470881
600.0,0.339652
610.0,-0.616829
620.0,-0.850445
630.0,0.68228
640.0,-0.578974
650.0,-1.78127
660.0,0.739495
670.0,1.15978
680.0,-10.6307
690.0,0.557787
700.0,1.89493
800.0,0.219437
900.0,-24.2973
1000.0,-455.296
1100.0,-97.9057
1200.0,-151.378
1300.0,-331.627
1400.0,-291.615
1500.0,-77.6474
1600.0,440.383
1700.0,3419.92
1800.0,20857.6
1900.0,-102638.0
2000.0,61496.1
2100.0,-34385.1
2200.0,-23410.7
2300.0,-21542.3
2400.0,-16791.2
2500.0,-14634.5
2600.0,-37426.4
2700.0,-41223.2
2800.0,-45673.6
2900.0,-39369.0
========================================
meqz_W1_Frequencies_1_0.1.out
1.0 atm
T,W2->P1
200.0,-6.75167e-15
210.0,-7.05988e-14
220.0,-4.80814e-13
230.0,-3.35188e-12
240.0,-9.41749e-12
250.0,2.93714e-11
260.0,-3.64906e-10
270.0,3.82743e-09
280.0,1.72141e-08
290.0,7.52226e-08
300.0,2.20662e-07
310.0,6.16418e-07
320.0,1.65975e-06
330.0,7.10901e-06
340.0,1.99408e-05
350.0,3.66437e-05
360.0,6.50312e-05
370.0,0.000144788
380.0,0.000400512
390.0,0.000816884
400.0,0.0013902
410.0,0.002974
420.0,0.0047557
430.0,0.0081353
440.0,0.0130568
450.0,0.0189758
460.0,0.029065
470.0,0.0641503
480.0,0.0621557
490.0,0.103752
500.0,0.126124
510.0,0.158197
520.0,0.350465
530.0,0.308297
540.0,0.382568
550.0,0.675037
560.0,0.569777
570.0,0.795268
580.0,0.163203
590.0,0.883722
600.0,1.27826
610.0,1.7973
620.0,1.21139
630.0,2.44445
640.0,4.4919
650.0,1.73298
660.0,3.33851
670.0,9.33904
680.0,-6.53206
690.0,1.84937
700.0,13.5065
800.0,13.7008
900.0,-6.55926
1000.0,-302.254
1100.0,-96.4973
1200.0,-89.9958
1300.0,-335.979
1400.0,-302.911
