========================================
meqz_W1_Energy_1_34.9759.out
0.1 atm
T,W2->P1
250.0,-1.00907e-11
260.0,-5.2835e-11
270.0,-2.14444e-10
280.0,-9.8698e-10
290.0,-3.61673e-09
300.0,-1.25395e-08
310.0,-3.95928e-08
320.0,-1.10624e-07
330.0,-2.84451e-07
340.0,-7.28211e-07
350.0,-1.34682e-06
360.0,-3.99866e-06
370.0,-9.50286e-06
380.0,-1.94549e-05
390.0,-3.62539e-05
400.0,-7.45978e-05
410.0,-0.00014007
420.0,-0.000248984
430.0,-0.000502032
440.0,-0.000643424
450.0,-0.00120982
460.0,-0.00172907
470.0,-0.00261384
480.0,-0.00497204
490.0,-0.0066672
500.0,-0.0113887
510.0,-0.0150339
520.0,-0.0168551
530.0,-0.0349089
540.0,-0.0443695
550.0,-0.0305986
560.0,-0.0909463
570.0,-0.114125
580.0,-0.092537
590.0,-0.200586
600.0,-0.234472
610.0,-0.148665
620.0,-0.347804
630.0,-0.493592
640.0,-0.280606
650.0,-0.795917
660.0,-0.861147
670.0,-0.524179
680.0,-1.12816
690.0,-1.51924
700.0,-0.660197
800.0,-3.02176
900.0,-12.6827
1000.0,-24.074
1100.0,-31.9722
1200.0,-14.1289
1300.0,-64.8621
1400.0,-1.43317
1500.0,61.5997
1600.0,288.943
1700.0,-1367.11
1800.0,-173.429
1900.0,-263.902
2000.0,3327.0
2100.0,18670.4
2200.0,-1042.03
2300.0,171.162
2400.0,447.665
========================================
meqz_W1_Energy_1_34.9759.out
0.5 atm
T,W2->P1
250.0,-8.39935e-13
260.0,-7.18867e-12
270.0,7.29187e-10
280.0,1.52195e-09
290.0,6.32888e-09
300.0,2.19201e-08
310.0,4.67829e-08
320.0,1.20149e-07
330.0,1.71129e-06
340.0,4.07268e-06
350.0,8.72747e-06
360.0,4.45269e-06
370.0,1.59346e-05
380.0,6.51821e-05
390.0,0.000147165
400.0,0.000246973
410.0,0.000494352
420.0,0.000860594
430.0,0.000570618
440.0,0.00317632
450.0,0.00213813
460.0,0.00668855
470.0,0.0144889
480.0,0.00467229
490.0,0.0192115
500.0,-0.00676788
510.0,0.0202323
520.0,0.0809201
530.0,-0.050097
540.0,0.0201373
550.0,0.172315
560.0,-0.176715
570.0,-0.0205306
580.0,-0.336521
590.0,-0.527135
600.0,-0.0830625
610.0,-0.00331368
620.0,-0.388669
630.0,-0.619472
640.0,0.394491
650.0,-2.42181
660.0,-1.48638
670.0,1.3938
680.0,-4.28108
690.0,-3.38597
700.0,2.20073
800.0,-1.51575
900.0,-24.3871
1000.0,-140.566
1100.0,-84.8768
1200.0,-104.565
1300.0,-629.035
1400.0,-107.115
1500.0,-4.88404
1600.0,644.697
1700.0,2594.88
1800.0,105417.0
1900.0,-19350.6
2000.0,50105.6
2100.0,-28477.1
2200.0,-11548.1
2300.0,-9381.55
2400.0,-8293.38
========================================
meqz_W1_Energy_1_34.9759.out
1 atm
T,W2->P1
250.0,1.87194e-10
260.0,1.05726e-09
270.0,6.11645e-09
280.0,2.41655e-08
290.0,9.40211e-08
300.0,3.38663e-07
310.0,1.04534e-06
320.0,3.03287e-06
330.0,9.0441e-06
340.0,2.20499e-05
350.0,5.62585e-05
360.0,0.000108864
370.0,0.000247476
380.0,0.000513209
390.0,0.000957491
400.0,0.00175029
410.0,0.0030715
420.0,0.00492786
430.0,0.00797257
440.0,0.0136635
450.0,0.0205923
460.0,0.0314216
470.0,0.0621993
480.0,0.0629788
490.0,0.0989988
500.0,0.134781
510.0,0.174876
520.0,0.339947
530.0,0.307172
540.0,0.379225
550.0,0.877199
560.0,0.625364
570.0,0.735303
580.0,1.06278
590.0,0.997984
600.0,1.29746
610.0,2.56261
620.0,2.20012
630.0,2.08807
640.0,4.99211
650.0,2.23448
660.0,2.85541
670.0,9.08152
680.0,5.71292
690.0,3.80587
700.0,12.9209
800.0,11.9846
900.0,-1.58241
1000.0,-40.6535
1100.0,-68.5455
1200.0,-71.6165
1300.0,-559.363
1400.0,-248.796
1500.0,-207.592
1600.0,430.79
1700.0,1933.54
1800.0,9878.98
1900.0,885023.0
2000.0,804084.0
2100.0,-34092.0
2200.0,-23816.9
2300.0,-21506.3
2400.0,-19971.7
========================================
meqz_W1_Energy_1_34.9759.out
2 atm
T,W2->P1
250.0,5.30915e-10
260.0,2.96517e-09
270.0,1.47823e-08
280.0,6.1445e-08
290.0,2.38587e-07
300.0,8.73728e-07
310.0,2.80529e-06
320.0,8.36976e-06
330.0,1.94635e-05
340.0,4.77629e-05
350.0,0.00013881
360.0,0.000295197
370.0,0.000623358
380.0,0.00114578
390.0,0.0020648
400.0,0.00379874
410.0,0.00653665
420.0,0.0107146
430.0,0.0183445
440.0,0.0289399
450.0,0.0460709
460.0,0.0674998
470.0,0.137708
480.0,0.144318
490.0,0.227045
500.0,0.335755
510.0,0.397042
520.0,0.76671
530.0,0.826685
540.0,0.924062
550.0,2.10396
560.0,1.81751
570.0,1.94296
580.0,3.99173
590.0,3.34694
600.0,3.64815
610.0,7.85081
620.0,5.91966
630.0,6.33509
640.0,14.0991
650.0,9.4975
660.0,9.65377
670.0,23.2661
680.0,23.2694
690.0,15.07
700.0,32.5493
800.0,48.678
900.0,51.9569
1000.0,163.986
1100.0,15.3611
1200.0,166.258
1300.0,-147.153
1400.0,-299.198
1500.0,-357.57
1600.0,-76.8032
1700.0,461.189
1800.0,3843.13
1900.0,33160.7
2000.0,-224673.0
2100.0,-41028.1
2200.0,-33491.8
2300.0,-32523.3
2400.0,-33370.6
========================================
meqz_W1_Energy_1_34.9759.out
3 atm
T,W2->P1
250.0,7.53556e-10
260.0,4.11958e-09
270.0,2.02568e-08
280.0,8.39575e-08
290.0,3.23967e-07
300.0,1.18215e-06
310.0,3.82685e-06
320.0,1.15062e-05
330.0,2.63355e-05
340.0,6.50204e-05
350.0,0.000188369
360.0,0.000405045
370.0,0.000838645
380.0,0.00152544
390.0,0.00276661
400.0,0.0051189
410.0,0.00890626
420.0,0.0150196
430.0,0.0254662
440.0,0.0408671
450.0,0.0638684
460.0,0.0963497
