========================================
meqz_W1_Energy_1_0.0.out
0.1 atm
T,W2->P1
250.0,-1.55542e-11
260.0,-7.97324e-11
270.0,-3.1502e-10
280.0,-1.32005e-09
290.0,-4.76102e-09
300.0,-1.68077e-08
310.0,-5.23653e-08
320.0,-1.42648e-07
330.0,-3.91649e-07
340.0,-9.14707e-07
350.0,-1.8736e-06
360.0,-5.10783e-06
370.0,-1.21252e-05
380.0,-2.46558e-05
390.0,-4.72418e-05
400.0,-0.000100693
410.0,-0.000180098
420.0,-0.000281804
430.0,-0.000566838
440.0,-0.000776486
450.0,-0.00158851
460.0,-0.00215368
470.0,-0.00271512
480.0,-0.0060024
490.0,-0.00715176
500.0,-0.0141604
510.0,-0.0162926
520.0,-0.0212984
530.0,-0.0436927
540.0,-0.0455191
550.0,-0.0404061
560.0,-0.110778
570.0,-0.11592
580.0,-0.113629
590.0,-0.237299
600.0,-0.241865
610.0,-0.197838
620.0,-0.471857
630.0,-0.411563
640.0,-0.359219
650.0,-0.885234
660.0,-0.714184
670.0,-0.677271
680.0,-1.57788
690.0,-1.25374
700.0,-1.0917
800.0,-3.55159
900.0,-12.9066
1000.0,-38.2254
1100.0,-27.0618
1200.0,-14.7559
1300.0,-45.2092
1400.0,-34.6605
1500.0,64.6762
1600.0,327.504
1700.0,-1490.06
1800.0,-197.109
1900.0,-313.688
2000.0,4926.53
2100.0,23908.6
2200.0,-1181.63
2300.0,227.386
2400.0,494.004
========================================
meqz_W1_Energy_1_0.0.out
0.5 atm
T,W2->P1
250.0,-7.06588e-11
260.0,-3.66856e-10
270.0,-6.81043e-10
280.0,-3.33171e-09
290.0,-1.07953e-08
300.0,-4.13144e-08
310.0,-1.44213e-07
320.0,-3.39774e-07
330.0,2.12199e-07
340.0,1.50816e-06
350.0,-4.64431e-07
360.0,-1.28964e-05
370.0,-2.35967e-05
380.0,-9.84178e-06
390.0,-7.08842e-06
400.0,-0.000123377
410.0,-5.6052e-06
420.0,0.000499372
430.0,-0.000100007
440.0,0.0017591
450.0,-0.00243325
460.0,0.0024869
470.0,0.0126051
480.0,-0.00614214
490.0,0.0149257
500.0,-0.0389228
510.0,0.00882189
520.0,0.0480544
530.0,-0.152806
540.0,0.00955332
550.0,0.0321525
560.0,-0.400727
570.0,-0.0381143
580.0,-0.551849
590.0,-0.92394
600.0,-0.14899
610.0,-0.64294
620.0,-1.69622
630.0,-0.0891247
640.0,-0.61761
650.0,-3.21904
660.0,-0.466965
670.0,0.195701
680.0,-10.9393
690.0,-1.3676
700.0,0.142371
800.0,-3.26292
900.0,-26.9613
1000.0,-361.073
1100.0,-76.0956
1200.0,-113.776
1300.0,-319.013
1400.0,-227.239
1500.0,2.49926
1600.0,359.389
1700.0,2678.66
1800.0,29683.3
1900.0,-29485.5
2000.0,34657.3
2100.0,-30374.3
2200.0,-13188.4
2300.0,-11169.5
2400.0,-8471.58
========================================
meqz_W1_Energy_1_0.0.out
1 atm
T,W2->P1
250.0,6.522e-11
260.0,4.27884e-10
270.0,3.75586e-09
280.0,1.57591e-08
290.0,6.3772e-08
300.0,2.24554e-07
310.0,6.90321e-07
