========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,W2->P1
200,4.51E-18
210,8.62E-17
220,1.30E-15
230,1.54E-14
240,1.49E-13
250,1.19E-12
260,8.20E-12
270,4.91E-11
280,2.57E-10
290,1.20E-09
300,5.12E-09
310,1.96E-08
320,7.03E-08
330,2.30E-07
340,6.99E-07
350,2.00E-06
360,5.39E-06
370,1.39E-05
380,3.38E-05
390,7.82E-05
400,0.000174547
410,0.000374372
420,0.000767584
430,0.00153392
440,0.0029424
450,0.00549241
460,0.0100001
470,0.0177267
480,0.0305799
490,0.0516419
500,0.0851802
510,0.137819
520,0.2186
530,0.340176
540,0.520461
550,0.783204
560,1.16028
570,1.69346
580,2.4286
590,3.44917
600,4.83554
610,6.70383
620,9.1819
630,12.4505
640,16.6815
650,22.1412
660,29.0438
670,37.9524
680,48.9131
690,62.6611
700,79.5697
800,604.381
900,2742.61
1000,8722.94
1100,21514.2
1200,44582.7
1300,82117.4
1400,138716
1500,216405
1600,311144
1700,440160
1800,600845
1900,790545
2000,1002320
2100,1235280
2200,1486580
2300,1773580
2400,2097030
2500,2466610
2600,2908040
2700,3273350
2800,3670750
2900,4107750
3000,4621520
========================================,
meqz_W1_Energy_1_0.0.out,
0.5 atm,
T,W2->P1
200,9.71E-17
210,1.95E-15
220,2.99E-14
230,3.63E-13
240,3.56E-12
250,2.89E-11
260,2.00E-10
270,1.20E-09
280,6.32E-09
290,2.96E-08
300,1.25E-07
310,4.80E-07
320,1.70E-06
330,5.52E-06
340,1.67E-05
350,4.76E-05
360,0.00012721
370,0.000323124
380,0.000779101
390,0.00178945
400,0.00394496
410,0.008358
420,0.0170128
430,0.0335368
440,0.063841
450,0.117979
460,0.21231
470,0.372061
480,0.635214
490,1.06081
500,1.7315
510,2.77121
520,4.34933
530,6.69821
540,10.144
550,15.1128
560,22.1619
570,32.0347
580,45.5818
590,64.1247
600,89.08
610,122.297
620,165.998
630,222.935
640,296.21
650,389.802
660,507.49
670,656.753
680,840.332
690,1067.73
700,1345.7
800,9488.05
900,40390.5
1000,121189
1100,283828
1200,560929
1300,981797
1400,1572480
1500,2340570
1600,3273520
1700,4433850
1800,5790590
1900,7328630
2000,9015710
2100,10866900
2200,12863200
2300,15086400
2400,17481700
2500,20078200
2600,22701100
2700,25370100
2800,28247100
2900,31282300
3000,34630500
========================================,
meqz_W1_Energy_1_0.0.out,
1 atm,
T,W2->P1
200,2.20E-16
210,4.51E-15
220,7.02E-14
230,8.60E-13
240,8.52E-12
250,7.00E-11
260,4.89E-10
270,2.95E-09
280,1.56E-08
290,7.36E-08
300,3.13E-07
310,1.20E-06
320,4.27E-06
330,1.39E-05
340,4.24E-05
350,0.000120784
360,0.000323982
370,0.000823913
380,0.00198904
390,0.00457768
400,0.0100983
410,0.021407
420,0.0436387
430,0.0860318
440,0.163963
450,0.303196
460,0.545682
470,0.95633
480,1.63315
490,2.72724
500,4.45173
510,7.12367
520,11.1785
530,17.2126
540,26.0614
550,38.8168
560,56.904
570,82.2286
580,117.014
590,164.556
600,228.515
610,313.559
620,425.426
630,571.011
640,758.407
650,997.585
660,1298.52
670,1679
680,2147.8
690,2727.63
700,3436.39
800,24092.4
900,101957
1000,303993
1100,707663
1200,1388300
1300,2406970
1400,3815580
1500,5628830
1600,7825630
1700,10492400
1800,13570300
1900,17038700
2000,20840700
2100,25011500
2200,29492900
2300,34420900
2400,39647700
2500,45228400
2600,50893700
2700,56804500
2800,63097700
2900,69612200
3000,76641700
========================================,
meqz_W1_Energy_1_0.0.out,
2 atm,
T,W2->P1
200,4.06E-16
210,8.45E-15
220,1.33E-13
230,1.66E-12
240,1.66E-11
250,1.38E-10
260,9.73E-10
270,5.92E-09
280,3.16E-08
290,1.50E-07
300,6.41E-07
310,2.49E-06
320,8.86E-06
330,2.91E-05
340,8.90E-05
350,0.00025466
360,0.000686223
370,0.00175121
380,0.00424225
390,0.00980018
400,0.021681
410,0.0460842
420,0.0942406
430,0.186208
440,0.355881
450,0.659678
460,1.18963
470,2.08883
480,3.57423
490,5.97883
500,9.77626
510,15.6677
520,24.6218
530,37.9666
540,57.5607
550,85.8412
560,125.99
570,182.269
580,259.739
590,365.648
600,508.276
610,698.037
620,947.917
630,1273.27
640,1692.59
650,2228.13
660,2903.04
670,3755.27
680,4807.92
690,6109.9
700,7702.89
800,54257.4
900,230247
1000,687450
1100,1600930
1200,3135510
1300,5416250
1400,8545950
1500,12553400
1600,17399000
1700,23197100
1800,29841400
1900,37303500
2000,45476200
2100,54425600
2200,64003800
2300,74441200
2400,85409400
2500,97021900
2600,109070000
2700,121564000
2800,134732000
2900,148199000
3000,162532000
========================================,
meqz_W1_Energy_1_0.0.out,
3 atm,
T,W2->P1
200,5.39E-16
210,1.13E-14
220,1.80E-13
230,2.25E-12
240,2.28E-11
250,1.91E-10
260,1.35E-09
270,8.28E-09
280,4.45E-08
290,2.12E-07
300,9.10E-07
310,3.55E-06
