Pressure (atm),Temperature (K),W1_Energy_1_P1->P2,W1_Energy_1_W2->P1,W1_Energy_1_W2->P2
1.0,200.0,2.0511453198996593e-07,-4.413848273900244e-05,-0.14588868952323472
1.0,210.0,-3.073048432921133e-07,-2.516802971960432e-05,-0.06517904651550833
1.0,220.0,-2.622728232496251e-07,-1.7998322713636253e-05,-0.025994735553810152
1.0,230.0,-4.564622916740186e-08,-1.5887454920156493e-05,-0.0081495013538627
1.0,240.0,1.6945809013377444e-07,-1.5634422876477785e-05,-0.0009722561240485418
1.0,250.0,3.156422631336233e-07,-1.5799893646483252e-05,0.0011353590272638596
1.0,260.0,3.7629430082194793e-07,-1.5805915356313562e-05,0.0010582572025284993
1.0,270.0,3.57540325038025e-07,-1.5480797485148642e-05,0.00023328662271523626
1.0,280.0,2.7416489860578583e-07,-1.4831218640330583e-05,-0.0006679745327512229
1.0,290.0,1.4279352680914887e-07,-1.3930623809673674e-05,-0.0013701670701094875
1.0,300.0,-2.1175373885171796e-08,-1.2866910241760562e-05,-0.001795421372572702
1.0,310.0,-2.0473749233860108e-07,-1.1719960717995084e-05,-0.0019575134746465943
1.0,320.0,-3.9752051116238556e-07,-1.0553813110394105e-05,-0.0019067028205419856
1.0,330.0,-5.915997782557968e-07,-9.415655081391061e-06,-0.0017020974735834904
1.0,340.0,-7.811512651168242e-07,-8.337693287365449e-06,-0.0013987994677396498
1.0,350.0,-9.62069926903325e-07,-7.339957239724398e-06,-0.0010428142866258751
1.0,360.0,-1.1316124077942006e-06,-6.433136992317594e-06,-0.0006698823046348197
1.0,370.0,-1.2880872938401582e-06,-5.621081504398692e-06,-0.00030615231895210173
1.0,380.0,-1.430598287707661e-06,-4.9028439973332585e-06,3.0404949427264108e-05
1.0,390.0,-1.5588373643662185e-06,-4.274280741714533e-06,0.00032840586173207213
1.0,400.0,-1.6729216103232845e-06,-3.729258791707383e-06,0.0005815533556819433
1.0,410.0,-1.7732665914977967e-06,-3.2605422789761684e-06,0.0007873374400784648
1.0,420.0,-1.8604894194821492e-06,-2.860424813068939e-06,0.0009459659231283307
1.0,430.0,-1.9353355005263085e-06,-2.521166938026333e-06,0.0010595152358315162
1.0,440.0,-1.9986239037459e-06,-2.235287216474566e-06,0.0011312744512313024
1.0,450.0,-2.0512072057659576e-06,-1.9957455440738323e-06,0.0011652506473804882
1.0,460.0,-2.093942486357546e-06,-1.7960486172521396e-06,0.001165804629013286
1.0,470.0,-2.127670841618238e-06,-1.630300315005596e-06,0.0011373894507214484
1.0,480.0,-2.1532033501807954e-06,-1.4932140412846975e-06,0.0010843684511796271
1.0,490.0,-2.171311886687061e-06,-1.3800996190052983e-06,0.0010108937502446922
1.0,500.0,-2.1827235417032928e-06,-1.2868339108630074e-06,0.0009208299864125611
1.0,510.0,-2.188117694734875e-06,-1.209821757792502e-06,0.000817711340710432
1.0,520.0,-2.1881250118050735e-06,-1.1459518923707295e-06,0.0007047225925172296
1.0,530.0,-2.1833278138545126e-06,-1.0925510523615908e-06,0.0005846971309542054
1.0,540.0,-2.174261397490647e-06,-1.0473384692831354e-06,0.00046012657345264934
1.0,550.0,-2.16141599388732e-06,-1.008382144465404e-06,0.0003331779960410643
1.0,560.0,-2.1452391317171235e-06,-9.740577779858887e-07,0.00020571582786108714
1.0,570.0,-2.126138231288626e-06,-9.430108286398618e-07,7.932626661666335e-05
1.0,580.0,-2.104483303797337e-06,-9.141219136766502e-07,-4.465731650469767e-05
1.0,590.0,-2.0806096650985276e-06,-8.86475573767972e-07,-0.00016512905233292453
1.0,600.0,-2.0548206002532433e-06,-8.593323079045633e-07,-0.0002811860543792513
1.0,610.0,-2.0273899352895708e-06,-8.321037070411895e-07,-0.00039210517379005967
1.0,620.0,-1.998564487711228e-06,-8.04330471308632e-07,-0.0004973213105261818
1.0,630.0,-1.9685663784740237e-06,-7.756630739080041e-07,-0.0005964074274672651
1.0,640.0,-1.9375951963630157e-06,-7.458448283979403e-07,-0.000689056318105954
1.0,650.0,-1.9058300116522672e-06,-7.146971198967313e-07,-0.000775064111838492
1.0,660.0,-1.8734312401635065e-06,-6.82106571091099e-07,-0.0008543154560470126
1.0,670.0,-1.8405423617810957e-06,-6.480139282637076e-07,-0.0009267702854613963
1.0,680.0,-1.807291499451855e-06,-6.124044689885751e-07,-0.0009924520723251168
1.0,690.0,-1.7737928659468294e-06,-5.752997504284986e-07,-0.001051437442377454
1.0,700.0,-1.7401480863771516e-06,-5.36750534444154e-07,-0.001103847039128221
1.0,800.0,-1.4111393550078722e-06,-9.409327554225574e-08,-0.0013109925022916072
1.0,900.0,-1.120973785514331e-06,3.6879086883635497e-07,-0.0011127889056588053
1.0,1000.0,-8.80013610834518e-07,7.58292369060352e-07,-0.0007246241048180051
1.0,1100.0,-6.846742582357679e-07,1.0288325587319732e-06,-0.0002880331701847307
1.0,1200.0,-5.277747926268058e-07,1.1693802438623496e-06,0.00011865549243123199
1.0,1300.0,-4.020706879762257e-07,1.1873979783140272e-06,0.0004581026721700829
1.0,1400.0,-3.013062009593942e-07,1.098355667843889e-06,0.0007167905106303735
1.0,1500.0,-2.203867277680364e-07,9.19965179870963e-07,0.0008940642619521378
1.0,1600.0,-1.5526434898567387e-07,6.693413788548812e-07,0.0009956587968848747
1.0,1700.0,-1.0275388925603257e-07,3.6178511454429667e-07,0.0010300434145375243
1.0,1800.0,-6.035485914045298e-08,1.0406454043564079e-08,0.001006438524844506
1.0,1900.0,-2.6101222656241077e-08,-3.738455791968874e-07,0.0009337941082287421
1.0,2000.0,1.5584600337584185e-09,-7.819769218454973e-07,0.0008203091724694117
1.0,2100.0,2.3854258463028677e-08,-1.2066834560857915e-06,0.0006732482850671678
