========================================
meqz_W1_Energy_1_0.0.out
1 atm
T,W2->P1
200.0,2.20391e-16
210.0,4.50735e-15
220.0,7.01765e-14
230.0,8.59543e-13
240.0,8.52203e-12
250.0,7.00075e-11
260.0,4.89021e-10
270.0,2.95128e-09
280.0,1.56295e-08
290.0,7.36108e-08
300.0,3.12519e-07
310.0,1.20412e-06
320.0,4.2669e-06
330.0,1.39376e-05
340.0,4.23843e-05
350.0,0.000120784
360.0,0.000323982
370.0,0.000823913
380.0,0.00198904
390.0,0.00457768
400.0,0.0100983
410.0,0.021407
420.0,0.0436387
430.0,0.0860318
440.0,0.163963
450.0,0.303196
460.0,0.545682
470.0,0.95633
480.0,1.63315
490.0,2.72724
500.0,4.45173
510.0,7.12367
520.0,11.1785
530.0,17.2126
540.0,26.0614
550.0,38.8168
560.0,56.904
570.0,82.2286
580.0,117.014
590.0,164.556
600.0,228.515
610.0,313.559
620.0,425.426
630.0,571.011
640.0,758.407
650.0,997.585
660.0,1298.52
670.0,1679.0
680.0,2147.8
690.0,2727.63
700.0,3436.39
800.0,24092.4
900.0,101957.0
1000.0,303993.0
1100.0,707663.0
1200.0,1388300.0
1300.0,2406970.0
1400.0,3815580.0
1500.0,5628830.0
1600.0,7825630.0
1700.0,10492400.0
1800.0,13570300.0
1900.0,17038700.0
2000.0,20840700.0
2100.0,25011500.0
2200.0,29492900.0
2300.0,34420900.0
2400.0,39647700.0
2500.0,45228400.0
2600.0,50893700.0
2700.0,56804500.0
2800.0,63097700.0
2900.0,69612200.0
3000.0,76641700.0
========================================
meqz_W1_Energy_1_0.0.out
1 atm
T,W2->P2
200.0,2.59259e-13
210.0,4.61128e-12
220.0,5.77958e-11
230.0,5.7257e-10
240.0,4.66132e-09
250.0,3.22397e-08
260.0,1.86787e-07
270.0,9.18771e-07
280.0,4.08426e-06
290.0,1.62735e-05
300.0,5.55961e-05
310.0,0.000182974
320.0,0.00052905
330.0,0.00146599
340.0,0.00385595
350.0,0.00928566
360.0,0.0216555
370.0,0.0466122
380.0,0.0961236
390.0,0.194571
400.0,0.369537
410.0,0.682321
420.0,1.23873
430.0,2.14007
440.0,3.66033
450.0,6.05611
460.0,9.77135
470.0,15.4382
480.0,23.9267
490.0,36.3874
500.0,54.3817
510.0,79.9798
520.0,115.844
530.0,165.331
540.0,232.836
550.0,323.675
560.0,444.422
570.0,603.213
580.0,809.317
590.0,1074.83
600.0,1413.12
610.0,1840.75
620.0,2375.18
630.0,3039.53
640.0,3855.11
650.0,4850.52
660.0,6053.34
670.0,7511.46
680.0,9240.41
690.0,11294.5
700.0,13715.5
800.0,70603.1
900.0,236461.0
1000.0,584823.0
1100.0,1167850.0
1200.0,2009670.0
1300.0,3103500.0
1400.0,4445780.0
1500.0,6008880.0
1600.0,7759490.0
1700.0,9631250.0
1800.0,11608500.0
1900.0,13699400.0
2000.0,15874300.0
2100.0,18148100.0
2200.0,20433300.0
2300.0,22770500.0
2400.0,25033000.0
2500.0,27280500.0
2600.0,29816000.0
2700.0,32197200.0
2800.0,34509400.0
2900.0,36618700.0
3000.0,38716700.0
========================================
meqz_W1_Energy_1_0.0.out
1 atm
T,P1->P2
200.0,2.66345e-13
210.0,2.67805e-13
220.0,2.68062e-13
230.0,2.67786e-13
240.0,2.67169e-13
250.0,2.66395e-13
260.0,2.65313e-13
270.0,2.6406e-13
280.0,2.62801e-13
290.0,2.61526e-13
300.0,2.60126e-13
310.0,2.58905e-13
320.0,2.57612e-13
330.0,2.56502e-13
340.0,2.55505e-13
350.0,2.5455e-13
360.0,2.53749e-13
370.0,2.5299e-13
380.0,2.5236e-13
390.0,2.51901e-13
400.0,2.51503e-13
410.0,2.51235e-13
420.0,2.51131e-13
430.0,2.51093e-13
440.0,2.51223e-13
450.0,2.51449e-13
460.0,2.51778e-13
470.0,2.52222e-13
480.0,2.52786e-13
490.0,2.53454e-13
500.0,2.54232e-13
510.0,2.55115e-13
520.0,2.56104e-13
530.0,2.57194e-13
540.0,2.58386e-13
550.0,2.59678e-13
560.0,2.61064e-13
570.0,2.62548e-13
580.0,2.64136e-13
590.0,2.65806e-13
600.0,2.67568e-13
610.0,2.69414e-13
620.0,2.71353e-13
630.0,2.73374e-13
640.0,2.75487e-13
650.0,2.77684e-13
660.0,2.79967e-13
670.0,2.8232e-13
680.0,2.84766e-13
690.0,2.87291e-13
700.0,2.89893e-13
800.0,3.20108e-13
900.0,3.57547e-13
1000.0,4.01833e-13
1100.0,4.52725e-13
1200.0,5.10091e-13
1300.0,5.73845e-13
1400.0,6.43918e-13
1500.0,7.20266e-13
1600.0,8.02837e-13
1700.0,8.91604e-13
1800.0,9.86499e-13
1900.0,1.08747e-12
2000.0,1.19445e-12
2100.0,1.30739e-12
2200.0,1.42622e-12
2300.0,1.55086e-12
2400.0,1.68124e-12
2500.0,1.81727e-12
2600.0,1.95888e-12
2700.0,2.10599e-12
2800.0,2.25849e-12
2900.0,2.41632e-12
3000.0,2.57936e-12
