========================================
methink_W2_Frequencies_1_0.1.out
0.1 atm
T,W4->P1
250.0,2.21798e-65
260.0,2.05128e-62
270.0,1.09393e-59
280.0,3.83695e-57
290.0,8.43525e-55
300.0,1.26258e-52
310.0,1.46338e-50
320.0,1.18434e-48
330.0,7.7219e-47
340.0,3.83786e-45
350.0,1.48695e-43
360.0,4.68403e-42
370.0,1.27749e-40
380.0,2.881e-39
390.0,5.40902e-38
400.0,8.94604e-37
410.0,1.28535e-35
420.0,1.61722e-34
430.0,1.79395e-33
440.0,1.80523e-32
450.0,1.6318e-31
460.0,1.33643e-30
470.0,1.01764e-29
480.0,6.94584e-29
490.0,4.48643e-28
500.0,2.65797e-27
510.0,1.44917e-26
520.0,7.53711e-26
530.0,3.62787e-25
540.0,1.66214e-24
550.0,7.12459e-24
560.0,2.93687e-23
570.0,1.15351e-22
580.0,4.28523e-22
590.0,1.49705e-21
600.0,5.09939e-21
610.0,1.66355e-20
620.0,5.25389e-20
630.0,1.60599e-19
640.0,4.71593e-19
650.0,1.33833e-18
660.0,3.59296e-18
670.0,9.57447e-18
680.0,2.48045e-17
690.0,6.23364e-17
700.0,1.52546e-16
800.0,3.25997e-13
900.0,1.22938e-10
1000.0,1.37095e-08
1100.0,6.1479e-07
1200.0,1.44277e-05
1300.0,0.000200367
1400.0,0.00187354
1500.0,0.0126083
1600.0,0.0664187
1700.0,0.277166
1800.0,0.979649
1900.0,3.03373
2000.0,8.09204
2100.0,19.7085
2200.0,42.9333
2300.0,87.8492
2400.0,167.49
2500.0,299.54
2600.0,512.645
2700.0,826.184
2800.0,1282.86
2900.0,1921.04
3000.0,2815.41
========================================
methink_W2_Frequencies_1_0.1.out
0.5 atm
T,W4->P1
250.0,1.89625e-64
260.0,1.67692e-61
270.0,8.67408e-59
280.0,2.93057e-56
290.0,6.32953e-54
300.0,9.41492e-52
310.0,1.06187e-49
320.0,8.52475e-48
330.0,5.45807e-46
340.0,2.67891e-44
350.0,1.0324e-42
360.0,3.23954e-41
370.0,8.71758e-40
380.0,1.94755e-38
390.0,3.64211e-37
400.0,5.97294e-36
410.0,8.5203e-35
420.0,1.06551e-33
430.0,1.17685e-32
440.0,1.17841e-31
450.0,1.05905e-30
460.0,8.64022e-30
470.0,6.52967e-29
480.0,4.44414e-28
490.0,2.852e-27
500.0,1.68183e-26
510.0,9.14884e-26
520.0,4.73175e-25
530.0,2.27138e-24
540.0,1.0356e-23
550.0,4.43174e-23
560.0,1.81896e-22
570.0,7.11407e-22
580.0,2.63403e-21
590.0,9.19494e-21
600.0,3.12013e-20
610.0,1.01573e-19
620.0,3.19696e-19
630.0,9.73191e-19
640.0,2.84904e-18
650.0,8.0617e-18
660.0,2.1629e-17
670.0,5.74818e-17
680.0,1.48517e-16
690.0,3.72327e-16
700.0,9.08946e-16
800.0,1.9063e-12
900.0,7.0756e-10
1000.0,7.78571e-08
1100.0,3.45991e-06
1200.0,8.04718e-05
1300.0,0.00111005
1400.0,0.0103132
1500.0,0.0690501
1600.0,0.361932
1700.0,1.50578
1800.0,5.3017
1900.0,16.3532
2000.0,43.5024
2100.0,105.609
2200.0,229.591
2300.0,468.582
2400.0,891.268
2500.0,1590.08
2600.0,2715.68
2700.0,4365.84
2800.0,6768.61
2900.0,10116.8
3000.0,14788.5
========================================
methink_W2_Frequencies_1_0.1.out
1.0 atm
T,W4->P1
250.0,4.95671e-64
260.0,4.32886e-61
270.0,2.21851e-58
280.0,7.41645e-56
290.0,1.59031e-53
300.0,2.35715e-51
310.0,2.63475e-49
320.0,2.10698e-47
330.0,1.33997e-45
340.0,6.54261e-44
350.0,2.51377e-42
360.0,7.86586e-41
370.0,2.10475e-39
380.0,4.68109e-38
390.0,8.73565e-37
400.0,1.42611e-35
410.0,2.02694e-34
420.0,2.52624e-33
430.0,2.7833e-32
440.0,2.78073e-31
450.0,2.49101e-30
460.0,2.02837e-29
470.0,1.52678e-28
480.0,1.03748e-27
490.0,6.63625e-27
500.0,3.90363e-26
510.0,2.1208e-25
520.0,1.09345e-24
530.0,5.24126e-24
540.0,2.38272e-23
550.0,1.01896e-22
560.0,4.17287e-22
570.0,1.6285e-21
580.0,6.01824e-21
590.0,2.09967e-20
600.0,7.1077e-20
610.0,2.31185e-19
620.0,7.26318e-19
630.0,2.20603e-18
640.0,6.4479e-18
650.0,1.82168e-17
660.0,4.8835e-17
670.0,1.29603e-16
680.0,3.3442e-16
690.0,8.37278e-16
700.0,2.04137e-15
800.0,4.23624e-12
900.0,1.55834e-09
1000.0,1.7015e-07
1100.0,7.52099e-06
1200.0,0.000173996
1300.0,0.00239025
1400.0,0.0221146
1500.0,0.147552
1600.0,0.770964
1700.0,3.20185
1800.0,11.2433
1900.0,34.5923
2000.0,91.842
2100.0,222.448
2200.0,482.891
2300.0,983.831
2400.0,1868.28
2500.0,3327.01
2600.0,5674.52
2700.0,9104.27
2800.0,14100.6
2900.0,21051.4
3000.0,30709.6
========================================
methink_W2_Frequencies_1_0.1.out
2.0 atm
T,W4->P1
250.0,1.40953e-63
260.0,1.22069e-60
270.0,6.21517e-58
280.0,2.06085e-55
290.0,4.39172e-53
300.0,6.49008e-51
310.0,7.19533e-49
320.0,5.73512e-47
330.0,3.62174e-45
340.0,1.75944e-43
350.0,6.73965e-42
360.0,2.10223e-40
370.0,5.58943e-39
380.0,1.23672e-37
390.0,2.30308e-36
400.0,3.73856e-35
410.0,5.29091e-34
420.0,6.56688e-33
430.0,7.21347e-32
440.0,7.18701e-31
450.0,6.41188e-30
460.0,5.20833e-29
470.0,3.89965e-28
480.0,2.6447e-27
490.0,1.68422e-26
500.0,9.87372e-26
510.0,5.35594e-25
520.0,2.74967e-24
530.0,1.31544e-23
540.0,5.95631e-23
550.0,2.54512e-22
560.0,1.03902e-21
570.0,4.04249e-21
580.0,1.48997e-20
590.0,5.1949e-20
600.0,1.75259e-19
610.0,5.69362e-19
620.0,1.78413e-18
630.0,5.40127e-18
640.0,1.57509e-17
650.0,4.44007e-17
660.0,1.189e-16
670.0,3.1491e-16
680.0,8.10996e-16
690.0,2.0266e-15
700.0,4.93182e-15
800.0,1.00753e-11
900.0,3.65571e-09
1000.0,3.94327e-07
1100.0,1.7281e-05
1200.0,0.000396303
1300.0,0.00540676
1400.0,0.0496762
1500.0,0.329539
1600.0,1.71253
1700.0,7.08779
1800.0,24.7771
1900.0,75.8804
2000.0,200.763
2100.0,484.332
2200.0,1048.59
2300.0,2129.65
2400.0,4032.61
2500.0,7160.11
2600.0,12180.1
2700.0,19484.7
2800.0,30111.0
2900.0,44872.9
3000.0,65241.1
========================================
methink_W2_Frequencies_1_0.1.out
4.0 atm
T,W4->P1
250.0,3.92232e-63
260.0,3.40356e-60
270.0,1.73765e-57
280.0,5.76118e-55
290.0,1.23005e-52
300.0,1.82304e-50
310.0,2.01751e-48
320.0,1.61228e-46
330.0,1.01463e-44
340.0,4.92801e-43
350.0,1.88997e-41
360.0,5.89727e-40
370.0,1.56247e-38
380.0,3.44942e-37
390.0,6.42917e-36
400.0,1.04038e-34
410.0,1.46973e-33
420.0,1.82106e-32
430.0,1.99888e-31
440.0,1.9875e-30
450.0,1.76948e-29
460.0,1.4351e-28
470.0,1.07e-27
480.0,7.25221e-27
490.0,4.59965e-26
500.0,2.68945e-25
510.0,1.45829e-24
520.0,7.46001e-24
530.0,3.5643e-23
540.0,1.60923e-22
550.0,6.87248e-22
560.0,2.7968e-21
570.0,1.08469e-20
580.0,3.98871e-20
590.0,1.39127e-19
600.0,4.68157e-19
610.0,1.51849e-18
620.0,4.74551e-18
630.0,1.43162e-17
640.0,4.16447e-17
650.0,1.17113e-16
660.0,3.13715e-16
670.0,8.29005e-16
680.0,2.1296e-15
690.0,5.31065e-15
700.0,1.28968e-14
800.0,2.59024e-11
900.0,9.24246e-09
1000.0,9.81503e-07
1100.0,4.25283e-05
1200.0,0.00096335
1300.0,0.0130154
1400.0,0.118429
1500.0,0.779379
1600.0,4.01672
1700.0,16.5254
1800.0,57.3899
1900.0,174.441
2000.0,459.137
2100.0,1100.99
2200.0,2373.67
2300.0,4796.38
2400.0,9039.78
2500.0,15983.9
2600.0,27065.5
2700.0,43146.9
2800.0,66412.1
2900.0,98666.3
3000.0,142821.0
========================================
methink_W2_Frequencies_1_0.1.out
10.0 atm
T,W4->P1
250.0,1.12535e-62
260.0,9.92056e-60
270.0,5.14682e-57
280.0,1.72737e-54
290.0,3.74238e-52
300.0,5.62331e-50
310.0,6.28121e-48
320.0,5.08605e-46
330.0,3.21788e-44
340.0,1.5774e-42
350.0,6.11149e-41
360.0,1.92347e-39
370.0,5.11682e-38
380.0,1.13578e-36
390.0,2.13366e-35
400.0,3.46707e-34
410.0,4.92195e-33
420.0,6.12883e-32
430.0,6.76521e-31
440.0,6.74171e-30
450.0,6.02627e-29
460.0,4.90095e-28
470.0,3.6566e-27
480.0,2.48857e-26
490.0,1.57785e-25
500.0,9.23919e-25
510.0,5.02808e-24
520.0,2.57309e-23
530.0,1.23222e-22
540.0,5.57089e-22
550.0,2.38371e-21
560.0,9.69653e-21
570.0,3.75746e-20
580.0,1.38267e-19
590.0,4.84095e-19
600.0,1.63055e-18
610.0,5.28821e-18
620.0,1.65158e-17
630.0,4.9746e-17
640.0,1.44599e-16
650.0,4.06358e-16
660.0,1.09307e-15
670.0,2.88609e-15
680.0,7.40308e-15
690.0,1.84496e-14
700.0,4.47721e-14
800.0,8.95296e-11
900.0,3.16376e-08
1000.0,3.32063e-06
1100.0,0.000142658
1200.0,0.00319291
1300.0,0.0427262
1400.0,0.384906
1500.0,2.51252
1600.0,12.8153
1700.0,52.3125
1800.0,180.208
1900.0,541.999
2000.0,1417.32
2100.0,3370.92
2200.0,7226.76
2300.0,14494.6
2400.0,27126.0
2500.0,47689.8
2600.0,80168.4
2700.0,127288.0
2800.0,194720.0
2900.0,287702.0
3000.0,414200.0
========================================
methink_W2_Frequencies_1_0.1.out
25 atm
T,W4->P1
250.0,2.17497e-62
260.0,1.95501e-59
270.0,1.03438e-56
280.0,3.53092e-54
290.0,7.7929e-52
300.0,1.19171e-49
310.0,1.35093e-47
320.0,1.11244e-45
330.0,7.12154e-44
340.0,3.54002e-42
350.0,1.39153e-40
360.0,4.43754e-39
370.0,1.19238e-37
380.0,2.67577e-36
390.0,5.08684e-35
400.0,8.34778e-34
410.0,1.19675e-32
420.0,1.50485e-31
430.0,1.67795e-30
440.0,1.68409e-29
450.0,1.51868e-28
460.0,1.24412e-27
470.0,9.33926e-27
480.0,6.40783e-26
490.0,4.08302e-25
500.0,2.40557e-24
510.0,1.3186e-23
520.0,6.78265e-23
530.0,3.26842e-22
540.0,1.48607e-21
550.0,6.39213e-21
560.0,2.61072e-20
570.0,1.01517e-19
580.0,3.75303e-19
590.0,1.32242e-18
600.0,4.47549e-18
610.0,1.45641e-17
620.0,4.56265e-17
630.0,1.37777e-16
