Pressure (atm),Temperature (K),B0_SymmetryFactor_1_W4->P2,B0_SymmetryFactor_1_P1->P2,B0_SymmetryFactor_1_W4->P1,B0_Energy_1_W4->P2,B0_Energy_1_P1->P2,B0_Energy_1_W4->P1,B0_Frequencies_1_W4->P2,B0_Frequencies_1_P1->P2,B0_Frequencies_1_W4->P1
0.1,250.0,-5.141976830021924e-08,-0.03545908612569718,-0.04908409779816295,8.876314863146851e-07,-0.10294608416023417,-0.18237676421181134,2.2162149211005583e-08,-6.443277212947201e-05,-4.627946453485742e-05
0.1,260.0,4.3960474068551857e-07,-0.034777502806716376,-0.04868408270973164,-7.6276420187886e-06,-0.09744380722108398,-0.17422839442619545,-2.106097039531878e-07,-6.375988997399044e-05,-0.00025834822609327636
0.1,270.0,-1.221347155253246e-06,-0.03431887791098251,-0.04821484736711263,2.2313279809623972e-05,-0.0960982625346181,-0.17780461038889672,7.384998613444189e-07,-0.00013282334955685401,2.0454106893258423e-05
0.1,280.0,1.3676922043294833e-06,-0.03376481076479606,-0.047722422271363835,-1.9929800618871362e-05,-0.09370137659241608,-0.1783195509059997,-4.902290610703504e-07,-0.00018117008634390626,-3.498416926226865e-05
0.1,290.0,2.803604692397197e-07,-0.033046946451737044,-0.046728290285226445,-1.2187874416779353e-05,-0.08756608220179932,-0.16656023897136565,-7.71692014894424e-07,-0.00021383205763256613,-9.844921028794214e-05
0.1,300.0,-9.40791888034743e-07,-0.03234312653988863,-0.04568286258824907,1.1639825755829476e-05,-0.08109698589081499,-0.15298116517429985,2.576982862273206e-07,-0.0002415899320030445,-9.724957641452824e-05
0.1,310.0,-4.6541693587644965e-07,-0.03175751231754847,-0.04493188846694782,1.7966945222128775e-05,-0.07661104286598133,-0.14516545467867592,1.2853988515376476e-06,-0.0002724548534233236,-7.2018827062731e-05
0.1,320.0,6.065950994644132e-07,-0.0312856530028127,-0.04449716373049089,6.812901370674597e-06,-0.07419338758160089,-0.14367664843272365,1.2258687464825107e-06,-0.00031070148800732366,-5.7130216656878985e-05
0.1,330.0,7.382726437350959e-07,-0.030876060710794972,-0.044233365625281976,-8.214315211952322e-06,-0.07287194067653696,-0.1455232510269244,-1.2864448667241823e-07,-0.0003573395117689798,-6.074363293793628e-05
0.1,340.0,-6.412968721320872e-07,-0.030479898563454833,-0.04398610533100276,-1.678434411566323e-05,-0.07166382887524286,-0.1474989803377258,-2.3123755390345297e-06,-0.00041138749965711753,-7.707465061470079e-05
0.1,350.0,-3.1162003785355593e-06,-0.030069950222325514,-0.043661878378460646,-1.6274672872724035e-05,-0.07000170449340469,-0.14765258039687165,-4.620573283884457e-06,-0.0004711736153399503,-9.818192329737135e-05
0.1,360.0,-5.821436281393388e-06,-0.029639871275088225,-0.04323327765512171,-9.417570337528486e-06,-0.06774079698042243,-0.14540640587373665,-6.4451317812042335e-06,-0.0005351946515689185,-0.00011899887636853666
