========================================
methink_B0_SymmetryFactor_1_0.1.out
0.1 atm
T,W4->P1
250.0,2.20769e-65
260.0,2.04184e-62
270.0,1.08894e-59
280.0,3.81927e-57
290.0,8.39821e-55
300.0,1.25709e-52
310.0,1.45708e-50
320.0,1.17937e-48
330.0,7.68871e-47
340.0,3.82195e-45
350.0,1.48086e-43
360.0,4.66486e-42
370.0,1.27226e-40
380.0,2.86933e-39
390.0,5.38737e-38
400.0,8.91133e-37
410.0,1.28043e-35
420.0,1.61112e-34
430.0,1.78725e-33
440.0,1.79845e-32
450.0,1.6258e-31
460.0,1.33149e-30
470.0,1.01396e-29
480.0,6.9209e-29
490.0,4.4701e-28
500.0,2.64854e-27
510.0,1.44399e-26
520.0,7.51098e-26
530.0,3.61524e-25
540.0,1.6565e-24
550.0,7.10046e-24
560.0,2.92696e-23
570.0,1.14963e-22
580.0,4.27092e-22
590.0,1.49202e-21
600.0,5.08283e-21
610.0,1.65808e-20
620.0,5.2366e-20
630.0,1.60082e-19
640.0,4.70083e-19
650.0,1.33407e-18
660.0,3.58169e-18
670.0,9.54462e-18
680.0,2.47272e-17
690.0,6.21431e-17
700.0,1.52075e-16
800.0,3.25047e-13
900.0,1.22595e-10
1000.0,1.36729e-08
1100.0,6.1321e-07
1200.0,1.43917e-05
1300.0,0.000199883
1400.0,0.00186911
1500.0,0.0125799
1600.0,0.0662728
1700.0,0.276563
1800.0,0.977583
1900.0,3.02741
2000.0,8.07552
2100.0,19.6691
2200.0,42.8489
2300.0,87.6791
2400.0,167.171
2500.0,298.983
2600.0,511.697
2700.0,824.705
2800.0,1280.56
2900.0,1917.65
3000.0,2810.51
========================================
methink_B0_SymmetryFactor_1_0.1.out
0.5 atm
T,W4->P1
250.0,1.88728e-64
260.0,1.66911e-61
270.0,8.6342e-59
280.0,2.91691e-56
290.0,6.30144e-54
300.0,9.37344e-52
310.0,1.05727e-49
320.0,8.48848e-48
330.0,5.43434e-46
340.0,2.66769e-44
350.0,1.02813e-42
360.0,3.22615e-41
370.0,8.68149e-40
380.0,1.93958e-38
390.0,3.62737e-37
400.0,5.94951e-36
410.0,8.48734e-35
420.0,1.06145e-33
430.0,1.17242e-32
440.0,1.17393e-31
450.0,1.05512e-30
460.0,8.60795e-30
470.0,6.50582e-29
480.0,4.42802e-28
490.0,2.84151e-27
500.0,1.67581e-26
510.0,9.11579e-26
520.0,4.71517e-25
530.0,2.26338e-24
540.0,1.03205e-23
550.0,4.41657e-23
560.0,1.81276e-22
570.0,7.0899e-22
580.0,2.62514e-21
590.0,9.16366e-21
600.0,3.10989e-20
610.0,1.01235e-19
620.0,3.18631e-19
630.0,9.70025e-19
640.0,2.83982e-18
650.0,8.03574e-18
660.0,2.15606e-17
670.0,5.73006e-17
680.0,1.48049e-16
690.0,3.7116e-16
700.0,9.06111e-16
800.0,1.90068e-12
900.0,7.05566e-10
1000.0,7.7647e-08
1100.0,3.45092e-06
1200.0,8.02691e-05
1300.0,0.00110734
1400.0,0.0102885
1500.0,0.0688931
1600.0,0.361128
1700.0,1.50247
1800.0,5.29038
1900.0,16.3188
2000.0,43.4126
2100.0,105.395
2200.0,229.133
2300.0,467.663
2400.0,889.55
2500.0,1587.09
2600.0,2710.61
2700.0,4357.94
2800.0,6756.32
2900.0,10098.8
3000.0,14762.4
========================================
methink_B0_SymmetryFactor_1_0.1.out
1.0 atm
T,W4->P1
250.0,4.93284e-64
260.0,4.30834e-61
270.0,2.20814e-58
280.0,7.38124e-56
290.0,1.58313e-53
300.0,2.34658e-51
310.0,2.62313e-49
320.0,2.09785e-47
330.0,1.33404e-45
340.0,6.51472e-44
350.0,2.50317e-42
360.0,7.83274e-41
370.0,2.09587e-39
380.0,4.66156e-38
390.0,8.69962e-37
400.0,1.42042e-35
410.0,2.01896e-34
420.0,2.51644e-33
430.0,2.77262e-32
440.0,2.76996e-31
450.0,2.48159e-30
460.0,2.02065e-29
470.0,1.5211e-28
480.0,1.03365e-27
490.0,6.61136e-27
500.0,3.88939e-26
510.0,2.11298e-25
520.0,1.08955e-24
530.0,5.22245e-24
540.0,2.3744e-23
550.0,1.0154e-22
560.0,4.15836e-22
570.0,1.62286e-21
580.0,5.99756e-21
590.0,2.09239e-20
600.0,7.08394e-20
610.0,2.30402e-19
620.0,7.23852e-19
630.0,2.19872e-18
640.0,6.42663e-18
650.0,1.8157e-17
660.0,4.86774e-17
670.0,1.29187e-16
680.0,3.33345e-16
690.0,8.34603e-16
700.0,2.03489e-15
800.0,4.22351e-12
900.0,1.55386e-09
1000.0,1.69682e-07
1100.0,7.50107e-06
1200.0,0.000173549
1300.0,0.0023843
1400.0,0.0220606
1500.0,0.14721
1600.0,0.76922
1700.0,3.19466
1800.0,11.2189
1900.0,34.518
2000.0,91.6487
2100.0,221.989
2200.0,481.911
2300.0,981.869
2400.0,1864.62
2500.0,3320.65
2600.0,5663.74
2700.0,9087.56
2800.0,14074.5
2900.0,21013.4
3000.0,30654.6
========================================
methink_B0_SymmetryFactor_1_0.1.out
2.0 atm
T,W4->P1
250.0,1.4026e-63
260.0,1.21476e-60
270.0,6.1854e-58
280.0,2.05082e-55
290.0,4.37138e-53
300.0,6.46024e-51
310.0,7.16274e-49
320.0,5.70959e-47
330.0,3.60525e-45
340.0,1.75172e-43
350.0,6.71039e-42
360.0,2.09312e-40
370.0,5.56512e-39
380.0,1.2314e-37
390.0,2.29328e-36
400.0,3.72316e-35
410.0,5.26941e-34
420.0,6.5406e-33
430.0,7.1849e-32
440.0,7.15824e-31
450.0,6.38683e-30
460.0,5.18783e-29
470.0,3.88466e-28
480.0,2.6346e-27
490.0,1.67768e-26
500.0,9.83646e-26
510.0,5.33551e-25
520.0,2.73952e-24
530.0,1.31056e-23
540.0,5.93479e-23
550.0,2.53593e-22
560.0,1.03528e-21
570.0,4.028e-21
580.0,1.48466e-20
590.0,5.1762e-20
600.0,1.74652e-19
610.0,5.67363e-19
620.0,1.77784e-18
630.0,5.38272e-18
640.0,1.56971e-17
650.0,4.42497e-17
660.0,1.18502e-16
670.0,3.13861e-16
680.0,8.08294e-16
690.0,2.01989e-15
700.0,4.91556e-15
800.0,1.00438e-11
900.0,3.6448e-09
1000.0,3.93201e-07
1100.0,1.72335e-05
1200.0,0.000395246
1300.0,0.0053928
1400.0,0.0495502
1500.0,0.328748
1600.0,1.70852
1700.0,7.07131
1800.0,24.7214
1900.0,75.7121
2000.0,200.326
2100.0,483.299
2200.0,1046.39
2300.0,2125.27
2400.0,4024.47
2500.0,7146.04
2600.0,12156.3
2700.0,19448.0
2800.0,30053.8
2900.0,44789.8
3000.0,65121.0
========================================
methink_B0_SymmetryFactor_1_0.1.out
4.0 atm
T,W4->P1
250.0,3.9029e-63
260.0,3.38695e-60
270.0,1.72926e-57
280.0,5.73303e-55
290.0,1.2243e-52
300.0,1.81457e-50
310.0,2.00826e-48
320.0,1.60501e-46
330.0,1.00997e-44
340.0,4.90611e-43
350.0,1.88165e-41
360.0,5.87134e-40
370.0,1.55558e-38
380.0,3.43437e-37
390.0,6.4014e-36
400.0,1.03601e-34
410.0,1.46365e-33
420.0,1.81363e-32
430.0,1.9908e-31
440.0,1.97938e-30
450.0,1.76242e-29
460.0,1.42934e-28
470.0,1.0658e-27
480.0,7.22387e-27
490.0,4.58141e-26
500.0,2.67906e-25
510.0,1.4526e-24
520.0,7.43177e-24
