========================================
methink_W0_Energy_1_0.0.out
0.1 atm
T,W4->P1
250.0,2.21804e-65
260.0,2.05137e-62
270.0,1.09393e-59
280.0,3.83693e-57
290.0,8.4352e-55
300.0,1.26258e-52
310.0,1.46336e-50
320.0,1.18436e-48
330.0,7.72188e-47
340.0,3.83784e-45
350.0,1.48695e-43
360.0,4.68403e-42
370.0,1.27749e-40
380.0,2.88101e-39
390.0,5.40904e-38
400.0,8.94606e-37
410.0,1.28535e-35
420.0,1.61722e-34
430.0,1.79394e-33
440.0,1.80523e-32
450.0,1.6318e-31
460.0,1.33643e-30
470.0,1.01763e-29
480.0,6.94584e-29
490.0,4.48644e-28
500.0,2.65797e-27
510.0,1.44917e-26
520.0,7.5371e-26
530.0,3.62786e-25
540.0,1.66214e-24
550.0,7.12458e-24
560.0,2.93687e-23
570.0,1.15351e-22
580.0,4.28523e-22
590.0,1.49706e-21
600.0,5.09938e-21
610.0,1.66355e-20
620.0,5.25389e-20
630.0,1.60599e-19
640.0,4.71593e-19
650.0,1.33833e-18
660.0,3.59295e-18
670.0,9.57449e-18
680.0,2.48045e-17
690.0,6.23365e-17
700.0,1.52546e-16
800.0,3.25997e-13
900.0,1.22938e-10
1000.0,1.37095e-08
1100.0,6.1479e-07
1200.0,1.44277e-05
1300.0,0.000200367
1400.0,0.00187354
1500.0,0.0126083
1600.0,0.0664187
1700.0,0.277166
1800.0,0.979651
1900.0,3.03373
2000.0,8.09204
2100.0,19.7085
2200.0,42.9333
2300.0,87.8493
2400.0,167.49
2500.0,299.541
2600.0,512.646
2700.0,826.185
2800.0,1282.86
2900.0,1921.04
3000.0,2815.41
========================================
methink_W0_Energy_1_0.0.out
0.5 atm
T,W4->P1
250.0,1.89626e-64
260.0,1.67692e-61
270.0,8.67409e-59
280.0,2.93057e-56
290.0,6.32954e-54
300.0,9.41492e-52
310.0,1.06187e-49
320.0,8.52477e-48
330.0,5.45807e-46
340.0,2.67891e-44
350.0,1.03241e-42
360.0,3.23955e-41
370.0,8.71758e-40
380.0,1.94755e-38
390.0,3.64211e-37
400.0,5.97294e-36
410.0,8.5203e-35
420.0,1.06551e-33
430.0,1.17685e-32
440.0,1.17841e-31
450.0,1.05905e-30
460.0,8.64022e-30
470.0,6.52967e-29
480.0,4.44414e-28
490.0,2.852e-27
500.0,1.68183e-26
510.0,9.14884e-26
520.0,4.73175e-25
530.0,2.27138e-24
540.0,1.0356e-23
550.0,4.43174e-23
560.0,1.81897e-22
570.0,7.11408e-22
580.0,2.63403e-21
590.0,9.19494e-21
600.0,3.12013e-20
610.0,1.01573e-19
620.0,3.19696e-19
630.0,9.73192e-19
640.0,2.84905e-18
650.0,8.0617e-18
660.0,2.16291e-17
670.0,5.74818e-17
680.0,1.48517e-16
690.0,3.72327e-16
700.0,9.08946e-16
800.0,1.9063e-12
900.0,7.0756e-10
1000.0,7.78571e-08
1100.0,3.45991e-06
1200.0,8.04719e-05
1300.0,0.00111005
1400.0,0.0103132
1500.0,0.0690502
1600.0,0.361932
1700.0,1.50578
1800.0,5.30171
1900.0,16.3532
2000.0,43.5025
2100.0,105.609
2200.0,229.591
2300.0,468.582
2400.0,891.269
2500.0,1590.08
2600.0,2715.69
2700.0,4365.85
2800.0,6768.62
2900.0,10116.9
3000.0,14788.5
========================================
methink_W0_Energy_1_0.0.out
1.0 atm
T,W4->P1
250.0,4.9567e-64
260.0,4.32887e-61
270.0,2.21852e-58
280.0,7.4164e-56
290.0,1.59031e-53
300.0,2.35715e-51
310.0,2.63475e-49
320.0,2.10698e-47
330.0,1.33998e-45
340.0,6.54262e-44
350.0,2.51377e-42
360.0,7.86586e-41
370.0,2.10475e-39
380.0,4.68109e-38
390.0,8.73566e-37
400.0,1.42611e-35
410.0,2.02694e-34
420.0,2.52624e-33
430.0,2.7833e-32
440.0,2.78074e-31
450.0,2.49101e-30
460.0,2.02837e-29
470.0,1.52678e-28
480.0,1.03748e-27
490.0,6.63625e-27
500.0,3.90363e-26
510.0,2.1208e-25
520.0,1.09345e-24
530.0,5.24126e-24
540.0,2.38272e-23
550.0,1.01896e-22
560.0,4.17287e-22
570.0,1.6285e-21
580.0,6.01825e-21
590.0,2.09968e-20
600.0,7.10771e-20
610.0,2.31185e-19
620.0,7.26319e-19
630.0,2.20603e-18
640.0,6.4479e-18
650.0,1.82168e-17
660.0,4.8835e-17
670.0,1.29603e-16
680.0,3.3442e-16
690.0,8.37278e-16
700.0,2.04138e-15
800.0,4.23625e-12
900.0,1.55834e-09
1000.0,1.7015e-07
1100.0,7.521e-06
1200.0,0.000173997
1300.0,0.00239025
1400.0,0.0221146
1500.0,0.147552
1600.0,0.770965
1700.0,3.20185
1800.0,11.2433
1900.0,34.5924
2000.0,91.8422
2100.0,222.449
2200.0,482.892
2300.0,983.834
2400.0,1868.29
2500.0,3327.03
2600.0,5674.55
2700.0,9104.31
2800.0,14100.6
2900.0,21051.6
3000.0,30709.7
========================================
methink_W0_Energy_1_0.0.out
2.0 atm
T,W4->P1
250.0,1.40954e-63
260.0,1.22068e-60
270.0,6.2152e-58
280.0,2.06085e-55
290.0,4.39173e-53
300.0,6.49009e-51
310.0,7.19532e-49
320.0,5.73514e-47
330.0,3.62175e-45
340.0,1.75944e-43
350.0,6.73965e-42
360.0,2.10224e-40
370.0,5.58944e-39
380.0,1.23672e-37
390.0,2.30309e-36
400.0,3.73857e-35
410.0,5.29091e-34
420.0,6.56689e-33
430.0,7.21348e-32
440.0,7.18701e-31
450.0,6.41189e-30
460.0,5.20833e-29
470.0,3.89965e-28
480.0,2.64471e-27
490.0,1.68422e-26
500.0,9.87373e-26
510.0,5.35594e-25
