    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
            -10    2.40133e+10    2.95513e+08              0
           -9.8    2.48815e+10    3.17528e+08              0
           -9.6    2.57773e+10    3.40692e+08              0
           -9.4    2.67012e+10    3.65051e+08              0
           -9.2    2.76551e+10     3.9063e+08              0
             -9    2.86388e+10    4.17485e+08              0
           -8.8    2.96538e+10    4.45647e+08              0
           -8.6    3.07002e+10    4.75168e+08              0
           -8.4    3.17796e+10    5.06078e+08              0
           -8.2    3.28924e+10     5.3842e+08              0
             -8    3.40392e+10    5.72234e+08              0
           -7.8    3.52218e+10     6.0754e+08              0
           -7.6    3.64404e+10    6.44383e+08              0
           -7.4     3.7697e+10    6.82774e+08              0
           -7.2    3.89914e+10    7.22768e+08              0
             -7    4.03255e+10    7.64377e+08              0
           -6.8    4.16998e+10    8.07642e+08              0
           -6.6    4.31155e+10    8.52597e+08              0
           -6.4    4.45736e+10    8.99279e+08              0
           -6.2    4.60749e+10    9.47728e+08              0
             -6    4.76219e+10    9.97958e+08              0
           -5.8    4.92143e+10    1.05004e+09              0
           -5.6    5.08543e+10    1.10399e+09              0
           -5.4    5.25423e+10    1.15986e+09              0
           -5.2    5.42802e+10    1.21768e+09              0
             -5    5.60688e+10     1.2775e+09              0
           -4.8     5.7909e+10    1.33937e+09              0
           -4.6    5.98033e+10     1.4033e+09              0
           -4.4    6.17522e+10    1.46933e+09              0
           -4.2     6.3758e+10    1.53748e+09              0
             -4    6.58208e+10    1.60781e+09              0
           -3.8    6.79432e+10    1.68034e+09              0
           -3.6     7.0126e+10    1.75509e+09              0
           -3.4    7.23707e+10    1.83211e+09              0
           -3.2    7.46791e+10    1.91142e+09              0
             -3    7.70523e+10    1.99307e+09              0
           -2.8    7.94934e+10    2.07704e+09              0
           -2.6    8.20022e+10    2.16343e+09              0
           -2.4    8.45817e+10    2.25222e+09              0
           -2.2    8.72328e+10    2.34348e+09              0
             -2    8.99578e+10    2.43723e+09              0
           -1.8    9.27578e+10    2.53352e+09              0
           -1.6    9.56347e+10    2.63238e+09              0
           -1.4    9.85913e+10    2.73381e+09              0
           -1.2    1.01629e+11    2.83788e+09              0
             -1    1.04749e+11     2.9446e+09              0
           -0.8    1.07955e+11    3.05401e+09              0
           -0.6    1.11247e+11    3.16613e+09              0
           -0.4    1.14629e+11    3.28099e+09              0
           -0.2    1.18101e+11    3.39864e+09              0
   -6.93946e-15    1.21666e+11    3.51908e+09              0
            0.2    1.25327e+11    3.64236e+09    7.58096e+06
            0.4    1.29086e+11    3.76846e+09    6.51451e+07
            0.6    1.32945e+11    3.89746e+09    2.25753e+08
            0.8    1.36906e+11    4.02936e+09     5.3639e+08
              1    1.40972e+11     4.1642e+09     1.0134e+09
            1.2    1.45145e+11      4.302e+09    1.60823e+09
            1.4    1.49427e+11    4.44281e+09     2.2722e+09
            1.6    1.53821e+11    4.58665e+09     2.8647e+09
            1.8     1.5833e+11    4.73351e+09    3.44785e+09
              2    1.62956e+11    4.88346e+09    4.10843e+09
            2.2    1.67703e+11    5.03649e+09    4.81798e+09
            2.4    1.72571e+11    5.19267e+09    5.61309e+09
            2.6    1.77566e+11    5.35197e+09    6.46273e+09
            2.8    1.82688e+11    5.51446e+09    7.39336e+09
              3    1.87941e+11    5.68017e+09    8.37256e+09
            3.2    1.93329e+11    5.84907e+09    9.41291e+09
            3.4    1.98853e+11    6.02123e+09    1.05115e+10
            3.6    2.04518e+11    6.19662e+09     1.1628e+10
            3.8    2.10326e+11    6.37532e+09    1.27987e+10
              4     2.1628e+11     6.5573e+09    1.40336e+10
            4.2    2.22384e+11    6.74262e+09    1.52998e+10
            4.4    2.28641e+11    6.93129e+09    1.65886e+10
            4.6    2.35053e+11    7.12334e+09    1.79219e+10
            4.8    2.41625e+11    7.31879e+09    1.93216e+10
              5    2.48361e+11    7.51762e+09     2.0809e+10
            5.2    2.55263e+11    7.71991e+09    2.24246e+10
            5.4    2.62335e+11    7.92563e+09     2.4184e+10
            5.6    2.69582e+11    8.13484e+09    2.60344e+10
            5.8    2.77006e+11    8.34752e+09    2.80017e+10
              6    2.84612e+11    8.56373e+09    3.00291e+10
            6.2    2.92402e+11    8.78348e+09    3.21137e+10
            6.4    3.00382e+11    9.00675e+09    3.43676e+10
            6.6    3.08556e+11    9.23359e+09    3.67918e+10
            6.8    3.16927e+11    9.46399e+09    3.93228e+10
              7      3.255e+11      9.698e+09    4.18792e+10
            7.2    3.34279e+11    9.93559e+09    4.45087e+10
            7.4    3.43268e+11    1.01768e+10    4.72339e+10
            7.6    3.52471e+11    1.04217e+10    5.00403e+10
            7.8    3.61894e+11    1.06702e+10    5.29247e+10
              8    3.71539e+11    1.09224e+10    5.58672e+10
            8.2    3.81414e+11    1.11783e+10    5.88857e+10
            8.4    3.91522e+11    1.14379e+10    6.19837e+10
            8.6    4.01868e+11    1.17011e+10    6.51233e+10
            8.8    4.12457e+11    1.19681e+10    6.83037e+10
              9    4.23293e+11    1.22389e+10    7.15208e+10
            9.2    4.34382e+11    1.25134e+10    7.48031e+10
            9.4    4.45729e+11    1.27917e+10    7.81781e+10
            9.6    4.57339e+11    1.30737e+10    8.16477e+10
            9.8    4.69218e+11    1.33595e+10    8.52077e+10
             10    4.81372e+11    1.36491e+10    8.88439e+10
           10.2    4.93805e+11    1.39426e+10    9.25948e+10
           10.4    5.06523e+11    1.42398e+10    9.64558e+10
           10.6    5.19533e+11    1.45409e+10    1.00446e+11
           10.8    5.32838e+11    1.48458e+10     1.0464e+11
             11    5.46447e+11    1.51545e+10    1.09021e+11
           11.2    5.60364e+11    1.54671e+10    1.13504e+11
           11.4    5.74597e+11    1.57836e+10    1.18038e+11
           11.6    5.89151e+11    1.61039e+10    1.22633e+11
           11.8    6.04033e+11    1.64282e+10     1.2735e+11
             12    6.19248e+11    1.67563e+10    1.32227e+11
           12.2    6.34804e+11    1.70883e+10    1.37209e+11
           12.4    6.50707e+11    1.74242e+10    1.42252e+11
           12.6    6.66964e+11     1.7764e+10    1.47356e+11
