    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
            -10    2.35892e+10    3.00826e+08              0
           -9.8    2.44435e+10    3.23217e+08              0
           -9.6    2.53258e+10    3.46766e+08              0
           -9.4    2.62357e+10    3.71528e+08              0
           -9.2    2.71748e+10    3.97534e+08              0
             -9    2.81434e+10    4.24832e+08              0
           -8.8    2.91425e+10    4.53465e+08              0
           -8.6     3.0173e+10     4.8347e+08              0
           -8.4    3.12353e+10    5.14896e+08              0
           -8.2    3.23315e+10     5.4776e+08              0
             -8    3.34612e+10    5.82118e+08              0
           -7.8    3.46262e+10    6.17989e+08              0
           -7.6    3.58268e+10    6.55419e+08              0
           -7.4    3.70643e+10    6.94429e+08              0
           -7.2    3.83396e+10    7.35055e+08              0
             -7    3.96532e+10    7.77335e+08              0
           -6.8    4.10073e+10    8.21282e+08              0
           -6.6    4.24019e+10    8.66946e+08              0
           -6.4    4.38391e+10    9.14346e+08              0
           -6.2    4.53189e+10    9.63539e+08              0
             -6    4.68431e+10    1.01455e+09              0
           -5.8    4.84126e+10    1.06742e+09              0
           -5.6    5.00284e+10    1.12221e+09              0
           -5.4    5.16921e+10    1.17893e+09              0
           -5.2    5.34044e+10    1.23765e+09              0
             -5    5.51677e+10    1.29837e+09              0
           -4.8    5.69821e+10    1.36116e+09              0
           -4.6    5.88496e+10    1.42604e+09              0
           -4.4    6.07711e+10    1.49305e+09              0
           -4.2    6.27483e+10    1.56222e+09              0
             -4    6.47822e+10    1.63359e+09              0
           -3.8    6.68741e+10     1.7072e+09              0
           -3.6    6.90265e+10    1.78305e+09              0
           -3.4      7.124e+10    1.86119e+09              0
           -3.2    7.35169e+10    1.94164e+09              0
             -3    7.58577e+10    2.02445e+09              0
           -2.8    7.82649e+10    2.10965e+09              0
           -2.6    8.07395e+10    2.19726e+09              0
           -2.4    8.32831e+10    2.28734e+09              0
           -2.2     8.5898e+10     2.3799e+09              0
             -2    8.85854e+10    2.47499e+09              0
           -1.8     9.1348e+10    2.57262e+09              0
           -1.6    9.41864e+10    2.67285e+09              0
           -1.4    9.71034e+10     2.7757e+09              0
           -1.2      1.001e+11    2.88121e+09              0
             -1    1.03179e+11    2.98942e+09              0
           -0.8    1.06341e+11    3.10034e+09              0
           -0.6     1.0959e+11    3.21402e+09              0
           -0.4    1.12926e+11    3.33045e+09              0
           -0.2    1.16353e+11     3.4497e+09              0
   -6.93946e-15    1.19872e+11    3.57176e+09              0
            0.2    1.23485e+11    3.69669e+09    7.69405e+06
            0.4    1.27195e+11     3.8245e+09    6.61138e+07
            0.6    1.31003e+11    3.95522e+09    2.29098e+08
            0.8    1.34913e+11     4.0889e+09    5.44317e+08
              1    1.38926e+11    4.22554e+09    1.02833e+09
            1.2    1.43044e+11    4.36518e+09    1.63185e+09
            1.4    1.47272e+11    4.50782e+09    2.30545e+09
            1.6     1.5161e+11    4.65354e+09    2.90648e+09
            1.8    1.56062e+11    4.80232e+09    3.49797e+09
              2    1.60629e+11    4.95421e+09    4.16796e+09
            2.2    1.65315e+11    5.10925e+09    4.88759e+09
            2.4    1.70122e+11    5.26744e+09    5.69392e+09
            2.6    1.75052e+11    5.42883e+09    6.55553e+09
            2.8     1.8011e+11    5.59339e+09    7.49918e+09
              3    1.85298e+11     5.7612e+09    8.49201e+09
            3.2    1.90618e+11    5.93224e+09    9.54675e+09
            3.4    1.96074e+11    6.10657e+09    1.06605e+10
            3.6    2.01668e+11    6.28419e+09    1.17923e+10
            3.8    2.07404e+11    6.46512e+09     1.2979e+10
              4    2.13284e+11    6.64941e+09    1.42307e+10
            4.2    2.19313e+11    6.83704e+09     1.5514e+10
            4.4    2.25492e+11    7.02806e+09    1.68202e+10
            4.6    2.31827e+11    7.22247e+09    1.81713e+10
            4.8    2.38319e+11    7.42031e+09    1.95896e+10
              5    2.44973e+11    7.62159e+09    2.10968e+10
            5.2    2.51791e+11    7.82634e+09    2.27338e+10
            5.4    2.58778e+11    8.03459e+09    2.45165e+10
