Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  6.68018e-15  1.28068e-30
  210  7.84786e-15  8.61428e-30
  220   9.2279e-15  4.95407e-29
  230  1.08446e-14   2.4828e-28
  240   1.2739e-14  1.10316e-27
  250  1.49167e-14  4.39631e-27
  260  1.74371e-14  1.59298e-26
  270  2.03232e-14  5.29619e-26
  280  2.36245e-14  1.63054e-25
  290  2.73419e-14   4.6761e-25
  300   3.1523e-14  1.25817e-24
  310  3.62162e-14  3.19554e-24
  320  4.14558e-14    7.699e-24
  330  4.72819e-14  1.76748e-23
  340  5.37051e-14  3.87968e-23
  350  6.07687e-14  8.17328e-23
  360  6.85247e-14  1.65828e-22
  370  7.69901e-14  3.24861e-22
  380   8.6198e-14   6.1608e-22
  390  9.61813e-14   1.1337e-21
  400  1.06973e-13  2.02862e-21
  410  1.18581e-13  3.53585e-21
  420  1.31076e-13  6.01587e-21
  430   1.4445e-13  1.00039e-20
  440  1.58749e-13  1.62857e-20
  450  1.73981e-13   2.5986e-20
  460  1.90192e-13  4.06962e-20
  470  2.07406e-13  6.26228e-20
  480   2.2563e-13  9.47752e-20
  490  2.44909e-13   1.4122e-19
  500  2.65243e-13  2.07339e-19
  510  2.86658e-13  3.00204e-19
  520  3.09192e-13  4.29003e-19
  530  3.32878e-13  6.05523e-19
  540   3.5767e-13  8.44552e-19
  550  3.83654e-13  1.16493e-18
  560   4.1086e-13  1.59004e-18
  570   4.3921e-13  2.14819e-18
  580   4.6882e-13  2.87487e-18
  590   4.9967e-13  3.81245e-18
  600    5.318e-13  5.01235e-18
  610  5.65178e-13  6.53525e-18
  620  5.99869e-13  8.45427e-18
  630  6.35871e-13  1.08548e-17
  640  6.73215e-13  1.38374e-17
  650  7.11882e-13  1.75183e-17
  660  7.51923e-13  2.20336e-17
  670  7.93338e-13   2.7539e-17
  680  8.36142e-13  3.42132e-17
  690  8.80352e-13  4.22604e-17
  700  9.25992e-13  5.19129e-17
  800  1.46364e-12  3.13028e-16
  900  2.15864e-12  1.30784e-15
 1000  3.02377e-12  4.20992e-15
 1100  4.07098e-12  1.11802e-14
 1200  5.31148e-12  2.56508e-14
 1300  6.75571e-12  5.25097e-14
 1400  8.41308e-12  9.81635e-14
 1500  1.02927e-11    1.705e-13
 1600  1.24023e-11  2.78748e-13
 1700  1.47495e-11  4.33299e-13
 1800  1.73408e-11  6.45479e-13
 1900  2.01822e-11  9.27311e-13
 2000   2.3279e-11  1.29129e-12
 2100  2.66358e-11  1.75017e-12
 2200  3.02579e-11  2.31682e-12
 2300  3.41484e-11  3.00393e-12
 2400  3.83117e-11   3.8241e-12
