Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  6.18502e-15  1.18575e-30
  210   7.3098e-15  8.02367e-30
  220  8.64216e-15  4.63961e-29
  230  1.02068e-14   2.3368e-28
  240  1.20447e-14  1.04304e-27
  250   1.4163e-14  4.17415e-27
  260  1.66201e-14  1.51835e-26
  270  1.94406e-14  5.06619e-26
  280  2.26739e-14  1.56493e-25
  290  2.63231e-14  4.50187e-25
  300  3.04364e-14  1.21479e-24
  310  3.50624e-14  3.09374e-24
  320  4.02371e-14  7.47266e-24
  330  4.60014e-14  1.71962e-23
  340   5.2368e-14  3.78308e-23
  350  5.93811e-14  7.98665e-23
  360  6.70939e-14  1.62366e-22
  370   7.5525e-14  3.18679e-22
  380  8.47091e-14  6.05439e-22
  390  9.46806e-14  1.11601e-21
  400  1.05474e-13  2.00019e-21
  410  1.17099e-13  3.49165e-21
  420  1.29627e-13  5.94936e-21
  430  1.43052e-13  9.90707e-21
  440  1.57422e-13  1.61496e-20
  450  1.72746e-13  2.58015e-20
  460  1.89072e-13  4.04564e-20
  470  2.06424e-13  6.23264e-20
  480  2.24813e-13  9.44319e-20
  490  2.44283e-13  1.40859e-19
  500  2.64837e-13  2.07021e-19
  510  2.86501e-13   3.0004e-19
  520  3.09317e-13  4.29176e-19
  530  3.33317e-13  6.06321e-19
  540  3.58456e-13  8.46409e-19
  550  3.84823e-13  1.16848e-18
  560  4.12449e-13  1.59619e-18
  570  4.41256e-13   2.1582e-18
  580  4.71363e-13  2.89046e-18
  590  5.02749e-13  3.83595e-18
  600  5.35458e-13  5.04682e-18
  610  5.69457e-13  6.58473e-18
  620  6.04813e-13  8.52394e-18
  630  6.41525e-13  1.09513e-17
  640  6.79625e-13  1.39692e-17
  650  7.19094e-13  1.76958e-17
  660  7.59987e-13  2.22699e-17
  670  8.02303e-13  2.78501e-17
  680  8.46058e-13  3.46189e-17
  690  8.91269e-13  4.27844e-17
  700  9.37964e-13   5.2584e-17
  800  1.48924e-12  3.18502e-16
  900  2.20408e-12  1.33537e-15
 1000  3.09607e-12  4.31058e-15
 1100  4.17787e-12  1.14737e-14
 1200  5.46133e-12  2.63745e-14
 1300  6.95752e-12  5.40783e-14
 1400  8.67639e-12  1.01236e-13
 1500  1.06275e-11  1.76047e-13
 1600  1.28193e-11  2.88118e-13
 1700  1.52594e-11   4.4828e-13
 1800  1.79551e-11  6.68345e-13
 1900  2.09125e-11  9.60868e-13
 2000  2.41373e-11   1.3389e-12
 2100  2.76345e-11  1.81579e-12
 2200  3.14095e-11    2.405e-12
 2300  3.54657e-11  3.11981e-12
 2400  3.98077e-11  3.97342e-12
