Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200   7.3649e-15  1.34472e-30
  210  8.65226e-15  9.04499e-30
  220  1.01738e-14  5.20177e-29
  230  1.19561e-14  2.60694e-28
  240  1.40448e-14  1.15832e-27
  250  1.64457e-14  4.61612e-27
  260  1.92244e-14  1.67263e-26
  270  2.24063e-14    5.561e-26
  280   2.6046e-14  1.71207e-25
  290  3.01444e-14  4.90991e-25
  300  3.47542e-14  1.32107e-24
  310  3.99283e-14  3.35532e-24
  320   4.5705e-14  8.08395e-24
  330  5.21283e-14  1.85586e-23
  340  5.92099e-14  4.07366e-23
  350  6.69975e-14  8.58194e-23
  360  7.55485e-14   1.7412e-22
  370  8.48816e-14  3.41104e-22
  380  9.50333e-14  6.46884e-22
  390   1.0604e-13  1.19038e-21
  400  1.17938e-13  2.13005e-21
  410  1.30735e-13  3.71264e-21
  420  1.44512e-13  6.31667e-21
  430  1.59256e-13  1.05041e-20
  440  1.75021e-13     1.71e-20
  450  1.91814e-13  2.72853e-20
  460  2.09687e-13   4.2731e-20
  470  2.28665e-13   6.5754e-20
  480  2.48758e-13   9.9514e-20
  490  2.70012e-13  1.48281e-19
  500   2.9243e-13  2.17706e-19
  510   3.1604e-13  3.15214e-19
  520  3.40884e-13  4.50453e-19
  530  3.66998e-13  6.35799e-19
  540  3.94331e-13   8.8678e-19
  550  4.22979e-13  1.22318e-18
  560  4.52974e-13  1.66954e-18
  570  4.84229e-13   2.2556e-18
  580  5.16874e-13  3.01861e-18
  590  5.50886e-13  4.00308e-18
  600   5.8631e-13  5.26296e-18
  610  6.23108e-13  6.86201e-18
  620  6.61356e-13  8.87698e-18
  630  7.01048e-13  1.13975e-17
  640   7.4222e-13  1.45293e-17
  650   7.8485e-13  1.83942e-17
  660  8.28995e-13  2.31353e-17
  670  8.74656e-13  2.89159e-17
  680  9.21847e-13  3.59238e-17
  690  9.70588e-13  4.43734e-17
  700  1.02091e-12  5.45085e-17
  800  1.61367e-12  3.28679e-16
  900   2.3799e-12  1.37323e-15
 1000  3.33371e-12  4.42042e-15
 1100  4.48826e-12  1.17392e-14
 1200  5.85591e-12  2.69334e-14
 1300  7.44817e-12  5.51352e-14
 1400  9.27542e-12  1.03072e-13
 1500  1.13477e-11  1.79025e-13
 1600  1.36736e-11  2.92685e-13
 1700  1.62613e-11  4.54964e-13
 1800  1.91182e-11  6.77753e-13
 1900  2.22509e-11  9.73677e-13
 2000   2.5665e-11  1.35586e-12
 2100   2.9366e-11  1.83767e-12
 2200  3.33594e-11  2.43266e-12
 2300  3.76486e-11  3.15413e-12
 2400  4.22386e-11   4.0153e-12
