Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  7.01419e-15  1.52499e-30
  210  8.24025e-15  1.01963e-29
  220   9.6893e-15  5.83205e-29
  230  1.13868e-14  2.90832e-28
  240   1.3376e-14  1.28635e-27
  250  1.56626e-14  5.10489e-27
  260  1.83089e-14  1.84259e-26
  270  2.13394e-14  6.10414e-26
  280  2.48057e-14  1.87304e-25
  290   2.8709e-14  5.35493e-25
  300  3.30992e-14  1.43665e-24
  310   3.8027e-14  3.63901e-24
  320  4.35286e-14  8.74523e-24
  330   4.9646e-14  2.00289e-23
  340  5.63904e-14  4.38656e-23
  350  6.38071e-14   9.2216e-23
  360  7.19509e-14  1.86725e-22
  370  8.08396e-14  3.65107e-22
  380  9.05079e-14  6.91167e-22
  390   1.0099e-13  1.26971e-21
  400  1.12322e-13  2.26834e-21
  410   1.2451e-13  3.94761e-21
  420   1.3763e-13  6.70665e-21
  430  1.51672e-13   1.1137e-20
  440  1.66686e-13  1.81063e-20
  450   1.8268e-13  2.88544e-20
  460  1.99702e-13  4.51334e-20
  470  2.17776e-13    6.937e-20
  480  2.36912e-13   1.0487e-19
  490  2.57155e-13  1.56094e-19
  500  2.78505e-13  2.28941e-19
  510   3.0099e-13  3.31155e-19
  520  3.24652e-13  4.72785e-19
  530  3.49522e-13  6.66711e-19
  540  3.75553e-13  9.29077e-19
  550  4.02837e-13  1.28044e-18
  560  4.31403e-13  1.74626e-18
  570  4.61171e-13   2.3574e-18
  580  4.92261e-13  3.15245e-18
  590  5.24653e-13  4.17748e-18
  600   5.5839e-13  5.48836e-18
  610  5.93436e-13  7.15098e-18
  620  6.29863e-13  9.24464e-18
  630  6.67664e-13  1.18619e-17
  640  7.06876e-13  1.51119e-17
  650  7.47476e-13  1.91202e-17
  660  7.89519e-13  2.40343e-17
  670  8.33005e-13  3.00225e-17
  680   8.7795e-13   3.7278e-17
  690   9.2437e-13  4.60213e-17
  700  9.72292e-13  5.65034e-17
  800  1.53682e-12  3.39181e-16
  900  2.26657e-12  1.41216e-15
 1000  3.17496e-12  4.53305e-15
 1100  4.27453e-12  1.20108e-14
 1200  5.57705e-12   2.7504e-14
 1300  7.09349e-12  5.62127e-14
 1400  8.83374e-12  1.04941e-13
 1500  1.08073e-11  1.82053e-13
 1600  1.30224e-11  2.97324e-13
 1700   1.5487e-11  4.61748e-13
 1800  1.82079e-11  6.87293e-13
 1900  2.11913e-11  9.86657e-13
 2000  2.44429e-11  1.37302e-12
 2100  2.79676e-11  1.85983e-12
 2200  3.17708e-11  2.46064e-12
 2300  3.58558e-11  3.18882e-12
 2400  4.02272e-11  4.05762e-12
