Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  7.01419e-15  1.34472e-30
  210  8.24025e-15  9.04499e-30
  220   9.6893e-15  5.20177e-29
  230  1.13868e-14  2.60694e-28
  240   1.3376e-14  1.15832e-27
  250  1.56626e-14  4.61612e-27
  260  1.83089e-14  1.67263e-26
  270  2.13394e-14    5.561e-26
  280  2.48057e-14  1.71207e-25
  290   2.8709e-14  4.90991e-25
  300  3.30992e-14  1.32107e-24
  310   3.8027e-14  3.35532e-24
  320  4.35286e-14  8.08395e-24
  330   4.9646e-14  1.85586e-23
  340  5.63904e-14  4.07366e-23
  350  6.38071e-14  8.58194e-23
  360   7.1951e-14   1.7412e-22
  370  8.08396e-14  3.41104e-22
  380  9.05079e-14  6.46884e-22
  390   1.0099e-13  1.19038e-21
  400  1.12322e-13  2.13005e-21
  410   1.2451e-13  3.71264e-21
  420   1.3763e-13  6.31667e-21
  430  1.51672e-13  1.05041e-20
  440  1.66687e-13     1.71e-20
  450  1.82681e-13  2.72853e-20
  460  1.99702e-13   4.2731e-20
  470  2.17777e-13   6.5754e-20
  480  2.36913e-13   9.9514e-20
  490  2.57156e-13  1.48281e-19
  500  2.78508e-13  2.17706e-19
  510  3.00994e-13  3.15214e-19
  520  3.24656e-13  4.50453e-19
  530  3.49528e-13  6.35799e-19
  540   3.7556e-13   8.8678e-19
  550  4.02845e-13  1.22318e-18
  560  4.31414e-13  1.66954e-18
  570  4.61184e-13   2.2556e-18
  580  4.92278e-13  3.01861e-18
  590  5.24674e-13  4.00308e-18
  600  5.58416e-13  5.26296e-18
  610  5.93467e-13  6.86201e-18
  620    6.299e-13  8.87698e-18
  630  6.67709e-13  1.13975e-17
  640   7.0693e-13  1.45293e-17
  650   7.4754e-13  1.83942e-17
  660  7.89595e-13  2.31353e-17
  670  8.33094e-13  2.89159e-17
  680  8.78054e-13  3.59238e-17
  690  9.24491e-13  4.43734e-17
  700  9.72433e-13  5.45085e-17
  800  1.53735e-12  3.28679e-16
  900  2.26805e-12  1.37323e-15
 1000  3.17841e-12  4.42042e-15
 1100  4.28151e-12  1.17392e-14
 1200  5.58978e-12  2.69334e-14
 1300  7.11488e-12  5.51352e-14
 1400  8.86741e-12  1.03072e-13
 1500  1.08576e-11  1.79025e-13
 1600  1.30945e-11  2.92685e-13
 1700  1.55866e-11  4.54964e-13
 1800  1.83414e-11  6.77753e-13
 1900  2.13659e-11  9.73677e-13
 2000  2.46663e-11  1.35586e-12
 2100   2.8248e-11  1.83767e-12
 2200   3.2117e-11  2.43266e-12
 2300   3.6277e-11  3.15413e-12
 2400  4.07333e-11   4.0153e-12
