Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  6.96407e-15  1.33511e-30
  210  8.17233e-15  8.97044e-30
  220  9.59839e-15  5.15297e-29
  230  1.12665e-14  2.57942e-28
  240  1.32186e-14  1.14469e-27
  250   1.5459e-14  4.55613e-27
  260  1.80481e-14   1.6488e-26
  270  2.10084e-14  5.47475e-26
  280  2.43894e-14  1.68333e-25
  290  2.81903e-14  4.82121e-25
  300  3.24588e-14  1.29551e-24
  310  3.72423e-14  3.28609e-24
  320  4.25746e-14  7.90677e-24
  330  4.84945e-14  1.81281e-23
  340  5.50106e-14  3.97398e-23
  350  6.21651e-14  8.36109e-23
  360  7.00088e-14   1.6942e-22
  370  7.85567e-14  3.31471e-22
  380    8.784e-14  6.27816e-22
  390  9.78897e-14  1.15383e-21
  400  1.08737e-13  2.06207e-21
  410  1.20386e-13  3.58969e-21
  420  1.32909e-13  6.09998e-21
  430  1.46291e-13  1.01314e-20
  440  1.60579e-13  1.64734e-20
  450  1.75777e-13  2.62543e-20
  460  1.91929e-13  4.10679e-20
  470  2.09056e-13  6.31212e-20
  480  2.27164e-13  9.54194e-20
  490  2.46293e-13  1.42018e-19
  500  2.66441e-13  2.08275e-19
  510  2.87632e-13  3.01224e-19
  520  3.09902e-13  4.29988e-19
  530   3.3328e-13  6.06254e-19
  540  3.57717e-13  8.44663e-19
  550  3.83297e-13  1.16385e-18
  560  4.10047e-13  1.58689e-18
  570  4.37885e-13  2.14171e-18
  580  4.66926e-13  2.86326e-18
  590  4.97146e-13   3.7932e-18
  600  5.28584e-13  4.98203e-18
  610  5.61202e-13  6.48928e-18
  620  5.95066e-13  8.38657e-18
  630  6.30167e-13  1.07574e-17
  640  6.66536e-13  1.37001e-17
  650  7.04151e-13  1.73281e-17
  660  7.43059e-13  2.17739e-17
  670  7.83258e-13   2.7189e-17
  680   8.2476e-13  3.37474e-17
  690  8.67578e-13  4.16472e-17
  700  9.11735e-13  5.11136e-17
  800  1.42888e-12  3.05592e-16
  900  2.09107e-12   1.2669e-15
 1000  2.90832e-12  4.04918e-15
 1100  3.88985e-12  1.06827e-14
 1200  5.04422e-12  2.43601e-14
 1300  6.37938e-12  4.95846e-14
 1400  7.90236e-12  9.22044e-14
 1500  9.61997e-12  1.59356e-13
 1600   1.1538e-11  2.59321e-13
 1700  1.36619e-11  4.01348e-13
 1800  1.59965e-11   5.9544e-13
 1900  1.85462e-11   8.5214e-13
 2000  2.13146e-11  1.18233e-12
 2100  2.43051e-11  1.59702e-12
 2200  2.75216e-11   2.1073e-12
 2300  3.09659e-11  2.72398e-12
 2400  3.46416e-11  3.45776e-12
