Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  200  9.44069e-15  1.80991e-30
  210   1.0905e-14    1.197e-29
  220  1.26167e-14  6.77338e-29
  230  1.45978e-14  3.34209e-28
  240  1.69008e-14  1.46356e-27
  250  1.95091e-14  5.74977e-27
  260  2.25071e-14  2.05616e-26
  270  2.59097e-14  6.75203e-26
  280   2.9781e-14  2.05546e-25
  290  3.40922e-14  5.83056e-25
  300  3.89032e-14  1.55273e-24
  310  4.42749e-14   3.9066e-24
  320  5.02419e-14  9.33072e-24
  330  5.68499e-14  2.12515e-23
  340  6.40884e-14  4.62977e-23
  350    7.201e-14  9.68521e-23
  360  8.06842e-14  1.95254e-22
  370  9.01143e-14  3.80239e-22
  380  1.00335e-13  7.17123e-22
  390  1.11382e-13  1.31286e-21
  400   1.2329e-13  2.33805e-21
  410  1.36048e-13   4.0567e-21
  420  1.49768e-13  6.87374e-21
  430  1.64404e-13  1.13858e-20
  440  1.80026e-13  1.84685e-20
  450  1.96623e-13  2.93678e-20
  460  2.14259e-13   4.5846e-20
  470   2.3296e-13  7.03384e-20
  480  2.52718e-13  1.06153e-19
  490  2.73595e-13  1.57761e-19
  500  2.95574e-13  2.31048e-19
  510  3.18683e-13  3.33742e-19
  520  3.42979e-13  4.75882e-19
  530  3.68505e-13   6.7033e-19
  540  3.95152e-13  9.33058e-19
  550  4.23071e-13  1.28462e-18
  560  4.52303e-13  1.75042e-18
  570  4.82677e-13  2.36079e-18
  580  5.14404e-13   3.1544e-18
  590  5.47426e-13  4.17683e-18
  600   5.8181e-13  5.48369e-18
  610  6.17469e-13  7.13991e-18
  620  6.54525e-13  9.22456e-18
  630  6.92951e-13  1.18292e-17
  640  7.32798e-13  1.50621e-17
  650  7.74008e-13  1.90471e-17
  660  8.16674e-13   2.3931e-17
  670  8.60777e-13  2.98799e-17
  680  9.06332e-13  3.70852e-17
  690  9.53357e-13  4.57649e-17
  700   1.0019e-12  5.61681e-17
  800   1.5723e-12  3.36266e-16
  900  2.30756e-12  1.39806e-15
 1000  3.22109e-12  4.48463e-15
 1100  4.32544e-12   1.1879e-14
 1200  5.63244e-12  2.72008e-14
 1300  7.15301e-12  5.55978e-14
 1400  8.89711e-12  1.03811e-13
 1500  1.08743e-11  1.80134e-13
 1600  1.30927e-11  2.94265e-13
 1700  1.55604e-11   4.5712e-13
 1800  1.82841e-11  6.80593e-13
 1900  2.12703e-11  9.77306e-13
 2000  2.45244e-11  1.36037e-12
 2100  2.80513e-11  1.84317e-12
 2200  3.18566e-11  2.43923e-12
 2300  3.59434e-11  3.16183e-12
 2400  4.03166e-11  4.02422e-12
