========================================
oh+h2_B1_Frequencies_1_0.05.out
--
T,P1->P2
200.0,6.96407e-15
210.0,8.17233e-15
220.0,9.59839e-15
230.0,1.12665e-14
240.0,1.32186e-14
250.0,1.5459e-14
260.0,1.80481e-14
270.0,2.10084e-14
280.0,2.43894e-14
290.0,2.81903e-14
300.0,3.24588e-14
310.0,3.72423e-14
320.0,4.25746e-14
330.0,4.84945e-14
340.0,5.50106e-14
350.0,6.21651e-14
360.0,7.00088e-14
370.0,7.85567e-14
380.0,8.784e-14
390.0,9.78897e-14
400.0,1.08737e-13
410.0,1.20386e-13
420.0,1.32909e-13
430.0,1.46291e-13
440.0,1.60579e-13
450.0,1.75777e-13
460.0,1.91929e-13
470.0,2.09056e-13
480.0,2.27164e-13
490.0,2.46293e-13
500.0,2.66441e-13
510.0,2.87632e-13
520.0,3.09902e-13
530.0,3.3328e-13
540.0,3.57717e-13
550.0,3.83297e-13
560.0,4.10047e-13
570.0,4.37885e-13
580.0,4.66926e-13
590.0,4.97146e-13
600.0,5.28584e-13
610.0,5.61202e-13
620.0,5.95066e-13
630.0,6.30167e-13
640.0,6.66536e-13
650.0,7.04151e-13
660.0,7.43059e-13
670.0,7.83258e-13
680.0,8.2476e-13
690.0,8.67578e-13
700.0,9.11735e-13
800.0,1.42888e-12
900.0,2.09107e-12
1000.0,2.90832e-12
1100.0,3.88985e-12
1200.0,5.04422e-12
1300.0,6.37938e-12
1400.0,7.90236e-12
1500.0,9.61997e-12
1600.0,1.1538e-11
1700.0,1.36619e-11
1800.0,1.59965e-11
1900.0,1.85462e-11
2000.0,2.13146e-11
2100.0,2.43051e-11
2200.0,2.75216e-11
2300.0,3.09659e-11
2400.0,3.46416e-11
========================================
oh+h2_P2_Frequencies_1_0.05.out
--
T,P1->P2
200.0,7.01419e-15
210.0,8.24025e-15
220.0,9.6893e-15
230.0,1.13868e-14
240.0,1.3376e-14
250.0,1.56626e-14
260.0,1.83089e-14
270.0,2.13394e-14
280.0,2.48057e-14
290.0,2.8709e-14
300.0,3.30992e-14
310.0,3.8027e-14
320.0,4.35286e-14
330.0,4.9646e-14
340.0,5.63904e-14
350.0,6.38071e-14
360.0,7.19509e-14
