Rate Units: cm^3/sec

 T, K       P1->P2       P2->P1
  300  9.00281e-14  1.45479e-26
  400  3.01261e-13  3.90343e-23
  500  7.81581e-13  5.40541e-21
  600  1.66817e-12  1.61282e-19
  700  3.09601e-12  1.96232e-18
  850  6.51419e-12  3.03382e-17
 1000  1.17699e-11  2.23538e-16
 1125  1.77463e-11  8.23822e-16
 1250  2.52987e-11  2.41973e-15
 1375  3.45086e-11  6.00694e-15
 1500  4.54322e-11  1.31132e-14
 1625  5.81027e-11  2.58806e-14
 1750  7.25386e-11  4.71181e-14
 1875  8.87423e-11  8.03186e-14
 2000  1.06711e-10  1.29659e-13
