Rate Units: cm^3/sec

 T, K        R->P8        P8->R
  200  4.37748e-18  1.01743e-27
  300  2.06828e-16  6.16652e-23
  400  2.26832e-15  2.44121e-20
  600  3.57135e-14   1.4197e-17
  800  1.75117e-13  4.34446e-16
 1000  5.13976e-13  3.91097e-15
 1200  1.14401e-12  1.87048e-14
 1400  2.14779e-12  6.14962e-14
 1600  3.59632e-12  1.58481e-13
 1800  5.54915e-12  3.44947e-13
 2000  8.05551e-12  6.63978e-13
 2200  1.11559e-11  1.16483e-12
 2400  1.48838e-11  1.90132e-12
 2600  1.92665e-11  2.93044e-12
 2800  2.43269e-11  4.31115e-12
 3000  3.00839e-11  6.10347e-12
