    E, kcal/mol    D, mol/kcal          W1->R         W1->P1         W1->P2         W1->P3         W1->P4         W1->P5         W1->P6         W1->P7
              0    3.65754e+12              0              0        41978.5         525900        11982.7              0              0              0
      0.0142955     3.6629e+12     0.00590908              0          42569         530681        12113.7              0              0              0
      0.0285909    3.66826e+12       0.220081              0        43165.9         535496        12245.8              0              0              0
      0.0428864    3.67362e+12        1.82529              0          43769         540345        12379.2              0              0              0
      0.0571818      3.679e+12        8.18485              0        44378.6         545227        12513.7              0              0              0
      0.0714773    3.68438e+12        26.2029              0        44994.7         550143        12649.5              0              0              0
      0.0857727    3.68977e+12        67.7837              0        45617.3         555093        12786.5              0              0              0
       0.100068    3.69517e+12        151.365              0        46246.6         560077        12924.7              0              0              0
       0.114364    3.70057e+12        303.508              0        46882.6         565096        13064.1              0              0              0
       0.128659    3.70598e+12        560.539              0        47525.5         570149        13204.7              0              0              0
       0.142955     3.7114e+12        970.229              0        48175.2         575237        13346.6              0              0              0
        0.15725    3.71682e+12        1695.11              0        48831.8         580360        13489.8              0              0              0
       0.171545    3.72226e+12        2803.73              0        49495.5         585518        13634.2              0              0              0
       0.185841     3.7277e+12        4409.69              0        50166.3         590711        13779.9              0              0              0
       0.200136    3.73314e+12        6623.96              0        50844.2         595940        13926.8              0              0              0
       0.214432     3.7386e+12         9542.5              0        51529.4         601205          14075              0              0              0
       0.228727    3.74406e+12        13233.9              0          52222         606505        14224.6              0              0              0
       0.243023    3.74953e+12        17729.2              0        52921.9         611841        14375.4              0              0              0
       0.257318      3.755e+12        23014.4              0        53629.2         617214        14527.5              0              0              0
       0.271614    3.76049e+12        29028.5              0        54344.1         622623        14680.9              0              0              0
       0.285909    3.76598e+12        35664.4              0        55066.6         628069        14835.7              0              0              0
       0.300205    3.77148e+12        42796.7              0        55796.7         633551        14991.8              0              0              0
         0.3145    3.77698e+12        50371.7              0        56534.6         639070        15149.2              0              0              0
       0.328795     3.7825e+12        58377.5              0        57280.2         644627        15307.9              0              0              0
       0.343091    3.78802e+12        66825.6              0        58033.7         650221        15468.1              0              0              0
       0.357386    3.79354e+12        75750.2              0        58795.1         655853        15629.5              0              0              0
       0.371682    3.79908e+12        85205.7              0        59564.4         661522        15792.4              0              0              0
       0.385977    3.80462e+12        95265.8              0        60341.8         667230        15956.6              0              0              0
       0.400273    3.81017e+12         106022              0        61127.3         672975        16122.2              0              0              0
       0.414568    3.81573e+12         117585              0        61920.9         678760        16289.2              0              0              0
       0.428864    3.82129e+12         130081              0        62722.8         684582        16457.7              0              0              0
       0.443159    3.82686e+12         143636              0        63532.8         690444        16627.5              0              0              0
       0.457455    3.83244e+12         158305              0        64351.2         696345        16798.7              0              0              0
