*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          bar        1/sec                         0            0
           10         0.01  1.76776e+09     0.109374  9.94144e-07  2.37535e-06
           20         0.01  1.11414e+09    0.0909942  3.11003e-05  0.000190757
           35         0.01  7.33245e+08     0.148679   0.00291576    0.0273113
           50         0.01  5.44507e+08     0.246049     0.016828     0.153307
           75         0.01   3.7505e+08       0.4295    0.0699206      0.46091
          100         0.01  2.82012e+08     0.608671     0.154373     0.697898
          150         0.01  1.85913e+08     0.837607     0.367491     0.909111
          200         0.01  1.39118e+08     0.882642     0.549714     0.969805
          250         0.01  1.12435e+08      1.23954     0.847066      0.98993
          300         0.01  9.54214e+07      1.78933      1.13416     0.996095
          400         0.01  7.49393e+07      2.18448      1.31612     0.999024
          500         0.01  6.28771e+07       5.5575      2.23795     0.999749
          600         0.01  5.48196e+07      9.08851      2.35098     0.999918
          700         0.01  4.90097e+07      13.7285      7.45222     0.999976
          850         0.01  4.27568e+07      15.8765      1.94205     0.999986
         1000         0.01  3.82691e+07      36.5928      12.9342     0.999998
