    E, kcal/mol    D, mol/kcal         W1->P1         W1->P2
              0    1.14515e+07              0              0
            0.1    2.04856e+07    2.34163e+08        4153.76
            0.2    3.37504e+07    1.27629e+09        16667.3
            0.3    5.35114e+07    2.90672e+09        36570.5
            0.4    8.08635e+07     4.7834e+09        62719.4
            0.5    1.18591e+08    6.61177e+09        93380.9
            0.6    1.69958e+08    8.21808e+09         127117
            0.7    2.37627e+08    9.57668e+09         163756
            0.8    3.25004e+08    1.06872e+10         203163
            0.9    4.36544e+08    1.15533e+10         245043
              1    5.78197e+08    1.21775e+10         288924
            1.1    7.54235e+08    1.26242e+10         336129
            1.2    9.71468e+08    1.29106e+10         387028
            1.3    1.23666e+09    1.30678e+10         442300
            1.4     1.5581e+09    1.31153e+10         502297
            1.5    1.94432e+09    1.30764e+10         567593
            1.6    2.40552e+09    1.29659e+10         638537
            1.7    2.95053e+09    1.28082e+10         716123
            1.8    3.59339e+09    1.26035e+10         800281
            1.9    4.34509e+09    1.23696e+10         892034
              2    5.22118e+09    1.21095e+10         991724
            2.1    6.23476e+09    1.18352e+10    1.10057e+06
            2.2    7.40403e+09    1.15479e+10    1.21913e+06
            2.3    8.74502e+09     1.1255e+10    1.34865e+06
            2.4    1.02792e+10    1.09566e+10    1.48979e+06
            2.5    1.20252e+10    1.06582e+10    1.64392e+06
            2.6    1.40053e+10    1.03615e+10    1.81216e+06
            2.7    1.62444e+10    1.00673e+10    1.99562e+06
            2.8    1.87667e+10    9.77792e+09    2.19575e+06
            2.9    2.16008e+10    9.49345e+09     2.4138e+06
              3    2.47738e+10    9.21562e+09    2.65151e+06
            3.1    2.83172e+10    8.94461e+09    2.91045e+06
            3.2    3.22644e+10    8.68064e+09    3.19233e+06
            3.3    3.66498e+10    8.42408e+09    3.49901e+06
            3.4    4.15095e+10    8.17526e+09    3.83251e+06
            3.5    4.68846e+10    7.93386e+09    4.19469e+06
            3.6    5.28177e+10    7.69978e+09    4.58757e+06
            3.7    5.93521e+10    7.47312e+09    5.01338e+06
            3.8    6.65371e+10    7.25355e+09    5.47413e+06
            3.9    7.44218e+10    7.04107e+09    5.97213e+06
              4    8.30644e+10    6.83573e+09    6.50919e+06
            4.1    9.25186e+10    6.63869e+09    7.08776e+06
            4.2    1.02851e+11     6.4501e+09    7.70949e+06
            4.3    1.14122e+11    6.27052e+09    8.37667e+06
            4.4    1.26409e+11    6.09956e+09     9.0906e+06
            4.5    1.39781e+11    5.93731e+09    9.85329e+06
            4.6    1.54323e+11    5.78328e+09    1.06657e+07
            4.7    1.70116e+11    5.63764e+09    1.15295e+07
            4.8    1.87256e+11    5.50003e+09     1.2445e+07
            4.9    2.05836e+11    5.37034e+09    1.34132e+07
              5    2.25962e+11    5.24812e+09    1.44344e+07
            5.1    2.47742e+11    5.13299e+09    1.55087e+07
            5.2    2.71291e+11    5.02448e+09    1.66361e+07
            5.3    2.96736e+11    4.92209e+09    1.78159e+07
            5.4    3.24206e+11    4.82536e+09    1.90477e+07
            5.5    3.53843e+11    4.73376e+09    2.03304e+07
            5.6    3.85787e+11    4.64691e+09    2.16635e+07
            5.7    4.20202e+11    4.56427e+09    2.30452e+07
            5.8    4.57249e+11     4.4855e+09    2.44746e+07
            5.9    4.97102e+11    4.41017e+09    2.59501e+07
              6    5.39945e+11    4.33795e+09    2.74704e+07
