Temperature = 108.475K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      22.1123 8.61886e-101
      21.9694 1.65249e-100
      21.8264 3.16826e-100
      21.6835 6.07433e-100
      21.5405  1.16458e-99
      21.3976  2.23273e-99
      21.2546  4.28052e-99
      21.1116  8.20637e-99
      20.9687  1.57326e-98
      20.8257  3.01609e-98
      20.6828  5.78205e-98
      20.5398  1.10845e-97
      20.3969  2.12491e-97
      20.2539  4.07344e-97
       20.111  7.80866e-97
       19.968  1.49688e-96
       19.825  2.86939e-96
      19.6821  5.50032e-96
      19.5391  1.05434e-95
      19.3962    2.021e-95
      19.2532  3.87389e-95
      19.1103  7.42544e-95
      18.9673  1.42328e-94
      18.8244  2.72806e-94
      18.6814  5.22892e-94
      18.5384  1.00222e-93
      18.3955  1.92092e-93
      18.2525  3.68171e-93
      18.1096  7.05641e-93
      17.9666  1.35242e-92
      17.8237  2.59199e-92
      17.6807  4.96764e-92
      17.5378  9.52052e-92
      17.3948  1.82459e-91
      17.2519  3.49674e-91
      17.1089  6.70126e-91
      16.9659  1.28423e-90
       16.823  2.46107e-90
        16.68  4.71626e-90
      16.5371  9.03787e-90
      16.3941  1.73192e-89
      16.2512  3.31883e-89
      16.1082  6.35968e-89
      15.9653  1.21865e-88
      15.8223  2.33517e-88
      15.6793  4.47456e-88
      15.5364  8.57385e-88
      15.3934  1.64284e-87
      15.2505  3.14782e-87
      15.1075  6.03138e-87
      14.9646  1.15563e-86
      14.8216  2.21418e-86
      14.6787  4.24231e-86
      14.5357  8.12803e-86
      14.3927  1.55726e-85
      14.2498  2.98354e-85
      14.1068  5.71605e-85
      13.9639   1.0951e-84
      13.8209    2.098e-84
       13.678   4.0193e-84
       13.535  7.69998e-84
      13.3921   1.4751e-83
      13.2491  2.82585e-83
      13.1061  5.41338e-83
      12.9632  1.03701e-82
      12.8202   1.9865e-82
      12.6773  3.80531e-82
      12.5343  7.28927e-82
      12.3914  1.39628e-81
      12.2484  2.67456e-81
      12.1055  5.12304e-81
      11.9625  9.81288e-81
      11.8195  1.87957e-80
      11.6766  3.60009e-80
      11.5336  6.89545e-80
      11.3907   1.3207e-79
      11.2477  2.52954e-79
      11.1048  4.84473e-79
      10.9618  9.27882e-79
      10.8189  1.77709e-78
      10.6759  3.40344e-78
      10.5329   6.5181e-78
        10.39   1.2483e-77
       10.247   2.3906e-77
      10.1041  4.57815e-77
      9.96113  8.76731e-77
      9.81817  1.67894e-76
      9.67522  3.21513e-76
      9.53226   6.1568e-76
      9.38931  1.17897e-75
      9.24635   2.2576e-75
       9.1034  4.32297e-75
      8.96044  8.27774e-75
      8.81749  1.58502e-74
      8.67453  3.03493e-74
      8.53158  5.81109e-74
      8.38862  1.11265e-73
      8.24566  2.13036e-73
      8.10271  4.07889e-73
      7.95975  7.80949e-73
       7.8168  1.49519e-72
      7.67384  2.86262e-72
      7.53089  5.48054e-72
      7.38793  1.04924e-71
      7.24498  2.00874e-71
      7.10202  3.84558e-71
      6.95907  7.36196e-71
      6.81611  1.40935e-70
      6.67316  2.69797e-70
       6.5302  5.16473e-70
      6.38724  9.88669e-70
      6.24429  1.89255e-69
      6.10133  3.62274e-69
      5.95838  6.93457e-69
      5.81542  1.32738e-68
      5.67247  2.54076e-68
      5.52951  4.86322e-68
      5.38656  9.30845e-68
       5.2436  1.78166e-67
      5.10065  3.41007e-67
      4.95769  6.52672e-67
      4.81474  1.24916e-66
      4.67178  2.39077e-66
      4.52883  4.57559e-66
      4.38587  8.75688e-66
      4.24291  1.67589e-65
      4.09996  3.20725e-65
        3.957   6.1378e-65
      3.81405  1.17459e-64
      3.67109  2.24777e-64
      3.52814  4.30139e-64
      3.38518  8.23114e-64
      3.24223  1.57508e-63
      3.09927  3.01397e-63
      2.95632  5.76722e-63
      2.81336  1.10354e-62
      2.67041  2.11154e-62
      2.52745  4.04022e-62
       2.3845  7.73041e-62
      2.24154  1.47908e-61
      2.09858  2.82993e-61
      1.95563   5.4144e-61
      1.81267   1.0359e-60
      1.66972  1.98188e-60
      1.52676  3.79165e-60
      1.38381  7.25392e-60
      1.24085  1.38774e-59
       1.0979  2.65484e-59
     0.954942  5.07877e-59
     0.811986  9.71564e-59
     0.669031  1.85856e-58
     0.526076  3.55528e-58
      0.38312  6.80085e-58
     0.240165   1.3009e-57
    0.0972096  2.48839e-57
   -0.0457457  4.75974e-57
    -0.188701  9.10418e-57
    -0.331656  1.74137e-56
    -0.474612  3.33067e-56
    -0.617567  6.37037e-56
    -0.760522   1.2184e-55
    -0.903478  2.33028e-55
     -1.04643  4.45674e-55
     -1.18939   8.5235e-55
     -1.33234  1.63009e-54
      -1.4753  3.11742e-54
     -1.61825  5.96173e-54
     -1.76121  1.14009e-53
     -1.90417  2.18022e-53
     -2.04712  4.16921e-53
     -2.19008  7.97255e-53
     -2.33303  1.52452e-52
     -2.47599  2.91514e-52
     -2.61894  5.57416e-52
      -2.7619  1.06583e-51
     -2.90485  2.03794e-51
     -3.04781   3.8966e-51
     -3.19076  7.45027e-51
     -3.33372  1.42446e-50
     -3.47667  2.72344e-50
     -3.61963  5.20689e-50
     -3.76258  9.95474e-50
     -3.90554  1.90315e-49
      -4.0485  3.63837e-49
     -4.19145  6.95558e-49
     -4.33441  1.32969e-48
     -4.47736   2.5419e-48
     -4.62032  4.85914e-48
     -4.76327  9.28861e-48
     -4.90623  1.77555e-47
     -5.04918  3.39397e-47
     -5.19214  6.48743e-47
     -5.33509  1.24002e-46
     -5.47805  2.37015e-46
       -5.621  4.53018e-46
     -5.76396  8.65856e-46
     -5.90691  1.65488e-45
     -6.04987  3.16285e-45
     -6.19283   6.0448e-45
     -6.33578  1.15525e-44
     -6.47874  2.20781e-44
     -6.62169  4.21929e-44
     -6.76465  8.06319e-44
      -6.9076  1.54087e-43
     -7.05056  2.94453e-43
     -7.19351  5.62673e-43
     -7.33647   1.0752e-42
     -7.47942  2.05452e-42
     -7.62238  3.92576e-42
     -7.76533  7.50115e-42
     -7.90829  1.43325e-41
     -8.05125  2.73848e-41
      -8.1942  5.23221e-41
     -8.33716   9.9966e-41
     -8.48011   1.9099e-40
     -8.62307  3.64887e-40
     -8.76602  6.97104e-40
     -8.90898  1.33176e-39
     -9.05193  2.54417e-39
     -9.19489  4.86024e-39
     -9.33784  9.28451e-39
      -9.4808  1.77358e-38
     -9.62375  3.38792e-38
     -9.76671  6.47151e-38
     -9.90966  1.23614e-37
     -10.0526  2.36114e-37
     -10.1956  4.50989e-37
     -10.3385   8.6139e-37
     -10.4815  1.64522e-36
     -10.6244  3.14224e-36
     -10.7674  6.00129e-36
     -10.9104  1.14615e-35
     -11.0533   2.1889e-35
     -11.1963  4.18025e-35
     -11.3392  7.98305e-35
     -11.4822  1.52449e-34
     -11.6251   2.9112e-34
     -11.7681  5.55915e-34
      -11.911  1.06154e-33
      -12.054  2.02699e-33
      -12.197  3.87042e-33
     -12.3399  7.39018e-33
     -12.4829  1.41105e-32
     -12.6258  2.69413e-32
     -12.7688   5.1438e-32
     -12.9117  9.82063e-32
     -13.0547  1.87493e-31
     -13.1976  3.57948e-31
     -13.3406  6.83353e-31
     -13.4835  1.30455e-30
     -13.6265  2.49037e-30
     -13.7695  4.75399e-30
     -13.9124  9.07491e-30
     -14.0554  1.73227e-29
     -14.1983  3.30657e-29
     -14.3413  6.31147e-29
     -14.4842  1.20468e-28
     -14.6272  2.29934e-28
     -14.7701  4.38858e-28
     -14.9131  8.37595e-28
     -15.0561  1.59858e-27
      -15.199  3.05086e-27
      -15.342  5.82239e-27
     -15.4849  1.11114e-26
     -15.6279  2.12044e-26
     -15.7708  4.04643e-26
     -15.9138  7.72161e-26
     -16.0567  1.47344e-25
     -16.1997  2.81156e-25
     -16.3427  5.36476e-25
     -16.4856  1.02363e-24
     -16.6286  1.95309e-24
     -16.7715  3.72643e-24
     -16.9145   7.1097e-24
     -17.0574  1.35643e-23
     -17.2004  2.58782e-23
     -17.3433  4.93696e-23
     -17.4863  9.41832e-23
     -17.6293   1.7967e-22
     -17.7722  3.42742e-22
     -17.9152  6.53803e-22
     -18.0581  1.24714e-21
     -18.2011  2.37888e-21
      -18.344  4.53752e-21
      -18.487  8.65471e-21
     -18.6299  1.65073e-20
     -18.7729  3.14837e-20
     -18.9159  6.00462e-20
     -19.0588  1.14518e-19
     -19.2018  2.18399e-19
     -19.3447  4.16501e-19
     -19.4877  7.94272e-19
     -19.6306  1.51465e-18
     -19.7736   2.8883e-18
     -19.9165  5.50757e-18
     -20.0595  1.05019e-17
     -20.2024  2.00245e-17
     -20.3454  3.81808e-17
     -20.4884  7.27975e-17
     -20.6313  1.38795e-16
     -20.7743   2.6462e-16
     -20.9172  5.04496e-16
     -21.0602  9.61789e-16
     -21.2031  1.83354e-15
     -21.3461  3.49532e-15
      -21.489  6.66305e-15
      -21.632  1.27012e-14
      -21.775  2.42107e-14
     -21.9179  4.61482e-14
     -22.0609  8.79612e-14
     -22.2038  1.67654e-13
     -22.3468  3.19541e-13
     -22.4897   6.0901e-13
     -22.6327  1.16067e-12
     -22.7756  2.21199e-12
     -22.9186  4.21545e-12
     -23.0616  8.03325e-12
     -23.2045  1.53083e-11
     -23.3475  2.91708e-11
     -23.4904  5.55852e-11
     -23.6334  1.05915e-10
     -23.7763  2.01809e-10
     -23.9193  3.84514e-10
     -24.0622  7.32608e-10
     -24.2052  1.39578e-09
     -24.3482  2.65919e-09
     -24.4911  5.06605e-09
     -24.6341  9.65111e-09
      -24.777  1.83853e-08
       -24.92  3.50228e-08
     -25.0629  6.67142e-08
     -25.2059  1.27079e-07
     -25.3488  2.42054e-07
     -25.4918  4.61039e-07
     -25.6348  8.78112e-07
     -25.7777  1.67243e-06
     -25.9207  3.18518e-06
     -26.0636  6.06604e-06
     -26.2066  1.15521e-05
     -26.3495  2.19992e-05
     -26.4925  4.18926e-05
     -26.6354  7.97726e-05
     -26.7784  0.000151899
     -26.9214  0.000289231
     -27.0643  0.000550705
     -27.2073   0.00104852
     -27.3502   0.00199629
     -27.4932   0.00380063
     -27.6361   0.00723561
     -27.7791    0.0137746
      -27.922    0.0262222
      -28.065    0.0499167
     -28.2079    0.0950186
     -28.3509     0.180866
     -28.4939     0.344263
     -28.6368     0.655253
     -28.7798      1.24714
     -28.9227      2.37359
     -29.0657      4.51732
     -29.2086       8.5969
     -29.3516      16.3602
     -29.4945      31.1329
     -29.6375      59.2428
     -29.7805      112.729
     -29.9234      214.496
     -30.0664      408.122
     -30.2093      776.506
     -30.3523      1477.35
     -30.4952      2810.65
     -30.6382      5347.07
     -30.7811      10172.1
     -30.9241      19350.3
     -31.0671      36808.7
       -31.21      70016.1
      -31.353       133177
     -31.4959       253305
     -31.6389       481774
     -31.7818       916277
     -31.9248   1.7426e+06
     -32.0677  3.31398e+06
     -32.2107  6.30214e+06
     -32.3537  1.19842e+07
     -32.4966  2.27886e+07
     -32.6396   4.3332e+07
     -32.7825  8.23916e+07
     -32.9255  1.56654e+08
     -33.0684  2.97841e+08
     -33.2114  5.66253e+08
     -33.3543  1.07652e+09
     -33.4973  2.04651e+09
     -33.6403  3.89038e+09
     -33.7832  7.39525e+09
     -33.9262  1.40571e+10
     -34.0691  2.67191e+10
     -34.2121  5.07842e+10
      -34.355  9.65208e+10
      -34.498   1.8344e+11
     -34.6409  3.48618e+11
     -34.7839  6.62505e+11
     -34.9269  1.25896e+12
     -35.0698  2.39232e+12
     -35.2128  4.54577e+12
     -35.3557  8.63729e+12
     -35.4987  1.64108e+13
     -35.6416  3.11793e+13
     -35.7846  5.92356e+13
     -35.9275  1.12533e+14
     -36.0705  2.13778e+14
     -36.2134  4.06098e+14
     -36.3564  7.71398e+14
     -36.4994  1.46524e+15
     -36.6423  2.78306e+15
     -36.7853  5.28592e+15
     -36.9282  1.00392e+16
     -37.0712   1.9066e+16
     -37.2141  3.62077e+16
     -37.3571  6.87586e+16
        -37.5  1.30567e+17
      -37.643  2.47925e+17
      -37.786  4.70751e+17
     -37.9289  8.93801e+17
