Temperature = 1301.29K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      116.926  0.000751943
      116.783   0.00078892
       116.64  0.000827713
      116.497  0.000868409
      116.354  0.000911101
      116.211  0.000955889
      116.068   0.00100287
      115.925   0.00105216
      115.782   0.00110387
      115.639   0.00115811
      115.496   0.00121501
      115.354   0.00127471
      115.211   0.00133733
      115.068   0.00140301
      114.925   0.00147192
      114.782   0.00154421
      114.639   0.00162004
      114.496   0.00169958
      114.353   0.00178303
       114.21   0.00187056
      114.067   0.00196238
      113.924   0.00205869
      113.781   0.00215973
      113.638   0.00226571
      113.495   0.00237688
      113.352    0.0024935
      113.209   0.00261582
      113.066   0.00274414
      112.923   0.00287873
       112.78   0.00301991
      112.637     0.003168
      112.494   0.00332334
      112.351   0.00348628
      112.209   0.00365719
      112.066   0.00383646
      111.923   0.00402451
       111.78   0.00422174
      111.637   0.00442863
      111.494   0.00464563
      111.351   0.00487324
      111.208   0.00511198
      111.065   0.00536239
      110.922   0.00562504
      110.779   0.00590052
      110.636   0.00618947
      110.493   0.00649254
       110.35   0.00681042
      110.207   0.00714383
      110.064   0.00749352
      109.921   0.00786029
      109.778   0.00824498
      109.635   0.00864845
      109.492   0.00907163
      109.349   0.00951546
      109.206   0.00998097
      109.063    0.0104692
      108.921    0.0109812
      108.778    0.0115183
      108.635    0.0120815
      108.492    0.0126723
      108.349    0.0132918
      108.206    0.0139416
      108.063    0.0146231
       107.92    0.0153378
      107.777    0.0160874
      107.634    0.0168735
      107.491    0.0176979
      107.348    0.0185626
      107.205    0.0194694
      107.062    0.0204203
      106.919    0.0214177
      106.776    0.0224636
      106.633    0.0235605
       106.49    0.0247109
      106.347    0.0259172
      106.204    0.0271824
      106.061    0.0285091
      105.918    0.0299005
      105.776    0.0313596
      105.633    0.0328898
       105.49    0.0344945
      105.347    0.0361772
      105.204    0.0379419
      105.061    0.0397925
      104.918    0.0417331
      104.775    0.0437681
      104.632    0.0459022
      104.489      0.04814
      104.346    0.0504867
      104.203    0.0529476
       104.06    0.0555281
      103.917    0.0582341
      103.774    0.0610717
      103.631    0.0640472
      103.488    0.0671673
      103.345    0.0704391
      103.202    0.0738699
      103.059    0.0774674
      102.916    0.0812397
      102.773    0.0851952
      102.631    0.0893429
      102.488    0.0936921
      102.345    0.0982525
      102.202     0.103034
      102.059     0.108048
      101.916     0.113306
      101.773     0.118818
       101.63     0.124599
      101.487     0.130659
      101.344     0.137014
      101.201     0.143677
      101.058     0.150664
      100.915     0.157989
      100.772      0.16567
      100.629     0.173723
      100.486     0.182167
      100.343      0.19102
        100.2     0.200303
      100.057     0.210035
      99.9144     0.220239
      99.7714     0.230938
      99.6284     0.242155
      99.4855     0.253916
      99.3425     0.266246
      99.1996     0.279174
      99.0566     0.292728
      98.9137     0.306939
      98.7707     0.321837
      98.6278     0.337457
      98.4848     0.353834
