Temperature = 1659.59K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      145.406     0.101662
      145.263     0.105479
       145.12     0.109439
      144.977     0.113547
      144.834     0.117809
      144.691      0.12223
      144.548     0.126818
      144.405     0.131576
      144.262     0.136513
      144.119     0.141635
      143.976     0.146948
      143.833      0.15246
       143.69     0.158178
      143.547      0.16411
      143.404     0.170264
      143.261     0.176648
      143.118      0.18327
      142.975     0.190141
      142.832     0.197268
      142.689     0.204661
      142.546     0.212331
      142.404     0.220288
      142.261     0.228541
      142.118     0.237104
      141.975     0.245986
      141.832       0.2552
      141.689     0.264758
      141.546     0.274673
      141.403     0.284958
       141.26     0.295628
      141.117     0.306696
      140.974     0.318177
      140.831     0.330086
      140.688      0.34244
      140.545     0.355256
      140.402     0.368549
      140.259     0.382338
      140.116     0.396642
      139.973      0.41148
       139.83     0.426871
      139.687     0.442836
      139.544     0.459397
      139.401     0.476575
      139.259     0.494394
      139.116     0.512876
      138.973     0.532048
       138.83     0.551935
      138.687     0.572563
      138.544     0.593959
      138.401     0.616153
      138.258     0.639174
      138.115     0.663052
      137.972      0.68782
      137.829      0.71351
      137.686     0.740157
      137.543     0.767797
        137.4     0.796465
      137.257     0.826201
      137.114     0.857044
      136.971     0.889035
      136.828     0.922216
      136.685     0.956633
      136.542      0.99233
      136.399      1.02935
      136.256      1.06776
      136.114      1.10759
      135.971       1.1489
      135.828      1.19175
      135.685      1.23619
      135.542      1.28229
      135.399       1.3301
      135.256      1.37968
      135.113      1.43111
       134.97      1.48445
      134.827      1.53977
      134.684      1.59715
      134.541      1.65666
      134.398      1.71838
      134.255       1.7824
      134.112      1.84879
      133.969      1.91764
      133.826      1.98906
      133.683      2.06312
       133.54      2.13993
      133.397       2.2196
      133.254      2.30222
      133.111      2.38791
      132.968      2.47678
      132.826      2.56895
      132.683      2.66453
       132.54      2.76366
      132.397      2.86647
      132.254      2.97309
      132.111      3.08366
      131.968      3.19834
      131.825      3.31726
      131.682       3.4406
      131.539      3.56851
      131.396      3.70115
      131.253      3.83871
       131.11      3.98137
      130.967      4.12932
      130.824      4.28274
      130.681      4.44185
      130.538      4.60685
      130.395      4.77796
      130.252      4.95541
      130.109      5.13942
      129.966      5.33025
      129.823      5.52815
      129.681      5.73336
      129.538      5.94617
      129.395      6.16686
      129.252      6.39571
      129.109      6.63302
      128.966      6.87912
      128.823      7.13431
       128.68      7.39895
      128.537      7.67337
      128.394      7.95793
      128.251      8.25301
      128.108      8.55901
      127.965      8.87631
      127.822      9.20533
      127.679      9.54652
      127.536       9.9003
      127.393      10.2672
       127.25      10.6476
      127.107       11.042
      126.964      11.4511
      126.821      11.8752
      126.678       12.315
      126.535       12.771
      126.393      13.2439
       126.25      13.7342
      126.107      14.2426
      125.964      14.7697
      125.821      15.3163
      125.678      15.8831
      125.535      16.4708
      125.392      17.0801
      125.249      17.7119
      125.106      18.3671
      124.963      19.0463
       124.82      19.7506
      124.677      20.4809
      124.534      21.2381
      124.391      22.0232
      124.248      22.8372
      124.105      23.6812
      123.962      24.5562
      123.819      25.4635
      123.676      26.4043
      123.533      27.3796
       123.39      28.3909
      123.248      29.4394
      123.105      30.5265
      122.962      31.6536
      122.819      32.8222
      122.676      34.0338
      122.533      35.2899
       122.39      36.5923
      122.247      37.9426
      122.104      39.3425
      121.961      40.7939
      121.818      42.2987
      121.675      43.8588
      121.532      45.4762
      121.389      47.1531
      121.246      48.8916
      121.103       50.694
       120.96      52.5626
      120.817      54.4998
      120.674      56.5082
      120.531      58.5904
      120.388       60.749
      120.245      62.9869
      120.103       65.307
       119.96      67.7122
      119.817      70.2057
      119.674      72.7906
      119.531      75.4705
      119.388      78.2487
      119.245      81.1287
      119.102      84.1145
      118.959      87.2097
      118.816      90.4184
      118.673      93.7448
       118.53      97.1931
      118.387      100.768
      118.244      104.474
      118.101      108.315
      117.958      112.297
      117.815      116.426
      117.672      120.705
      117.529      125.141
      117.386       129.74
      117.243      134.507
        117.1      139.449
      116.957      144.571
      116.815      149.881
      116.672      155.385
      116.529      161.091
      116.386      167.006
      116.243      173.137
        116.1      179.492
      115.957      186.079
      115.814      192.908
      115.671      199.986
      115.528      207.323
      115.385      214.928
      115.242      222.812
      115.099      230.983
      114.956      239.453
      114.813      248.232
       114.67      257.332
      114.527      266.765
      114.384      276.542
      114.241      286.676
      114.098       297.18
      113.955      308.067
      113.812      319.352
       113.67      331.049
      113.527      343.173
      113.384      355.739
      113.241      368.763
      113.098      382.263
      112.955      396.254
      112.812      410.757
      112.669      425.788
      112.526      441.367
      112.383      457.513
       112.24      474.249
      112.097      491.594
      111.954      509.571
      111.811      528.204
      111.668      547.515
      111.525      567.529
      111.382      588.272
      111.239      609.771
      111.096      632.052
      110.953      655.145
       110.81      679.077
      110.667      703.881
      110.524      729.588
      110.382       756.23
      110.239      783.841
      110.096      812.456
      109.953      842.112
       109.81      872.846
      109.667      904.698
      109.524      937.707
      109.381      971.917
      109.238      1007.37
      109.095      1044.11
      108.952      1082.19
      108.809      1121.65
      108.666      1162.54
      108.523      1204.91
       108.38      1248.83
      108.237      1294.34
      108.094       1341.5
      107.951      1390.38
      107.808      1441.03
      107.665      1493.51
      107.522       1547.9
      107.379      1604.26
      107.237      1662.67
      107.094       1723.2
      106.951      1785.92
      106.808      1850.91
      106.665      1918.26
      106.522      1988.05
      106.379      2060.37
      106.236      2135.31
      106.093      2212.97
       105.95      2293.44
      105.807      2376.82
      105.664      2463.22
      105.521      2552.75
      105.378      2645.53
      105.235      2741.66
      105.092      2841.27
      104.949      2944.48
      104.806      3051.43
      104.663      3162.24
       104.52      3277.07
      104.377      3396.05
      104.234      3519.33
      104.092      3647.06
      103.949      3779.42
      103.806      3916.55
      103.663      4058.65
       103.52      4205.88
      103.377      4358.42
      103.234      4516.48
      103.091      4680.25
      102.948      4849.93
      102.805      5025.73
      102.662      5207.89
      102.519      5396.61
      102.376      5592.15
      102.233      5794.74
       102.09      6004.65
      101.947      6222.12
      101.804      6447.44
      101.661      6680.89
      101.518      6922.75
      101.375      7173.33
      101.232      7432.94
      101.089      7701.91
      100.946      7980.57
      100.804      8269.27
      100.661      8568.38
      100.518      8878.25
      100.375      9199.28
      100.232      9531.88
      100.089      9876.44
      99.9458      10233.4
      99.8028      10603.2
      99.6599      10986.4
      99.5169      11383.3
       99.374      11794.5
       99.231      12220.4
      99.0881      12661.7
      98.9451      13118.9
      98.8022      13592.5
      98.6592      14083.1
      98.5162      14591.4
      98.3733      15117.9
      98.2303      15663.3
      98.0874      16228.4
      97.9444      16813.7
      97.8015        17420
      97.6585      18048.1
      97.5156      18698.8
      97.3726      19372.8
      97.2296        20071
      97.0867      20794.3
      96.9437      21543.5
      96.8008      22319.6
      96.6578      23123.5
      96.5149      23956.2
      96.3719      24818.9
       96.229      25712.4
       96.086      26637.9
      95.9431      27596.7
      95.8001      28589.7
      95.6571      29618.4
      95.5142      30683.9
      95.3712      31787.5
      95.2283      32930.7
      95.0853      34114.8
      94.9424      35341.3
      94.7994      36611.7
      94.6565      37927.6
      94.5135      39290.5
      94.3705      40702.2
      94.2276      42164.3
      94.0846      43678.8
      93.9417      45247.4
      93.7987      46872.1
      93.6558      48554.8
      93.5128      50297.7
      93.3699      52102.9
      93.2269      53972.6
      93.0839        55909
       92.941      57914.6
       92.798      59991.8
      92.6551      62143.2
      92.5121      64371.4
      92.3692      66679.1
      92.2262      69069.1
      92.0833      71544.4
      91.9403        74108
      91.7973      76763.1
      91.6544      79512.8
      91.5114      82360.5
      91.3685      85309.8
      91.2255      88364.2
      91.0826      91527.4
      90.9396      94803.4
      90.7967        98196
      90.6537       101709
      90.5107       105348
      90.3678       109116
      90.2248       113018
      90.0819       117060
      89.9389       121245
       89.796       125578
       89.653       130067
      89.5101       134714
      89.3671       139527
      89.2242       144511
      89.0812       149673
      88.9382       155017
      88.7953       160552
      88.6523       166283
      88.5094       172218
      88.3664       178364
      88.2235       184728
      88.0805       191318
      87.9376       198142
      87.7946       205208
      87.6516       212524
      87.5087       220101
      87.3657       227946
      87.2228       236069
      87.0798       244481
      86.9369       253191
      86.7939       262209
       86.651       271547
       86.508       281216
       86.365       291228
      86.2221       301594
      86.0791       312328
      85.9362       323441
      85.7932       334948
      85.6503       346863
      85.5073       359198
      85.3644       371971
      85.2214       385195
      85.0784       398887
      84.9355       413064
      84.7925       427741
      84.6496       442938
      84.5066       458672
      84.3637       474961
      84.2207       491827
      84.0778       509288
      83.9348       527366
      83.7918       546082
      83.6489       565459
      83.5059       585520
       83.363       606289
        83.22       627791
      83.0771       650052
      82.9341       673098
      82.7912       696956
      82.6482       721656
      82.5052       747227
      82.3623       773699
      82.2193       801104
      82.0764       829475
      81.9334       858845
      81.7905       889250
      81.6475       920725
      81.5046       953308
      81.3616       987039
      81.2187  1.02196e+06
      81.0757   1.0581e+06
      80.9327  1.09552e+06
      80.7898  1.13425e+06
      80.6468  1.17435e+06
      80.5039  1.21586e+06
      80.3609  1.25882e+06
       80.218   1.3033e+06
       80.075  1.34934e+06
      79.9321  1.39699e+06
      79.7891  1.44632e+06
      79.6461  1.49738e+06
      79.5032  1.55024e+06
      79.3602  1.60495e+06
      79.2173  1.66158e+06
      79.0743   1.7202e+06
      78.9314  1.78087e+06
      78.7884  1.84368e+06
      78.6455  1.90868e+06
      78.5025  1.97597e+06
      78.3595  2.04562e+06
      78.2166   2.1177e+06
      78.0736  2.19231e+06
      77.9307  2.26954e+06
      77.7877  2.34947e+06
      77.6448   2.4322e+06
      77.5018  2.51783e+06
      77.3589  2.60646e+06
      77.2159  2.69819e+06
      77.0729  2.79313e+06
        76.93  2.89139e+06
       76.787  2.99308e+06
      76.6441  3.09834e+06
      76.5011  3.20727e+06
      76.3582  3.32002e+06
      76.2152   3.4367e+06
      76.0723  3.55746e+06
      75.9293  3.68244e+06
      75.7863  3.81179e+06
      75.6434  3.94566e+06
      75.5004  4.08419e+06
      75.3575  4.22757e+06
      75.2145  4.37595e+06
      75.0716  4.52951e+06
      74.9286  4.68842e+06
      74.7857  4.85288e+06
      74.6427  5.02308e+06
      74.4997  5.19921e+06
      74.3568  5.38147e+06
      74.2138   5.5701e+06
      74.0709  5.76529e+06
      73.9279  5.96728e+06
       73.785  6.17631e+06
       73.642  6.39262e+06
      73.4991  6.61647e+06
      73.3561   6.8481e+06
      73.2132  7.08779e+06
      73.0702  7.33583e+06
      72.9272  7.59249e+06
      72.7843  7.85808e+06
      72.6413  8.13291e+06
      72.4984  8.41729e+06
      72.3554  8.71155e+06
      72.2125  9.01604e+06
      72.0695  9.33111e+06
      71.9266  9.65713e+06
      71.7836  9.99447e+06
      71.6406  1.03435e+07
      71.4977  1.07047e+07
      71.3547  1.10784e+07
      71.2118  1.14651e+07
      71.0688  1.18651e+07
      70.9259  1.22791e+07
      70.7829  1.27074e+07
        70.64  1.31506e+07
       70.497  1.36091e+07
       70.354  1.40835e+07
      70.2111  1.45744e+07
      70.0681  1.50822e+07
      69.9252  1.56077e+07
      69.7822  1.61513e+07
      69.6393  1.67137e+07
      69.4963  1.72957e+07
      69.3534  1.78977e+07
      69.2104  1.85206e+07
      69.0674   1.9165e+07
      68.9245  1.98317e+07
      68.7815  2.05215e+07
      68.6386  2.12351e+07
      68.4956  2.19733e+07
      68.3527  2.27371e+07
      68.2097  2.35272e+07
      68.0668  2.43446e+07
      67.9238  2.51903e+07
      67.7808  2.60651e+07
      67.6379  2.69701e+07
      67.4949  2.79064e+07
       67.352  2.88749e+07
       67.209  2.98768e+07
      67.0661  3.09133e+07
      66.9231  3.19855e+07
      66.7802  3.30947e+07
      66.6372   3.4242e+07
      66.4943  3.54289e+07
      66.3513  3.66567e+07
      66.2083  3.79268e+07
      66.0654  3.92405e+07
      65.9224  4.05995e+07
      65.7795  4.20052e+07
      65.6365  4.34593e+07
      65.4936  4.49634e+07
      65.3506  4.65192e+07
      65.2077  4.81285e+07
      65.0647  4.97931e+07
      64.9217  5.15148e+07
      64.7788  5.32958e+07
      64.6358  5.51378e+07
      64.4929  5.70432e+07
      64.3499  5.90139e+07
       64.207  6.10523e+07
       64.064  6.31606e+07
      63.9211  6.53412e+07
      63.7781  6.75966e+07
      63.6351  6.99293e+07
      63.4922   7.2342e+07
      63.3492  7.48374e+07
      63.2063  7.74183e+07
      63.0633  8.00876e+07
      62.9204  8.28482e+07
      62.7774  8.57034e+07
      62.6345  8.86563e+07
      62.4915  9.17103e+07
      62.3485  9.48688e+07
      62.2056  9.81353e+07
      62.0626  1.01513e+08
      61.9197  1.05007e+08
      61.7767   1.0862e+08
      61.6338  1.12357e+08
      61.4908  1.16221e+08
      61.3479  1.20217e+08
      61.2049   1.2435e+08
      61.0619  1.28623e+08
       60.919  1.33043e+08
       60.776  1.37613e+08
      60.6331   1.4234e+08
      60.4901  1.47227e+08
      60.3472  1.52281e+08
      60.2042  1.57507e+08
      60.0613  1.62912e+08
      59.9183    1.685e+08
      59.7753  1.74279e+08
      59.6324  1.80255e+08
      59.4894  1.86434e+08
      59.3465  1.92824e+08
      59.2035   1.9943e+08
      59.0606  2.06262e+08
      58.9176  2.13326e+08
      58.7747   2.2063e+08
      58.6317  2.28182e+08
      58.4888  2.35991e+08
      58.3458  2.44066e+08
      58.2028  2.52414e+08
      58.0599  2.61047e+08
      57.9169  2.69972e+08
       57.774    2.792e+08
       57.631  2.88741e+08
      57.4881  2.98606e+08
      57.3451  3.08805e+08
      57.2022  3.19351e+08
      57.0592  3.30253e+08
      56.9162  3.41525e+08
      56.7733  3.53179e+08
      56.6303  3.65228e+08
      56.4874  3.77685e+08
      56.3444  3.90563e+08
      56.2015  4.03878e+08
      56.0585  4.17642e+08
      55.9156  4.31873e+08
      55.7726  4.46584e+08
      55.6296  4.61793e+08
      55.4867  4.77516e+08
      55.3437   4.9377e+08
      55.2008  5.10573e+08
      55.0578  5.27944e+08
      54.9149  5.45901e+08
      54.7719  5.64465e+08
       54.629  5.83655e+08
       54.486  6.03492e+08
       54.343  6.23998e+08
      54.2001  6.45195e+08
      54.0571  6.67107e+08
      53.9142  6.89758e+08
      53.7712  7.13171e+08
      53.6283  7.37374e+08
      53.4853  7.62391e+08
      53.3424   7.8825e+08
      53.1994  8.14979e+08
      53.0564  8.42608e+08
      52.9135  8.71166e+08
      52.7705  9.00684e+08
      52.6276  9.31195e+08
      52.4846  9.62731e+08
      52.3417  9.95326e+08
      52.1987  1.02902e+09
      52.0558  1.06384e+09
      51.9128  1.09983e+09
      51.7698  1.13703e+09
      51.6269  1.17547e+09
      51.4839  1.21521e+09
       51.341  1.25628e+09
       51.198  1.29872e+09
      51.0551  1.34259e+09
      50.9121  1.38793e+09
      50.7692  1.43478e+09
      50.6262  1.48321e+09
      50.4833  1.53325e+09
      50.3403  1.58497e+09
      50.1973  1.63842e+09
      50.0544  1.69366e+09
      49.9114  1.75074e+09
      49.7685  1.80974e+09
      49.6255   1.8707e+09
      49.4826   1.9337e+09
      49.3396  1.99881e+09
      49.1967  2.06609e+09
      49.0537  2.13561e+09
      48.9107  2.20746e+09
      48.7678   2.2817e+09
      48.6248  2.35842e+09
      48.4819  2.43769e+09
      48.3389  2.51961e+09
       48.196  2.60425e+09
       48.053  2.69172e+09
      47.9101   2.7821e+09
      47.7671  2.87549e+09
      47.6241  2.97198e+09
      47.4812  3.07169e+09
      47.3382  3.17471e+09
      47.1953  3.28116e+09
      47.0523  3.39114e+09
      46.9094  3.50478e+09
      46.7664   3.6222e+09
      46.6235  3.74351e+09
      46.4805  3.86886e+09
      46.3375  3.99836e+09
      46.1946  4.13216e+09
      46.0516   4.2704e+09
      45.9087  4.41322e+09
      45.7657  4.56078e+09
      45.6228  4.71322e+09
      45.4798  4.87072e+09
      45.3369  5.03343e+09
      45.1939  5.20153e+09
      45.0509   5.3752e+09
       44.908  5.55461e+09
       44.765  5.73995e+09
      44.6221  5.93143e+09
      44.4791  6.12923e+09
      44.3362  6.33357e+09
      44.1932  6.54466e+09
      44.0503  6.76273e+09
      43.9073  6.98799e+09
      43.7643  7.22069e+09
      43.6214  7.46106e+09
      43.4784  7.70937e+09
      43.3355  7.96586e+09
      43.1925  8.23081e+09
      43.0496  8.50449e+09
      42.9066  8.78718e+09
      42.7637  9.07919e+09
      42.6207   9.3808e+09
      42.4778  9.69235e+09
      42.3348  1.00141e+10
      42.1918  1.03465e+10
      42.0489  1.06898e+10
      41.9059  1.10444e+10
       41.763  1.14107e+10
        41.62  1.17889e+10
      41.4771  1.21796e+10
      41.3341  1.25831e+10
      41.1912  1.29999e+10
      41.0482  1.34303e+10
      40.9052  1.38749e+10
      40.7623   1.4334e+10
      40.6193  1.48082e+10
      40.4764  1.52979e+10
      40.3334  1.58036e+10
      40.1905  1.63259e+10
      40.0475  1.68653e+10
      39.9046  1.74223e+10
      39.7616  1.79976e+10
      39.6186  1.85916e+10
      39.4757  1.92051e+10
      39.3327  1.98386e+10
      39.1898  2.04929e+10
      39.0468  2.11684e+10
      38.9039  2.18661e+10
      38.7609  2.25865e+10
       38.618  2.33304e+10
       38.475  2.40985e+10
       38.332  2.48917e+10
      38.1891  2.57107e+10
      38.0461  2.65564e+10
      37.9032  2.74297e+10
      37.7602  2.83313e+10
      37.6173  2.92623e+10
      37.4743  3.02236e+10
      37.3314  3.12162e+10
      37.1884   3.2241e+10
      37.0454  3.32991e+10
      36.9025  3.43916e+10
      36.7595  3.55196e+10
      36.6166  3.66841e+10
      36.4736  3.78865e+10
      36.3307  3.91278e+10
      36.1877  4.04094e+10
      36.0448  4.17326e+10
      35.9018  4.30986e+10
      35.7589  4.45089e+10
      35.6159  4.59648e+10
      35.4729  4.74679e+10
        35.33  4.90196e+10
       35.187  5.06214e+10
      35.0441  5.22751e+10
      34.9011  5.39822e+10
      34.7582  5.57445e+10
      34.6152  5.75637e+10
      34.4723  5.94416e+10
      34.3293  6.13801e+10
      34.1863  6.33812e+10
      34.0434  6.54468e+10
      33.9004  6.75789e+10
      33.7575  6.97798e+10
      33.6145  7.20516e+10
      33.4716  7.43966e+10
      33.3286   7.6817e+10
      33.1857  7.93153e+10
      33.0427   8.1894e+10
      32.8997  8.45555e+10
      32.7568  8.73027e+10
      32.6138   9.0138e+10
      32.4709  9.30645e+10
      32.3279  9.60849e+10
       32.185  9.92022e+10
       32.042   1.0242e+11
      31.8991   1.0574e+11
      31.7561  1.09167e+11
      31.6131  1.12704e+11
      31.4702  1.16354e+11
      31.3272  1.20121e+11
      31.1843  1.24008e+11
      31.0413   1.2802e+11
      30.8984   1.3216e+11
      30.7554  1.36433e+11
      30.6125  1.40842e+11
      30.4695  1.45392e+11
      30.3265  1.50087e+11
      30.1836  1.54932e+11
      30.0406  1.59932e+11
      29.8977  1.65091e+11
      29.7547  1.70414e+11
      29.6118  1.75908e+11
      29.4688  1.81576e+11
      29.3259  1.87425e+11
      29.1829   1.9346e+11
      29.0399  1.99686e+11
       28.897  2.06111e+11
       28.754  2.12741e+11
      28.6111   2.1958e+11
      28.4681  2.26638e+11
      28.3252  2.33919e+11
      28.1822  2.41431e+11
      28.0393  2.49182e+11
      27.8963  2.57178e+11
      27.7534  2.65428e+11
      27.6104   2.7394e+11
      27.4674  2.82721e+11
      27.3245   2.9178e+11
      27.1815  3.01126e+11
      27.0386  3.10767e+11
      26.8956  3.20713e+11
      26.7527  3.30974e+11
      26.6097  3.41559e+11
      26.4668  3.52478e+11
      26.3238  3.63742e+11
      26.1808  3.75362e+11
      26.0379  3.87348e+11
      25.8949  3.99711e+11
       25.752  4.12465e+11
       25.609   4.2562e+11
      25.4661  4.39189e+11
      25.3231  4.53186e+11
      25.1802  4.67623e+11
      25.0372  4.82514e+11
      24.8942  4.97873e+11
      24.7513  5.13715e+11
      24.6083  5.30054e+11
      24.4654  5.46906e+11
      24.3224  5.64287e+11
      24.1795  5.82213e+11
      24.0365  6.00701e+11
      23.8936  6.19769e+11
      23.7506  6.39433e+11
      23.6076  6.59714e+11
      23.4647  6.80629e+11
      23.3217  7.02199e+11
      23.1788  7.24443e+11
      23.0358  7.47383e+11
      22.8929  7.71039e+11
      22.7499  7.95433e+11
       22.607   8.2059e+11
       22.464  8.46531e+11
       22.321  8.73281e+11
      22.1781  9.00864e+11
      22.0351  9.29308e+11
      21.8922  9.58637e+11
      21.7492  9.88879e+11
      21.6063  1.02006e+12
      21.4633  1.05221e+12
      21.3204  1.08537e+12
      21.1774  1.11955e+12
      21.0344  1.15479e+12
      20.8915  1.19113e+12
      20.7485   1.2286e+12
      20.6056  1.26722e+12
      20.4626  1.30705e+12
      20.3197  1.34811e+12
      20.1767  1.39044e+12
      20.0338  1.43408e+12
      19.8908  1.47907e+12
      19.7479  1.52545e+12
      19.6049  1.57326e+12
      19.4619  1.62256e+12
       19.319  1.67337e+12
       19.176  1.72575e+12
      19.0331  1.77975e+12
      18.8901  1.83542e+12
      18.7472   1.8928e+12
      18.6042  1.95195e+12
      18.4613  2.01291e+12
      18.3183  2.07576e+12
      18.1753  2.14054e+12
      18.0324  2.20731e+12
      17.8894  2.27613e+12
      17.7465  2.34707e+12
      17.6035  2.42018e+12
      17.4606  2.49554e+12
      17.3176  2.57321e+12
      17.1747  2.65325e+12
      17.0317  2.73576e+12
      16.8887  2.82078e+12
      16.7458  2.90841e+12
      16.6028  2.99873e+12
      16.4599   3.0918e+12
      16.3169  3.18771e+12
       16.174  3.28656e+12
       16.031  3.38843e+12
      15.8881   3.4934e+12
      15.7451  3.60157e+12
      15.6021  3.71304e+12
      15.4592  3.82791e+12
      15.3162  3.94627e+12
      15.1733  4.06824e+12
      15.0303  4.19392e+12
      14.8874  4.32342e+12
      14.7444  4.45685e+12
      14.6015  4.59434e+12
      14.4585    4.736e+12
      14.3155  4.88196e+12
      14.1726  5.03234e+12
      14.0296  5.18728e+12
      13.8867  5.34692e+12
      13.7437  5.51139e+12
      13.6008  5.68083e+12
      13.4578   5.8554e+12
      13.3149  6.03524e+12
      13.1719  6.22052e+12
       13.029  6.41139e+12
       12.886  6.60802e+12
       12.743  6.81058e+12
      12.6001  7.01925e+12
      12.4571   7.2342e+12
      12.3142  7.45563e+12
      12.1712  7.68371e+12
      12.0283  7.91866e+12
      11.8853  8.16067e+12
      11.7424  8.40995e+12
      11.5994  8.66671e+12
      11.4564  8.93118e+12
      11.3135  9.20358e+12
      11.1705  9.48415e+12
      11.0276  9.77312e+12
      10.8846  1.00707e+13
      10.7417  1.03773e+13
      10.5987   1.0693e+13
      10.4558  1.10181e+13
      10.3128  1.13529e+13
