Temperature = 1663.76K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      145.737     0.117411
      145.594     0.121807
      145.451     0.126368
      145.308     0.131098
      145.165     0.136005
      145.022     0.141096
       144.88     0.146376
      144.737     0.151853
      144.594     0.157535
      144.451     0.163429
      144.308     0.169543
      144.165     0.175885
      144.022     0.182463
      143.879     0.189287
      143.736     0.196365
      143.593     0.203707
       143.45     0.211323
      143.307     0.219223
      143.164     0.227418
      143.021     0.235918
      142.878     0.244734
      142.735      0.25388
      142.592     0.263366
      142.449     0.273205
      142.306     0.283412
      142.163     0.293998
       142.02     0.304979
      141.877     0.316368
      141.735     0.328182
      141.592     0.340436
      141.449     0.353146
      141.306     0.366329
      141.163     0.380003
       141.02     0.394186
      140.877     0.408897
      140.734     0.424155
      140.591     0.439981
      140.448     0.456396
      140.305     0.473422
      140.162     0.491081
      140.019     0.509396
      139.876     0.528393
      139.733     0.548097
       139.59     0.568533
      139.447     0.589728
      139.304     0.611712
      139.161     0.634513
      139.018     0.658161
      138.875     0.682688
      138.732     0.708127
      138.589      0.73451
      138.447     0.761874
      138.304     0.790255
      138.161     0.819689
      138.018     0.850217
      137.875     0.881878
      137.732     0.914715
      137.589     0.948771
      137.446     0.984091
      137.303      1.02072
       137.16      1.05871
      137.017      1.09811
      136.874      1.13898
      136.731      1.18136
      136.588      1.22531
      136.445      1.27089
      136.302      1.31816
      136.159      1.36719
      136.016      1.41803
      135.873      1.47076
       135.73      1.52544
      135.587      1.58215
      135.444      1.64097
      135.302      1.70196
      135.159      1.76521
      135.016      1.83081
      134.873      1.89883
       134.73      1.96938
      134.587      2.04254
      134.444      2.11841
      134.301      2.19709
      134.158      2.27868
      134.015       2.3633
      133.872      2.45104
      133.729      2.54204
      133.586       2.6364
      133.443      2.73426
        133.3      2.83573
      133.157      2.94096
      133.014      3.05009
      132.871      3.16325
      132.728      3.28059
      132.585      3.40228
      132.442      3.52847
      132.299      3.65932
      132.157      3.79501
      132.014      3.93571
      131.871      4.08162
      131.728      4.23292
      131.585      4.38981
      131.442       4.5525
      131.299       4.7212
      131.156      4.89613
      131.013      5.07752
       130.87      5.26561
      130.727      5.46064
      130.584      5.66288
      130.441      5.87259
      130.298      6.09004
