Temperature = 1629.46K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      143.013    0.0715505
       142.87    0.0742921
      142.727    0.0771384
      142.584    0.0800935
      142.441    0.0831615
      142.298    0.0863467
      142.155    0.0896536
      142.012    0.0930868
      141.869    0.0966511
      141.726     0.100352
      141.583     0.104193
       141.44     0.108182
      141.297     0.112322
      141.154     0.116621
      141.011     0.121084
      140.868     0.125717
      140.725     0.130527
      140.582      0.13552
      140.439     0.140704
      140.296     0.146086
      140.153     0.151673
       140.01     0.157473
      139.868     0.163495
      139.725     0.169746
      139.582     0.176235
      139.439     0.182972
      139.296     0.189965
      139.153     0.197225
       139.01     0.204762
      138.867     0.212586
      138.724     0.220708
      138.581      0.22914
      138.438     0.237893
      138.295     0.246979
      138.152     0.256411
      138.009     0.266203
      137.866     0.276367
      137.723     0.286919
       137.58     0.297872
      137.437     0.309242
      137.294     0.321046
      137.151     0.333298
      137.008     0.346017
      136.865     0.359219
      136.722     0.372924
       136.58     0.387151
      136.437     0.401918
      136.294     0.417247
      136.151      0.43316
      136.008     0.449677
      135.865     0.466823
      135.722      0.48462
      135.579     0.503094
      135.436     0.522271
      135.293     0.542176
       135.15     0.562837
      135.007     0.584284
      134.864     0.606546
      134.721     0.629654
      134.578     0.653639
      134.435     0.678535
      134.292     0.704377
      134.149     0.731201
      134.006     0.759043
      133.863     0.787942
       133.72     0.817938
      133.577     0.849072
      133.435     0.881389
      133.292     0.914932
      133.149     0.949748
      133.006     0.985885
      132.863      1.02339
       132.72      1.06232
      132.577      1.10273
      132.434      1.14467
      132.291       1.1882
      132.148      1.23338
      132.005      1.28028
      131.862      1.32895
      131.719      1.37946
      131.576      1.43189
      131.433      1.48631
       131.29      1.54279
      131.147      1.60141
      131.004      1.66225
      130.861       1.7254
      130.718      1.79094
      130.575      1.85896
      130.432      1.92955
       130.29      2.00282
      130.147      2.07886
      130.004      2.15778
      129.861      2.23969
      129.718      2.32469
      129.575      2.41292
      129.432      2.50448
      129.289      2.59951
      129.146      2.69813
      129.003      2.80048
       128.86       2.9067
      128.717      3.01694
      128.574      3.13135
      128.431      3.25008
      128.288       3.3733
      128.145      3.50118
      128.002      3.63389
      127.859      3.77162
      127.716      3.91455
      127.573      4.06288
       127.43      4.21682
      127.287      4.37657
      127.144      4.54235
      127.002      4.71439
      126.859      4.89293
      126.716      5.07821
      126.573      5.27049
       126.43      5.47002
      126.287      5.67708
      126.144      5.89196
      126.001      6.11495
      125.858      6.34634
      125.715      6.58647
      125.572      6.83566
      125.429      7.09424
      125.286      7.36257
      125.143      7.64103
          125      7.92998
      124.857      8.22982
      124.714      8.54097
      124.571      8.86384
      124.428      9.19888
      124.285      9.54654
      124.142       9.9073
      123.999      10.2817
      123.857      10.6701
      123.714      11.0732
      123.571      11.4914
      123.428      11.9255
      123.285      12.3758
      123.142      12.8431
      122.999       13.328
      122.856      13.8311
      122.713      14.3532
       122.57      14.8949
      122.427       15.457
      122.284      16.0403
      122.141      16.6454
      121.998      17.2734
      121.855      17.9249
      121.712       18.601
      121.569      19.3024
      121.426      20.0303
      121.283      20.7854
       121.14       21.569
      120.997       22.382
      120.854      23.2256
      120.711      24.1008
      120.569      25.0089
      120.426      25.9511
      120.283      26.9287
       120.14      27.9431
      119.997      28.9954
      119.854      30.0873
      119.711      31.2202
      119.568      32.3956
      119.425      33.6151
      119.282      34.8804
      119.139      36.1931
      118.996       37.555
      118.853      38.9681
       118.71      40.4341
      118.567      41.9551
      118.424      43.5331
      118.281      45.1703
      118.138      46.8689
      117.995      48.6311
      117.852      50.4593
      117.709      52.3561
      117.566      54.3239
      117.424      56.3654
      117.281      58.4833
      117.138      60.6806
      116.995      62.9602
      116.852      65.3251
      116.709      67.7785
      116.566      70.3238
      116.423      72.9643
       116.28      75.7036
      116.137      78.5455
      115.994      81.4936
      115.851       84.552
      115.708      87.7248
      115.565      91.0163
      115.422      94.4308
      115.279       97.973
      115.136      101.648
      114.993       105.46
       114.85      109.414
      114.707      113.516
      114.564      117.772
      114.421      122.186
      114.279      126.765
      114.136      131.516
      113.993      136.443
       113.85      141.555
      113.707      146.858
      113.564      152.358
      113.421      158.064
      113.278      163.982
      113.135      170.122
      112.992      176.491
      112.849      183.097
      112.706      189.949
      112.563      197.057
       112.42      204.431
      112.277      212.079
      112.134      220.012
      111.991      228.241
      111.848      236.776
      111.705       245.63
      111.562      254.813
      111.419      264.339
      111.276      274.219
      111.133      284.468
      110.991      295.098
      110.848      306.124
      110.705       317.56
      110.562      329.422
      110.419      341.726
      110.276      354.487
      110.133      367.723
       109.99      381.452
      109.847      395.691
      109.704       410.46
      109.561      425.778
      109.418      441.666
      109.275      458.144
      109.132      475.235
      108.989      492.961
      108.846      511.346
      108.703      530.414
       108.56       550.19
      108.417      570.701
