Temperature = 1663.84K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      145.743     0.105245
        145.6     0.109186
      145.457     0.113273
      145.314     0.117513
      145.171     0.121912
      145.028     0.126474
      144.885     0.131207
      144.742     0.136117
      144.599     0.141209
      144.456     0.146492
      144.313     0.151972
       144.17     0.157656
      144.028     0.163552
      143.885     0.169669
      143.742     0.176013
      143.599     0.182594
      143.456      0.18942
      143.313     0.196501
       143.17     0.203846
      143.027     0.211464
      142.884     0.219366
      142.741     0.227563
      142.598     0.236066
      142.455     0.244885
      142.312     0.254032
      142.169     0.263521
      142.026     0.273363
      141.883     0.283571
       141.74      0.29416
      141.597     0.305143
      141.454     0.316534
      141.311      0.32835
      141.168     0.340606
      141.025     0.353318
      140.882     0.366503
       140.74     0.380178
      140.597     0.394362
      140.454     0.409075
      140.311     0.424334
      140.168     0.440161
      140.025     0.456577
      139.882     0.473603
      139.739     0.491262
      139.596     0.509578
      139.453     0.528574
       139.31     0.548277
      139.167     0.568713
      139.024     0.589907
      138.881      0.61189
      138.738     0.634689
      138.595     0.658335
      138.452     0.682859
      138.309     0.708295
      138.166     0.734675
      138.023     0.762035
       137.88     0.790411
      137.737      0.81984
      137.595     0.850362
      137.452     0.882018
      137.309     0.914848
      137.166     0.948896
      137.023     0.984208
       136.88      1.02083
      136.737      1.05881
      136.594       1.0982
      136.451      1.13905
      136.308      1.18142
      136.165      1.22535
      136.022      1.27092
      135.879      1.31818
      135.736      1.36718
      135.593      1.41801
       135.45      1.47072
      135.307      1.52538
      135.164      1.58207
      135.021      1.64085
      134.878      1.70182
      134.735      1.76504
      134.592      1.83061
       134.45       1.8986
      134.307      1.96911
      134.164      2.04224
      134.021      2.11807
      133.878       2.1967
      133.735      2.27825
      133.592      2.36282
      133.449      2.45051
      133.306      2.54145
      133.163      2.63576
       133.02      2.73355
      132.877      2.83496
      132.734      2.94012
      132.591      3.04917
      132.448      3.16226
      132.305      3.27952
      132.162      3.40112
      132.019      3.52722
      131.876      3.65797
      131.733      3.79356
       131.59      3.93416
      131.447      4.07995
      131.304      4.23113
      131.162      4.38789
      131.019      4.55044
      130.876        4.719
      130.733      4.89378
       130.59      5.07502
      130.447      5.26294
      130.304       5.4578
      130.161      5.65986
      130.018      5.86937
      129.875      6.08661
      129.732      6.31187
      129.589      6.54544
      129.446      6.78762
      129.303      7.03874
       129.16      7.29912
      129.017       7.5691
      128.874      7.84904
      128.731      8.13929
      128.588      8.44025
      128.445       8.7523
      128.302      9.07585
      128.159      9.41132
      128.017      9.75915
      127.874      10.1198
      127.731      10.4937
      127.588      10.8814
      127.445      11.2834
      127.302      11.7002
      127.159      12.1323
      127.016      12.5804
      126.873      13.0449
       126.73      13.5265
      126.587      14.0259
      126.444      14.5436
      126.301      15.0804
      126.158      15.6369
      126.015      16.2139
      125.872      16.8121
      125.729      17.4324
      125.586      18.0754
      125.443      18.7421
        125.3      19.4332
      125.157      20.1498
      125.014      20.8927
      124.871       21.663
      124.729      22.4615
      124.586      23.2893
      124.443      24.1476
        124.3      25.0374
      124.157      25.9599
      124.014      26.9162
      123.871      27.9077
      123.728      28.9356
      123.585      30.0012
      123.442      31.1059
      123.299      32.2511
      123.156      33.4384
      123.013      34.6692
       122.87      35.9452
      122.727       37.268
      122.584      38.6393
      122.441      40.0609
      122.298      41.5347
      122.155      43.0624
      122.012      44.6462
      121.869       46.288
      121.726        47.99
      121.584      49.7544
      121.441      51.5834
      121.298      53.4794
      121.155      55.4448
      121.012      57.4823
      120.869      59.5944
      120.726      61.7838
      120.583      64.0533
       120.44       66.406
      120.297      68.8448
      120.154      71.3728
      120.011      73.9933
      119.868      76.7098
      119.725      79.5256
      119.582      82.4444
      119.439      85.4699
      119.296      88.6061
      119.153       91.857
       119.01      95.2268
      118.867      98.7197
      118.724       102.34
      118.581      106.093
      118.439      109.983
      118.296      114.016
      118.153      118.195
       118.01      122.527
      117.867      127.018
      117.724      131.672
      117.581      136.496
      117.438      141.497
      117.295       146.68
      117.152      152.052
      117.009       157.62
      116.866      163.392
      116.723      169.374
       116.58      175.574
      116.437      182.001
      116.294      188.662
      116.151      195.565
      116.008      202.721
      115.865      210.137
      115.722      217.824
      115.579      225.791
      115.436      234.048
      115.293      242.606
      115.151      251.476
      115.008      260.668
      114.865      270.196
      114.722      280.071
      114.579      290.305
      114.436      300.912
      114.293      311.905
       114.15      323.299
      114.007      335.106
      113.864      347.344
      113.721      360.027
      113.578      373.171
      113.435      386.793
      113.292      400.911
      113.149      415.542
      113.006      430.705
      112.863      446.419
       112.72      462.705
      112.577      479.582
      112.434      497.073
      112.291        515.2
      112.148      533.984
      112.006      553.452
      111.863      573.626
       111.72      594.533
      111.577      616.199
      111.434      638.651
      111.291      661.919
      111.148      686.031
      111.005      711.018
      110.862      736.912
      110.719      763.745
      110.576      791.551
      110.433      820.366
       110.29      850.227
      110.147      881.169
      110.004      913.234
      109.861      946.461
      109.718      980.892
      109.575      1016.57
      109.432      1053.54
      109.289      1091.85
      109.146      1131.55
      109.003      1172.69
       108.86      1215.32
      108.718      1259.49
      108.575      1305.26
      108.432      1352.68
      108.289      1401.82
      108.146      1452.74
      108.003      1505.51
       107.86      1560.18
      107.717      1616.83
      107.574      1675.53
      107.431      1736.35
      107.288      1799.37
      107.145      1864.67
      107.002      1932.33
      106.859      2002.43
      106.716      2075.07
      106.573      2150.33
       106.43      2228.31
      106.287      2309.11
      106.144      2392.82
      106.001      2479.56
      105.858      2569.43
      105.715      2662.55
      105.573      2759.02
       105.43      2858.98
      105.287      2962.54
      105.144      3069.84
      105.001      3181.01
      104.858      3296.19
      104.715      3415.53
      104.572      3539.16
      104.429      3667.26
      104.286      3799.97
      104.143      3937.46
          104      4079.91
      103.857       4227.5
      103.714      4380.39
      103.571       4538.8
      103.428      4702.91
      103.285      4872.93
      103.142      5049.07
      102.999      5231.55
      102.856       5420.6
      102.713      5616.45
       102.57      5819.35
      102.428      6029.55
      102.285      6247.31
      102.142      6472.91
      101.999      6706.61
      101.856      6948.72
      101.713      7199.53
       101.57      7459.36
      101.427      7728.52
      101.284      8007.35
      101.141      8296.21
      100.998      8595.44
      100.855      8905.41
      100.712      9226.52
      100.569      9559.16
      100.426      9903.73
      100.283      10260.7
       100.14      10630.4
      99.9973      11013.5
      99.8543      11410.2
      99.7114      11821.2
      99.5684        12247
      99.4254        12688
      99.2825      13144.8
      99.1395        13618
      98.9966      14108.1
      98.8536      14615.9
      98.7107      15141.8
      98.5677      15686.5
      98.4248      16250.8
      98.2818      16835.3
      98.1388      17440.7
      97.9959      18067.8
      97.8529      18717.3
        97.71      19390.1
       97.567      20086.9
      97.4241      20808.7
      97.2811      21556.4
      97.1382      22330.7
      96.9952      23132.8
      96.8522      23963.5
      96.7093      24823.9
      96.5663      25715.1
      96.4234      26638.2
      96.2804      27594.2
      96.1375      28584.4
      95.9945      29609.9
      95.8516      30672.1
      95.7086      31772.3
      95.5656      32911.7
