    E, kcal/mol    D, mol/kcal        W1v->W1        W1v->P1        W1v->P4        W1v->P5
              0     6.8804e+09              0              0    4.03158e+11              0
            0.1    7.39453e+09    3.17386e+10    2.79044e+08    4.06632e+11              0
            0.2    7.94172e+09    3.44753e+10    2.26788e+09    4.10068e+11              0
            0.3    8.52412e+09    3.73173e+10    8.06513e+09    4.13451e+11              0
            0.4     9.1428e+09    4.02684e+10    1.93993e+10    4.16823e+11              0
            0.5    9.80099e+09    4.33197e+10    3.79448e+10    4.20127e+11              0
            0.6    1.05001e+10    4.64704e+10    6.56876e+10    4.23397e+11              0
            0.7    1.12426e+10    4.97147e+10     1.0462e+11     4.2662e+11              0
            0.8    1.20304e+10    5.30501e+10    1.56877e+11    4.29816e+11              0
            0.9    1.28662e+10    5.64612e+10    2.22078e+11    4.32971e+11              0
              1    1.37523e+10    5.99335e+10    3.00093e+11    4.36094e+11              0
            1.1    1.46911e+10    6.34579e+10     3.9224e+11    4.39192e+11              0
            1.2    1.56856e+10    6.70181e+10    4.99222e+11    4.42253e+11              0
            1.3    1.67386e+10    7.06043e+10    6.21581e+11    4.45284e+11              0
            1.4    1.78536e+10    7.42046e+10    7.59562e+11    4.48271e+11              0
            1.5    1.90324e+10     7.7815e+10    9.10583e+11    4.51243e+11              0
            1.6    2.02795e+10    8.14101e+10    1.07509e+12    4.54174e+11              0
            1.7    2.15975e+10    8.49819e+10     1.2537e+12     4.5708e+11              0
            1.8    2.29899e+10    8.85363e+10    1.44503e+12    4.59961e+11              0
            1.9    2.44603e+10    9.20706e+10    1.64801e+12    4.62817e+11              0
              2    2.60126e+10    9.55647e+10    1.86248e+12    4.65647e+11              0
            2.1    2.76511e+10    9.90072e+10    2.08839e+12    4.68442e+11              0
            2.2    2.93794e+10    1.02448e+11     2.3247e+12    4.71216e+11              0
            2.3    3.12019e+10    1.05838e+11    2.57073e+12    4.73964e+11              0
            2.4    3.31232e+10    1.09148e+11    2.82602e+12    4.76682e+11              0
            2.5    3.51478e+10    1.12463e+11    3.08925e+12    4.79376e+11              0
            2.6    3.72799e+10    1.15681e+11    3.35987e+12    4.82053e+11              0
            2.7    3.95251e+10    1.18809e+11    3.63732e+12    4.84703e+11              0
            2.8    4.18888e+10    1.21908e+11    3.92118e+12    4.87326e+11              0
            2.9    4.43762e+10    1.24875e+11    4.21118e+12    4.89923e+11              0
              3    4.69925e+10     1.2771e+11    4.50271e+12      4.925e+11              0
            3.1    4.97436e+10    1.30485e+11    4.78889e+12    4.95054e+11              0
            3.2    5.26362e+10    1.33174e+11    5.06993e+12    4.97582e+11              0
            3.3    5.56755e+10    1.39505e+11    5.34863e+12    5.00091e+11              0
            3.4    5.88685e+10    1.42365e+11    5.62803e+12    5.02578e+11              0
            3.5    6.22224e+10     1.4515e+11    5.90711e+12    5.05041e+11              0
            3.6    6.57443e+10    1.47865e+11    6.18061e+12    5.07476e+11              0
            3.7    6.94408e+10    1.50493e+11    6.44865e+12    5.09894e+11              0
            3.8    7.33193e+10       1.53e+11    6.71533e+12    5.12291e+11              0
            3.9    7.73882e+10    1.55396e+11    6.98163e+12    5.14666e+11              0
              4    8.16554e+10     1.5772e+11    7.24637e+12    5.17021e+11              0
            4.1    8.61289e+10     1.5998e+11    7.50917e+12    5.19357e+11              0
            4.2    9.08178e+10    1.64653e+11    7.76993e+12    5.21672e+11              0
            4.3    9.57318e+10     1.6701e+11    8.02873e+12    5.23964e+11              0
            4.4     1.0088e+11    1.69292e+11    8.28575e+12    5.26234e+11              0
            4.5    1.06271e+11    1.73663e+11    8.54118e+12    5.28489e+11        73253.3
            4.6    1.11916e+11    1.76053e+11    8.79531e+12    5.30722e+11         361437
            4.7    1.17825e+11    1.78418e+11    9.04847e+12    5.32937e+11         738687
            4.8    1.24008e+11    1.80747e+11    9.30035e+12    5.35134e+11    1.16262e+06
            4.9    1.30477e+11    1.83017e+11    9.55105e+12    5.37314e+11    1.61091e+06
              5    1.37244e+11    1.85221e+11    9.80051e+12    5.39475e+11    2.06937e+06
            5.1    1.44321e+11    1.87378e+11    1.00486e+13    5.41615e+11    2.57747e+06
            5.2    1.51719e+11    1.89511e+11    1.02958e+13    5.43739e+11    3.40347e+06
            5.3    1.59452e+11    1.91629e+11    1.05426e+13    5.45846e+11    4.37487e+06
            5.4    1.67533e+11    1.93741e+11    1.07897e+13    5.47935e+11    5.41169e+06
            5.5    1.75976e+11    1.95858e+11    1.10374e+13    5.50008e+11     6.4748e+06
            5.6    1.84794e+11    1.97953e+11    1.12848e+13    5.52065e+11    7.53977e+06
            5.7    1.94001e+11    2.00005e+11    1.15301e+13    5.54107e+11    8.63292e+06
            5.8    2.03616e+11    2.02005e+11    1.17721e+13     5.5613e+11    1.01385e+07
            5.9    2.13651e+11    2.03947e+11    1.20109e+13    5.58137e+11    1.18867e+07
              6    2.24123e+11    2.05863e+11    1.22473e+13     5.6013e+11    1.37284e+07
            6.1    2.35049e+11    2.07769e+11     1.2482e+13    5.62107e+11    1.56002e+07
            6.2    2.46448e+11    2.09641e+11    1.27155e+13    5.64067e+11    1.74635e+07
            6.3    2.58334e+11    2.11482e+11    1.29468e+13    5.66015e+11    1.93113e+07
            6.4    2.70728e+11    2.13288e+11    1.31753e+13    5.67948e+11    2.15215e+07
            6.5    2.83649e+11    2.15035e+11    1.34013e+13    5.69865e+11    2.41037e+07
            6.6    2.97116e+11    2.17459e+11    1.36255e+13    5.71767e+11    2.68472e+07
            6.7     3.1115e+11    2.19164e+11    1.38483e+13    5.73655e+11    2.96397e+07
            6.8     3.2577e+11    2.20793e+11    1.40693e+13     5.7553e+11    3.24923e+07
            6.9    3.41001e+11    2.22367e+11    1.42875e+13    5.77389e+11    3.53431e+07
              7    3.56863e+11    2.23865e+11    1.45034e+13    5.79235e+11      3.852e+07
            7.1    3.73379e+11    2.25276e+11    1.47172e+13    5.81068e+11    4.21433e+07
            7.2    3.90573e+11     2.2663e+11    1.49281e+13    5.82888e+11    4.59979e+07
            7.3    4.08471e+11    2.27931e+11    1.51357e+13    5.84692e+11    4.99095e+07
            7.4    4.27096e+11    2.29666e+11    1.53402e+13    5.86484e+11    5.38856e+07
            7.5    4.46476e+11    2.30916e+11    1.55411e+13    5.88263e+11    5.78644e+07
            7.6    4.66636e+11    2.32146e+11    1.57386e+13    5.90029e+11    6.20661e+07
            7.7    4.87606e+11    2.33755e+11    1.59326e+13    5.91781e+11    6.67184e+07
            7.8    5.09414e+11    2.34976e+11    1.61234e+13     5.9352e+11    7.16761e+07
            7.9    5.32087e+11    2.36165e+11    1.63117e+13    5.95248e+11    7.67001e+07
              8     5.5566e+11    2.37325e+11    1.64972e+13    5.96961e+11    8.17912e+07
            8.1    5.80162e+11    2.38453e+11    1.66794e+13    5.98662e+11    8.69399e+07
            8.2    6.05624e+11    2.39537e+11    1.68587e+13    6.00351e+11    9.22734e+07
