*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          700     0.647259  1.94298e+09    0.0189032  4.22131e-05   0.00221868
          700     0.775277  2.32727e+09    0.0188137   4.1061e-05   0.00215626
          700     0.982108  2.94815e+09    0.0186968  3.95809e-05   0.00207607
          700      1.35738  4.07465e+09    0.0185375  3.76101e-05    0.0019693
          700      1.70883  5.12968e+09    0.0184245   3.6246e-05   0.00189542
          700      2.36179  7.08975e+09    0.0182664  3.43821e-05   0.00179447
          700      3.06728  9.20755e+09    0.0181392  3.29217e-05   0.00171538
          700      3.98352   1.1958e+10    0.0180124   3.1501e-05   0.00163844
          700      5.07777  1.52427e+10    0.0178951  3.02167e-05    0.0015689
          700      6.19668  1.86016e+10    0.0177992  2.91877e-05   0.00151317
          700      7.37624  2.21424e+10    0.0177154  2.83053e-05   0.00146538
          700      8.83514  2.65218e+10    0.0176288  2.74088e-05   0.00141682
          700      10.6486  3.19657e+10    0.0175393  2.64998e-05   0.00136755
          700       12.597  3.78144e+10    0.0174589  2.56972e-05   0.00132405
