    E, kcal/mol    D, mol/kcal         W1->P0
          -14.6        184.307              0
          -14.5        610.514              0
          -14.4        843.546              0
          -14.3         1024.9              0
          -14.2        1178.67              0
          -14.1        1314.57              0
            -14        1437.69              0
          -13.9        1551.06              0
          -13.8        1656.69              0
          -13.7        1755.98              0
          -13.6        1849.95              0
          -13.5        1939.37              0
          -13.4        2024.85              0
          -13.3        2106.86              0
          -13.2        2185.79              0
          -13.1        2261.97              0
            -13        2335.67              0
          -12.9        2407.12              0
          -12.8         2476.5              0
          -12.7        2543.99              0
          -12.6        2609.74              0
          -12.5        2673.87              0
          -12.4         2736.5              0
          -12.3        2797.73              0
          -12.2        2857.64              0
          -12.1        2916.33              0
            -12        2973.85              0
          -11.9        3030.29              0
          -11.8        3085.69              0
          -11.7        3140.12              0
          -11.6        3193.61              0
          -11.5        3246.23              0
          -11.4        3488.29              0
          -11.3        3961.33              0
          -11.2        4244.07              0
          -11.1        4474.66              0
            -11        4677.07              0
          -10.9        4860.99              0
          -10.8         5031.5              0
          -10.7        5191.66              0
          -10.6         5343.5              0
          -10.5        5488.43              0
          -10.4        5627.49              0
          -10.3        5761.48              0
          -10.2        5891.01              0
          -10.1        6016.58              0
            -10         6138.6              0
           -9.9         6257.4              0
           -9.8        6373.27              0
           -9.7        6486.45              0
           -9.6        6597.15              0
           -9.5        6705.55              0
           -9.4         6811.8              0
           -9.3        6916.05              0
           -9.2        7019.43              0
           -9.1        7685.95              0
             -9        8030.52              0
           -8.9        8314.88              0
           -8.8        8567.89              0
           -8.7        8800.56              0
           -8.6        9018.47              0
           -8.5        9224.98              0
           -8.4        9422.26              0
           -8.3        9611.84              0
           -8.2        9990.69              0
           -8.1        10586.2              0
             -8        10990.4              0
           -7.9          11339              0
           -7.8          11656              0
           -7.7        11951.6              0
           -7.6        12230.9              0
           -7.5        12497.5              0
           -7.4        12753.3              0
           -7.3        13000.1              0
           -7.2        13239.1              0
           -7.1        13471.1              0
             -7        13696.9              0
           -6.9        13917.4              0
           -6.8        14685.8              0
           -6.7          15146              0
           -6.6          15541              0
           -6.5        15901.3              0
           -6.4        16238.7              0
           -6.3          16559              0
           -6.2        16865.8              0
           -6.1        17161.5              0
             -6        17449.8              0
           -5.9        18294.4              0
           -5.8        18810.1              0
           -5.7        19260.9              0
           -5.6          19676              0
           -5.5        20066.9              0
           -5.4        20439.4              0
           -5.3        20797.2              0
           -5.2        21142.7              0
           -5.1        21477.7              0
             -5        22004.8              0
           -4.9          22737              0
           -4.8        23278.7              0
           -4.7        23762.9              0
           -4.6        24213.6              0
           -4.5        24640.9              0
           -4.4        25050.2              0
           -4.3          25445              0
           -4.2        25827.4              0
           -4.1        26199.2              0
             -4        26561.6              0
           -3.9        26915.7              0
           -3.8        27262.1              0
           -3.7        28121.4              0
