pressure[bar]        = 10
temperature[K]       = 800
energy step[1/cm]    = 56
maximum energy[1/cm] = 24043

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      68.7415  1.56591e-10
      68.5814  1.69809e-10
      68.4213  1.84136e-10
      68.2612  1.99663e-10
      68.1011  2.16491e-10
       67.941  2.34727e-10
      67.7808  2.54488e-10
      67.6207  2.75901e-10
      67.4606  2.99103e-10
      67.3005  3.24243e-10
      67.1404   3.5148e-10
      66.9803  3.80989e-10
      66.8202  4.12958e-10
      66.6601  4.47589e-10
         66.5  4.85104e-10
      66.3399   5.2574e-10
      66.1797  5.69755e-10
      66.0196  6.17427e-10
      65.8595  6.69059e-10
      65.6994  7.24975e-10
      65.5393   7.8553e-10
      65.3792  8.51105e-10
      65.2191  9.22111e-10
       65.059  9.98997e-10
      64.8989  1.08224e-09
      64.7388  1.17237e-09
      64.5786  1.26995e-09
      64.4185  1.37558e-09
      64.2584  1.48994e-09
      64.0983  1.61372e-09
      63.9382  1.74771e-09
      63.7781  1.89273e-09
       63.618  2.04968e-09
      63.4579  2.21955e-09
      63.2978  2.40338e-09
      63.1377  2.60231e-09
      62.9775  2.81757e-09
      62.8174  3.05049e-09
      62.6573   3.3025e-09
      62.4972  3.57516e-09
      62.3371  3.87014e-09
       62.177  4.18925e-09
      62.0169  4.53444e-09
      61.8568  4.90784e-09
      61.6967  5.31172e-09
      61.5366  5.74855e-09
      61.3764  6.22098e-09
      61.2163   6.7319e-09
      61.0562  7.28441e-09
      60.8961  7.88186e-09
       60.736  8.52787e-09
      60.5759  9.22636e-09
      60.4158  9.98153e-09
      60.2557   1.0798e-08
      60.0956  1.16805e-08
      59.9355  1.26346e-08
      59.7753  1.36659e-08
      59.6152  1.47805e-08
      59.4551  1.59852e-08
       59.295  1.72872e-08
      59.1349  1.86942e-08
      58.9748  2.02146e-08
      58.8147  2.18575e-08
      58.6546  2.36326e-08
      58.4945  2.55505e-08
      58.3344  2.76224e-08
      58.1742  2.98608e-08
      58.0141  3.22787e-08
       57.854  3.48904e-08
      57.6939  3.77113e-08
      57.5338   4.0758e-08
      57.3737  4.40483e-08
      57.2136  4.76014e-08
      57.0535  5.14383e-08
      56.8934  5.55811e-08
      56.7333  6.00542e-08
      56.5731  6.48834e-08
       56.413  7.00968e-08
      56.2529  7.57246e-08
      56.0928  8.17994e-08
      55.9327  8.83563e-08
      55.7726   9.5433e-08
      55.6125   1.0307e-07
      55.4524  1.11312e-07
      55.2923  1.20205e-07
      55.1322  1.29801e-07
       54.972  1.40155e-07
      54.8119  1.51325e-07
      54.6518  1.63374e-07
      54.4917  1.76373e-07
      54.3316  1.90393e-07
      54.1715  2.05515e-07
      54.0114  2.21824e-07
      53.8513  2.39412e-07
      53.6912  2.58377e-07
      53.5311  2.78827e-07
      53.3709  3.00876e-07
      53.2108  3.24647e-07
      53.0507  3.50274e-07
      52.8906  3.77898e-07
      52.7305  4.07673e-07
      52.5704  4.39766e-07
      52.4103  4.74352e-07
      52.2502  5.11625e-07
      52.0901  5.51788e-07
        51.93  5.95064e-07
      51.7698  6.41689e-07
      51.6097   6.9192e-07
      51.4496  7.46031e-07
      51.2895  8.04318e-07
      51.1294  8.67097e-07
      50.9693   9.3471e-07
      50.8092  1.00752e-06
      50.6491  1.08593e-06
       50.489  1.17036e-06
      50.3289  1.26126e-06
      50.1687  1.35912e-06
      50.0086  1.46446e-06
      49.8485  1.57786e-06
      49.6884  1.69991e-06
      49.5283  1.83126e-06
      49.3682  1.97262e-06
      49.2081  2.12472e-06
       49.048  2.28839e-06
      48.8879  2.46447e-06
      48.7278  2.65389e-06
      48.5676  2.85766e-06
      48.4075  3.07683e-06
      48.2474  3.31255e-06
      48.0873  3.56605e-06
      47.9272  3.83865e-06
      47.7671  4.13176e-06
       47.607  4.44689e-06
      47.4469  4.78567e-06
      47.2868  5.14985e-06
      47.1267  5.54129e-06
      46.9665  5.96199e-06
      46.8064   6.4141e-06
      46.6463  6.89993e-06
      46.4862  7.42193e-06
      46.3261  7.98276e-06
       46.166  8.58524e-06
      46.0059   9.2324e-06
      45.8458   9.9275e-06
      45.6857   1.0674e-05
      45.5256  1.14757e-05
      45.3654  1.23364e-05
      45.2053  1.32606e-05
      45.0452  1.42528e-05
      44.8851  1.53178e-05
       44.725   1.6461e-05
      44.5649  1.76878e-05
      44.4048  1.90044e-05
      44.2447  2.04172e-05
      44.0846  2.19329e-05
      43.9245  2.35589e-05
      43.7643  2.53032e-05
      43.6042  2.71741e-05
      43.4441  2.91805e-05
       43.284  3.13322e-05
      43.1239  3.36392e-05
      42.9638  3.61127e-05
      42.8037  3.87643e-05
      42.6436  4.16065e-05
      42.4835  4.46528e-05
      42.3234  4.79173e-05
      42.1633  5.14154e-05
      42.0031  5.51633e-05
       41.843  5.91785e-05
      41.6829  6.34795e-05
      41.5228  6.80861e-05
      41.3627  7.30195e-05
      41.2026  7.83023e-05
      41.0425  8.39585e-05
      40.8824  9.00138e-05
      40.7223  9.64956e-05
      40.5622  0.000103433
       40.402  0.000110858
      40.2419  0.000118802
      40.0818  0.000127302
      39.9217  0.000136395
      39.7616  0.000146122
      39.6015  0.000156525
      39.4414  0.000167649
      39.2813  0.000179544
      39.1212  0.000192261
      38.9611  0.000205855
      38.8009  0.000220385
      38.6408  0.000235913
      38.4807  0.000252506
      38.3206  0.000270234
      38.1605  0.000289172
      38.0004    0.0003094
      37.8403  0.000331003
      37.6802  0.000354071
      37.5201  0.000378701
        37.36  0.000404994
      37.1998  0.000433059
      37.0397   0.00046301
      36.8796  0.000494971
      36.7195   0.00052907
      36.5594  0.000565446
      36.3993  0.000604244
      36.2392  0.000645621
      36.0791   0.00068974
       35.919  0.000736776
      35.7589  0.000786915
      35.5987  0.000840353
      35.4386  0.000897298
      35.2785  0.000957971
      35.1184   0.00102261
      34.9583   0.00109145
      34.7982   0.00116476
      34.6381   0.00124283
       34.478   0.00132593
      34.3179   0.00141439
      34.1578   0.00150854
      33.9976   0.00160871
      33.8375   0.00171529
      33.6774   0.00182865
      33.5173   0.00194921
      33.3572   0.00207741
      33.1971    0.0022137
       33.037   0.00235857
      32.8769   0.00251253
      32.7168   0.00267612
      32.5567   0.00284991
      32.3965    0.0030345
      32.2364   0.00323054
      32.0763   0.00343867
      31.9162   0.00365962
      31.7561   0.00389413
       31.596   0.00414297
      31.4359   0.00440697
      31.2758   0.00468699
      31.1157   0.00498396
      30.9556   0.00529883
      30.7954    0.0056326
      30.6353   0.00598635
      30.4752   0.00636118
      30.3151   0.00675827
       30.155   0.00717884
      29.9949    0.0076242
      29.8348   0.00809569
      29.6747   0.00859473
      29.5146   0.00912282
      29.3545   0.00968151
      29.1943    0.0102725
      29.0342    0.0108973
      28.8741     0.011558
       28.714    0.0122563
      28.5539    0.0129941
      28.3938    0.0137737
      28.2337     0.014597
      28.0736    0.0154663
      27.9135     0.016384
      27.7534    0.0173525
      27.5932    0.0183743
      27.4331    0.0194521
       27.273    0.0205887
      27.1129     0.021787
      26.9528    0.0230498
      26.7927    0.0243804
      26.6326     0.025782
      26.4725    0.0272579
      26.3124    0.0288116
      26.1523    0.0304468
      25.9921    0.0321671
       25.832    0.0339766
      25.6719    0.0358791
      25.5118    0.0378789
      25.3517    0.0399803
      25.1916    0.0421878
      25.0315    0.0445058
