pressure[bar]        = 1
temperature[K]       = 1200
energy step[1/cm]    = 83
maximum energy[1/cm] = 35163

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P1->P2
      100.535  7.88995e-10
      100.297  8.53778e-10
       100.06   9.2384e-10
      99.8229  9.99605e-10
      99.5856  1.08153e-09
      99.3482  1.17013e-09
      99.1109  1.26592e-09
      98.8736  1.36948e-09
      98.6363  1.48146e-09
       98.399  1.60251e-09
      98.1617  1.73337e-09
      97.9244  1.87484e-09
      97.6871  2.02775e-09
      97.4498  2.19303e-09
      97.2125  2.37167e-09
      96.9752  2.56473e-09
      96.7379  2.77338e-09
      96.5006  2.99886e-09
      96.2633  3.24252e-09
       96.026   3.5058e-09
      95.7887  3.79027e-09
      95.5514  4.09762e-09
       95.314  4.42968e-09
      95.0767  4.78841e-09
      94.8394  5.17593e-09
      94.6021  5.59453e-09
      94.3648  6.04668e-09
      94.1275  6.53505e-09
      93.8902   7.0625e-09
      93.6529  7.63213e-09
      93.4156  8.24728e-09
      93.1783  8.91156e-09
       92.941  9.62884e-09
      92.7037  1.04033e-08
      92.4664  1.12395e-08
      92.2291  1.21422e-08
      91.9918  1.31168e-08
      91.7545  1.41688e-08
      91.5172  1.53044e-08
      91.2798  1.65302e-08
      91.0425  1.78531e-08
      90.8052  1.92809e-08
      90.5679  2.08217e-08
      90.3306  2.24844e-08
      90.0933  2.42786e-08
       89.856  2.62145e-08
      89.6187  2.83032e-08
      89.3814  3.05566e-08
      89.1441  3.29876e-08
      88.9068    3.561e-08
      88.6695  3.84387e-08
      88.4322  4.14897e-08
      88.1949  4.47804e-08
      87.9576  4.83292e-08
      87.7203  5.21563e-08
       87.483  5.62832e-08
      87.2456  6.07332e-08
      87.0083  6.55311e-08
       86.771  7.07039e-08
      86.5337  7.62805e-08
      86.2964  8.22921e-08
      86.0591  8.87721e-08
      85.8218  9.57566e-08
      85.5845  1.03285e-07
      85.3472  1.11397e-07
      85.1099   1.2014e-07
      84.8726  1.29561e-07
      84.6353  1.39713e-07
       84.398   1.5065e-07
      84.1607  1.62433e-07
      83.9234  1.75128e-07
      83.6861  1.88802e-07
      83.4488  2.03531e-07
      83.2114  2.19396e-07
      82.9741  2.36481e-07
      82.7368  2.54882e-07
      82.4995  2.74696e-07
      82.2622  2.96031e-07
      82.0249  3.19002e-07
      81.7876  3.43734e-07
      81.5503  3.70358e-07
       81.313  3.99018e-07
      81.0757  4.29867e-07
      80.8384  4.63071e-07
      80.6011  4.98805e-07
      80.3638  5.37261e-07
      80.1265  5.78642e-07
      79.8892  6.23168e-07
      79.6519  6.71074e-07
      79.4146  7.22612e-07
      79.1772  7.78055e-07
      78.9399  8.37692e-07
      78.7026  9.01838e-07
      78.4653  9.70827e-07
       78.228  1.04502e-06
      77.9907   1.1248e-06
      77.7534  1.21058e-06
      77.5161  1.30282e-06
      77.2788  1.40198e-06
      77.0415  1.50857e-06
      76.8042  1.62315e-06
      76.5669  1.74631e-06
      76.3296  1.87866e-06
      76.0923   2.0209e-06
       75.855  2.17375e-06
      75.6177  2.33797e-06
      75.3804  2.51442e-06
       75.143  2.70397e-06
      74.9057  2.90759e-06
      74.6684   3.1263e-06
      74.4311  3.36119e-06
      74.1938  3.61346e-06
      73.9565  3.88435e-06
      73.7192  4.17522e-06
      73.4819  4.48751e-06
      73.2446  4.82277e-06
      73.0073  5.18266e-06
        72.77  5.56895e-06
      72.5327  5.98355e-06
      72.2954  6.42848e-06
      72.0581  6.90593e-06
      71.8208  7.41822e-06
      71.5835  7.96785e-06
      71.3462  8.55748e-06
      71.1088  9.18997e-06
      70.8715  9.86836e-06
      70.6342  1.05959e-05
      70.3969  1.13761e-05
      70.1596  1.22127e-05
      69.9223  1.31097e-05
       69.685  1.40714e-05
      69.4477  1.51022e-05
      69.2104  1.62071e-05
      68.9731  1.73913e-05
      68.7358  1.86603e-05
      68.4985  2.00202e-05
      68.2612  2.14771e-05
      68.0239   2.3038e-05
      67.7866    2.471e-05
      67.5493  2.65009e-05
       67.312  2.84189e-05
      67.0746  3.04729e-05
      66.8373  3.26722e-05
         66.6  3.50269e-05
      66.3627  3.75477e-05
      66.1254  4.02461e-05
      65.8881  4.31341e-05
      65.6508  4.62249e-05
      65.4135  4.95323e-05
      65.1762   5.3071e-05
      64.9389  5.68569e-05
      64.7016  6.09067e-05
      64.4643  6.52383e-05
       64.227  6.98709e-05
      63.9897  7.48248e-05
      63.7524  8.01216e-05
      63.5151  8.57844e-05
      63.2778  9.18379e-05
      63.0404  9.83081e-05
      62.8031  0.000105223
      62.5658  0.000112612
      62.3285  0.000120507
      62.0912  0.000128942
      61.8539  0.000137952
      61.6166  0.000147576
      61.3793  0.000157853
       61.142  0.000168827
      60.9047  0.000180544
      60.6674  0.000193052
      60.4301  0.000206403
      60.1928  0.000220652
      59.9555  0.000235858
      59.7182  0.000252082
      59.4809  0.000269391
      59.2436  0.000287854
      59.0062  0.000307546
      58.7689  0.000328545
      58.5316  0.000350936
      58.2943  0.000374808
       58.057  0.000400254
      57.8197  0.000427375
      57.5824  0.000456277
      57.3451  0.000487073
      57.1078  0.000519882
      56.8705   0.00055483
      56.6332  0.000592051
      56.3959  0.000631688
      56.1586  0.000673891
      55.9213  0.000718819
       55.684  0.000766641
      55.4467  0.000817537
      55.2094  0.000871693
       54.972  0.000929312
      54.7347  0.000990605
      54.4974   0.00105579
      54.2601   0.00112512
      54.0228   0.00119883
      53.7855   0.00127719
      53.5482   0.00136047
      53.3109   0.00144898
      53.0736   0.00154303
      52.8363   0.00164294
       52.599   0.00174907
      52.3617   0.00186178
      52.1244   0.00198145
      51.8871    0.0021085
      51.6498   0.00224336
      51.4125   0.00238648
      51.1752   0.00253834
      50.9378   0.00269944
      50.7005   0.00287032
      50.4632   0.00305153
      50.2259   0.00324367
      49.9886   0.00344736
      49.7513   0.00366324
       49.514   0.00389201
      49.2767   0.00413438
      49.0394   0.00439111
      48.8021   0.00466301
      48.5648   0.00495091
      48.3275   0.00525568
      48.0902   0.00557826
      47.8529   0.00591961
      47.6156   0.00628074
      47.3783   0.00666273
       47.141    0.0070667
      46.9036    0.0074938
      46.6663   0.00794528
       46.429   0.00842242
      46.1917   0.00892656
      45.9544   0.00945911
      45.7171    0.0100215
      45.4798    0.0106154
      45.2425    0.0112423
      45.0052    0.0119039
      44.7679     0.012602
      44.5306    0.0133383
      44.2933    0.0141149
       44.056    0.0149337
      43.8187    0.0157968
      43.5814    0.0167064
      43.3441    0.0176646
      43.1068    0.0186739
      42.8694    0.0197367
      42.6321    0.0208556
      42.3948    0.0220331
      42.1575     0.023272
      41.9202    0.0245752
      41.6829    0.0259456
      41.4456    0.0273863
      41.2083    0.0289004
       40.971    0.0304912
      40.7337    0.0321621
      40.4964    0.0339167
      40.2591    0.0357585
      40.0218    0.0376914
      39.7845    0.0397191
      39.5472    0.0418457
      39.3099    0.0440753
      39.0726    0.0464121
      38.8352    0.0488604
      38.5979    0.0514248
      38.3606    0.0541099
      38.1233    0.0569203
       37.886    0.0598608
      37.6487    0.0629366
      37.4114    0.0661525
      37.1741    0.0695138
      36.9368    0.0730257
      36.6995    0.0766937
      36.4622    0.0805231
      36.2249    0.0845197
      35.9876     0.088689
      35.7503    0.0930367
       35.513    0.0975687
      35.2757     0.102291
      35.0384     0.107209
       34.801     0.112329
      34.5637     0.117657
      34.3264       0.1232
      34.0891     0.128962
      33.8518      0.13495
      33.6145      0.14117
      33.3772     0.147628
      33.1399      0.15433
      32.9026     0.161282
      32.6653     0.168489
       32.428     0.175956
      32.1907      0.18369
      31.9534     0.191695
      31.7161     0.199977
      31.4788      0.20854
      31.2415     0.217388
      31.0042     0.226527
      30.7668      0.23596
      30.5295      0.24569
      30.2922     0.255721
      30.0549     0.266056
      29.8176     0.276696
      29.5803     0.287644
       29.343     0.298901
      29.1057     0.310468
      28.8684     0.322344
      28.6311     0.334528
      28.3938     0.347021
      28.1565     0.359819
      27.9192     0.372919
      27.6819     0.386318
      27.4446      0.40001
      27.2073     0.413991
        26.97     0.428253
      26.7326     0.442789
      26.4953      0.45759
       26.258     0.472645
      26.0207     0.487944
      25.7834     0.503475
      25.5461     0.519222
      25.3088     0.535173
      25.0715     0.551309
      24.8342     0.567614
      24.5969     0.584067
      24.3596      0.60065
      24.1223     0.617338
       23.885     0.634108
      23.6477     0.650935
      23.4104     0.667792
      23.1731      0.68465
      22.9358     0.701479
      22.6984     0.718247
      22.4611     0.734921
      22.2238     0.751467
      21.9865     0.767848
      21.7492     0.784027
      21.5119     0.799965
      21.2746     0.815623
      21.0373     0.830958
         20.8     0.845929
      20.5627      0.86049
      20.3254     0.874599
      20.0881     0.888207
      19.8508     0.901269
      19.6135     0.913735
      19.3762     0.925559
      19.1389      0.93669
      18.9016     0.947079
      18.6643     0.956679
      18.4269      0.96544
      18.1896     0.973316
      17.9523     0.980261
       17.715     0.986231
      17.4777     0.991182
      17.2404     0.995073
      17.0031     0.997865
      16.7658      0.99952
      16.5285            1
      16.2912     0.999271
      16.0539       0.9973
      15.8166     0.994055
      15.5793     0.989509
       15.342     0.983638
      15.1047     0.976421
      14.8674     0.967846
      14.6301     0.957904
      14.3927     0.946595
      14.1554     0.933926
      13.9181      0.91991
      13.6808      0.90457
      13.4435     0.887933
      13.2062     0.870032
      12.9689     0.850904
      12.7316     0.830591
      12.4943     0.809134
       12.257     0.786581
      12.0197     0.762981
      11.7824     0.738389
      11.5451     0.712864
      11.3078     0.686475
      11.0705       0.6593
      10.8332     0.631431
      10.5959     0.602971
      10.3585     0.574035
      10.1212     0.544751
      9.88393     0.515253
      9.64663     0.485681
      9.40932     0.456173
      9.17202     0.426863
      8.93471     0.397875
       8.6974     0.369322
       8.4601     0.341305
      8.22279     0.313912
      7.98549     0.287219
      7.74818       0.2613
      7.51087     0.236224
      7.27357     0.212068
      7.03626     0.188916
      6.79896     0.166863
      6.56165     0.146011
      6.32434     0.126467
      6.08704     0.108335
      5.84973    0.0917061
      5.61243    0.0766547
      5.37512    0.0632253
      5.13782    0.0514285
      4.90051     0.041237
       4.6632    0.0325846
       4.4259    0.0253689
      4.18859    0.0194578
      3.95129    0.0146999
      3.71398    0.0109357
      3.47667   0.00800704
      3.23937   0.00576543
      3.00206   0.00407714
      2.76476   0.00282682
      2.52745   0.00191716
      2.29014    0.0012682
      2.05284  0.000815028
      1.81553  0.000505829
      1.57823  0.000300545
      1.34092  0.000169243
      1.10362  8.92499e-05
     0.866309  4.27975e-05
     0.629004  1.72225e-05
     0.391698  4.86806e-06
     0.154392  4.84625e-07

