E, kcal/mol       W1->P0
          0            0
        0.5      40786.2
          1       987626
        1.5  1.08407e+07
          2  8.08239e+07
        2.5  4.91916e+08
          3  2.49347e+09
        3.5  1.08994e+10
          4  3.76469e+10
        4.5  9.70018e+10
          5  1.95009e+11
        5.5   3.3754e+11
          6  5.23721e+11
        6.5  7.50247e+11
          7  1.02053e+12
        7.5   1.3098e+12
          8  1.64354e+12
        8.5  1.99543e+12
          9  2.38632e+12
        9.5  2.77805e+12
         10  3.22173e+12
       10.5  3.67075e+12
         11  4.17818e+12
       11.5  4.70695e+12
         12  5.26876e+12
       12.5  5.86296e+12
         13  6.45925e+12
       13.5  7.12054e+12
         14  7.77124e+12
       14.5  8.46251e+12
         15  9.13542e+12
       15.5   9.8675e+12
         16  1.05596e+13
       16.5  1.13192e+13
         17  1.20751e+13
       17.5  1.28462e+13
         18  1.36312e+13
       18.5  1.44236e+13
         19  1.52482e+13
       19.5  1.60845e+13
         20  1.69341e+13
       20.5  1.77549e+13
         21  1.86236e+13
       21.5  1.94629e+13
         22  2.03544e+13
       22.5  2.12317e+13
         23  2.21164e+13
       23.5  2.29771e+13
         24   2.3874e+13
       24.5  2.47439e+13
         25  2.56547e+13
       25.5  2.65509e+13
         26  2.74515e+13
       26.5  2.83808e+13
         27  2.92842e+13
       27.5  3.01894e+13
         28  3.10955e+13
       28.5  3.20134e+13
         29  3.29089e+13
       29.5  3.38353e+13
         30  3.47294e+13
       30.5  3.56469e+13
         31  3.65614e+13
       31.5  3.74718e+13
         32   3.8376e+13
       32.5  3.92861e+13
         33  4.01825e+13
       33.5  4.10907e+13
         34  4.19904e+13
       34.5  4.28697e+13
         35  4.37708e+13
       35.5   4.4656e+13
         36  4.55519e+13
       36.5  4.64511e+13
         37  4.73254e+13
       37.5  4.82056e+13
         38  4.91036e+13
       38.5  4.99635e+13
         39  5.08486e+13
       39.5  5.17172e+13
         40  5.25545e+13
       40.5  5.34079e+13
         41  5.42721e+13
       41.5  5.51083e+13
         42  5.59701e+13
       42.5  5.68279e+13
         43  5.76486e+13
       43.5   5.8484e+13
         44  5.93138e+13
       44.5  6.01555e+13
         45  6.09811e+13
       45.5  6.17927e+13
         46  6.25963e+13
       46.5   6.3411e+13
         47  6.42108e+13
       47.5   6.5014e+13
         48  6.58091e+13
       48.5  6.65883e+13
         49  6.73847e+13
       49.5  6.81721e+13

