*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          700     0.647259  2.40496e+09    0.0187975  4.08534e-05   0.00214501
          700     0.775277  2.88062e+09    0.0187083  3.97244e-05   0.00208385
          700     0.982108  3.64913e+09    0.0185917  3.82747e-05   0.00200531
          700      1.35738  5.04347e+09    0.0184328  3.63453e-05    0.0019008
          700      1.70883  6.34936e+09    0.0183202  3.50104e-05    0.0018285
          700      2.36179  8.77547e+09    0.0181625  3.31873e-05   0.00172976
          700      3.06728  1.13968e+10    0.0180357  3.17593e-05   0.00165243
          700      3.98352  1.48012e+10    0.0179093  3.03705e-05   0.00157723
          700      5.07777   1.8867e+10    0.0177924  2.91153e-05   0.00150925
          700      6.19668  2.30244e+10    0.0176966  2.81098e-05   0.00145479
          700      7.37624  2.74072e+10     0.017613  2.72476e-05   0.00140808
          700      8.83514  3.28279e+10    0.0175266  2.63717e-05   0.00136061
          700      10.6486  3.95662e+10    0.0174372  2.54834e-05   0.00131246
          700       12.597  4.68055e+10    0.0173569  2.46992e-05   0.00126992
