*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          298      0.00403  3.64257e+07    0.0157878  6.90303e-05   0.00532267
          298      0.00417  3.76911e+07    0.0157531  6.84221e-05   0.00527652
          298      0.00421  3.80527e+07    0.0157434  6.82528e-05   0.00526367
          298      0.00424  3.83238e+07    0.0157363  6.81272e-05   0.00525413
          298      0.00456  4.12162e+07    0.0156628  6.68501e-05   0.00515712
          298      0.00619  5.59492e+07    0.0153592  6.16944e-05   0.00476455
          298      0.00653  5.90223e+07    0.0153069  6.08263e-05    0.0046983
          298      0.00686   6.2005e+07    0.0152589  6.00347e-05   0.00463786
          298      0.00719  6.49878e+07    0.0152133  5.92881e-05   0.00458081
          298       0.0076  6.86936e+07    0.0151597  5.84166e-05   0.00451418
          298      0.06842  6.18423e+08    0.0132336  3.14259e-05   0.00243037
          298      0.13289  1.20114e+09    0.0127247  2.57303e-05    0.0019865
          298      0.26711  2.41431e+09     0.012224  2.07201e-05   0.00159536
          298          0.3  2.71159e+09     0.012144  1.99745e-05   0.00153712
          298      0.53158  4.80476e+09    0.0117635  1.66321e-05     0.001276
          298      0.77763  7.02871e+09    0.0115226  1.46901e-05    0.0011243
          298            1  9.03864e+09    0.0113683  1.35179e-05   0.00103278
          425      0.00403   2.5649e+07    0.0115143   3.0686e-05   0.00299806
          425      0.00417    2.654e+07       0.0115   3.0503e-05   0.00298019
          425      0.00421  2.67946e+07    0.0114961   3.0452e-05   0.00297521
          425      0.00424  2.69856e+07    0.0114931  3.04141e-05   0.00297151
          425      0.00456  2.90222e+07    0.0114628  3.00275e-05   0.00293374
          425      0.00619  3.93964e+07    0.0113363   2.8441e-05   0.00277864
          425      0.00653  4.15603e+07    0.0113143  2.81696e-05   0.00275208
          425      0.00686  4.36606e+07    0.0112941  2.79209e-05   0.00272775
          425      0.00719  4.57609e+07    0.0112748  2.76854e-05    0.0027047
          425       0.0076  4.83703e+07    0.0112521  2.74093e-05   0.00267766
          425      0.06842   4.3546e+08    0.0103902  1.79944e-05     0.001753
          425      0.13289  8.45781e+08    0.0101455   1.5705e-05   0.00152759
          425      0.26711  1.70003e+09   0.00989676  1.35509e-05   0.00131544
          425          0.3  1.90936e+09   0.00985624  1.32167e-05   0.00128251
          425      0.53158  3.38325e+09   0.00966024  1.16652e-05   0.00112971
          425      0.77763  4.94924e+09   0.00953322  1.07176e-05   0.00103639
          425            1  6.36452e+09    0.0094507  1.01261e-05  0.000978156
          637      0.00403  1.78691e+07   0.00867964  2.46585e-05   0.00313308
          637      0.00417  1.84899e+07   0.00867315  2.45666e-05   0.00312129
