*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          298      0.00376  3.70802e+07    0.0154881  5.42919e-05   0.00405569
          298      0.00398  3.92498e+07    0.0154367  5.35105e-05     0.003998
          298      0.00466  4.59558e+07    0.0152954  5.13914e-05   0.00384138
          298      0.00486  4.79282e+07    0.0152581  5.08388e-05   0.00380048
          298      0.00506  4.99005e+07    0.0152224   5.0313e-05   0.00376157
          298      0.00534  5.26618e+07    0.0151749  4.96179e-05   0.00371009
          298      0.00565   5.5719e+07    0.0151254  4.88982e-05   0.00365676
          298      0.00622  6.13402e+07    0.0150415  4.76923e-05   0.00356733
          298      0.00654  6.44959e+07     0.014998  4.70728e-05   0.00352136
          298      0.00685  6.75531e+07    0.0149581  4.65069e-05   0.00347934
          298      0.00715  7.05116e+07    0.0149212  4.59881e-05   0.00344081
          298      0.00758  7.47522e+07    0.0148712  4.52891e-05   0.00338887
          298      0.13947  1.37542e+09     0.012675   2.0096e-05   0.00150084
          298      0.26316  2.59522e+09    0.0122695   1.6624e-05   0.00123882
          298          0.4  3.94471e+09    0.0120152  1.46334e-05   0.00108852
          298      0.52895  5.21638e+09    0.0118511  1.34247e-05  0.000997252
          298      0.78947  7.78557e+09    0.0116235  1.18461e-05  0.000878067
          298         0.82  8.08665e+09    0.0116024  1.17055e-05  0.000867447
          298            1  9.86176e+09    0.0114933  1.09934e-05  0.000813699
          298         1.01  9.96038e+09    0.0114879  1.09588e-05  0.000811082
          298          1.1  1.08479e+10    0.0114416  1.06653e-05  0.000788933
          298          1.2  1.18341e+10    0.0113949  1.03734e-05  0.000766898
          298          1.4  1.38065e+10     0.011313  9.87349e-06  0.000729172
          298          1.5  1.47926e+10    0.0112767  9.65675e-06  0.000712817
          298          1.6  1.57788e+10     0.011243  9.45783e-06  0.000697806
          298          1.7   1.6765e+10    0.0112116  9.27428e-06  0.000683956
          298          1.8  1.77512e+10    0.0111821  9.10413e-06  0.000671117
          298          1.9  1.87374e+10    0.0111543  8.94572e-06  0.000659165
          298          2.1  2.07097e+10    0.0111033  8.65892e-06  0.000637526
          298          2.2  2.16959e+10    0.0110798   8.5284e-06  0.000627679
          298          2.6  2.56406e+10    0.0109961  8.07391e-06   0.00059339
          298          2.7  2.66268e+10    0.0109774  7.97425e-06  0.000585871
          298          3.1  3.05715e+10    0.0109094  7.61862e-06  0.000559041
          298          3.2  3.15576e+10    0.0108939  7.53889e-06  0.000553026
          298          3.4    3.353e+10    0.0108645   7.3887e-06  0.000541693
          298          3.5  3.45162e+10    0.0108504  7.31781e-06  0.000536346
          298          3.6  3.55023e+10    0.0108368   7.2495e-06  0.000531191
          298          3.7  3.64885e+10    0.0108237   7.1836e-06  0.000526219
          298          3.8  3.74747e+10    0.0108108  7.11996e-06  0.000521418
          298          3.9  3.84609e+10    0.0107984  7.05845e-06  0.000516777
          298          4.9  4.83226e+10    0.0106903  6.53767e-06  0.000477479
          298          5.1   5.0295e+10    0.0106716  6.44994e-06  0.000470858
          298          5.2  5.12812e+10    0.0106626  6.40774e-06  0.000467673
          298          5.9  5.81844e+10     0.010604  6.13904e-06  0.000447393
          298            6  5.91706e+10    0.0105963  6.10404e-06   0.00044475
          298          6.1  6.01568e+10    0.0105887  6.06978e-06  0.000442164
          298          6.4  6.31153e+10    0.0105667  5.97122e-06  0.000434724
          298          6.5  6.41015e+10    0.0105596  5.93969e-06  0.000432344
          298          6.7  6.60738e+10    0.0105458  5.87847e-06  0.000427723
          298            7  6.90323e+10    0.0105258  5.79096e-06  0.000421116
          298          7.5  7.39632e+10    0.0104946  5.65541e-06  0.000410881
          298            8  7.88941e+10    0.0104655   5.5311e-06  0.000401494
          298          9.4  9.27006e+10    0.0103936  5.23071e-06  0.000378805
          298          9.7  9.56591e+10    0.0103798  5.17386e-06   0.00037451
          298          9.9  9.76315e+10    0.0103707  5.13721e-06  0.000371741
          298           10  9.86176e+10    0.0103663  5.11924e-06  0.000370383
          298         10.2   1.0059e+11    0.0103576  5.08399e-06  0.000367721
          298         10.5  1.03549e+11    0.0103449  5.03278e-06  0.000363851
          298         10.9  1.07493e+11    0.0103285  4.96737e-06  0.000358908
          298           11  1.08479e+11    0.0103245   4.9515e-06  0.000357709
          298         12.7  1.25244e+11     0.010262  4.70745e-06  0.000339263
          298         13.6   1.3412e+11    0.0102325  4.59481e-06  0.000330747
          298         14.3  1.41023e+11     0.010211  4.51369e-06  0.000324614
          298         14.6  1.43982e+11    0.0102021  4.48049e-06  0.000322103
          298         15.1  1.48913e+11    0.0101877  4.42708e-06  0.000318064
          298         15.7   1.5483e+11    0.0101711  4.36595e-06   0.00031344
          298         16.4  1.61733e+11    0.0101526  4.29835e-06  0.000308327
          298         17.2  1.69622e+11    0.0101324  4.22555e-06  0.000302819
          298         17.3  1.70609e+11      0.01013  4.21676e-06  0.000302154
          298         17.5  1.72581e+11    0.0101251  4.19938e-06  0.000300839
          298         18.5  1.82443e+11    0.0101017  4.11617e-06  0.000294543
          298         18.9  1.86387e+11    0.0100927  4.08451e-06  0.000292147
          298         19.3  1.90332e+11     0.010084  4.05371e-06  0.000289815
          298         19.5  1.92304e+11    0.0100796  4.03862e-06  0.000288673
          298         19.6  1.93291e+11    0.0100775  4.03115e-06  0.000288108
          298         20.4   2.0118e+11    0.0100608  3.97312e-06  0.000283715
          298         20.9  2.06111e+11    0.0100507  3.93833e-06  0.000281082
          298         22.2  2.18931e+11    0.0100256  3.85273e-06  0.000274601
