*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K          atm        1/sec                         0            0
          298      0.00376  3.70802e+07     0.014068  5.02989e-05   0.00416402
          298      0.00398  3.92498e+07    0.0140211  4.95781e-05   0.00410511
          298      0.00466  4.59558e+07    0.0138922  4.76232e-05   0.00394513
          298      0.00486  4.79282e+07    0.0138581  4.71132e-05   0.00390335
          298      0.00506  4.99005e+07    0.0138255  4.66281e-05   0.00386359
          298      0.00534  5.26618e+07    0.0137822  4.59867e-05   0.00381099
          298      0.00565   5.5719e+07     0.013737  4.53225e-05    0.0037565
          298      0.00622  6.13402e+07    0.0136604  4.42096e-05   0.00366511
          298      0.00654  6.44959e+07    0.0136207  4.36377e-05   0.00361812
          298      0.00685  6.75531e+07    0.0135842  4.31153e-05   0.00357517
          298      0.00715  7.05116e+07    0.0135506  4.26365e-05   0.00353579
          298      0.00758  7.47522e+07    0.0135049  4.19912e-05   0.00348269
          298      0.13947  1.37542e+09    0.0115001  1.86934e-05   0.00154829
          298      0.26316  2.59522e+09    0.0111299  1.54745e-05   0.00127903
          298          0.4  3.94471e+09    0.0108977   1.3628e-05   0.00112446
          298      0.52895  5.21638e+09    0.0107479  1.25063e-05   0.00103056
          298      0.78947  7.78557e+09    0.0105401  1.10408e-05  0.000907881
          298         0.82  8.08665e+09    0.0105209  1.09101e-05  0.000896946
          298            1  9.86176e+09    0.0104212  1.02489e-05  0.000841598
          298         1.01  9.96038e+09    0.0104163  1.02167e-05  0.000838903
          298          1.1  1.08479e+10     0.010374  9.94406e-06   0.00081609
          298          1.2  1.18341e+10    0.0103313  9.67284e-06  0.000793393
          298          1.4  1.38065e+10    0.0102566  9.20838e-06  0.000754529
          298          1.5  1.47926e+10    0.0102235  9.00698e-06  0.000737678
          298          1.6  1.57788e+10    0.0101927  8.82213e-06  0.000722212
          298          1.7   1.6765e+10     0.010164  8.65155e-06  0.000707941
          298          1.8  1.77512e+10    0.0101371   8.4934e-06   0.00069471
          298          1.9  1.87374e+10    0.0101118  8.34617e-06  0.000682393
          298          2.1  2.07097e+10    0.0100652  8.07958e-06  0.000660092
          298          2.2  2.16959e+10    0.0100437  7.95825e-06  0.000649943
          298          2.6  2.56406e+10   0.00996737  7.53573e-06  0.000614599
          298          2.7  2.66268e+10   0.00995029  7.44307e-06  0.000606848
          298          3.1  3.05715e+10   0.00988827  7.11239e-06  0.000579189
          298          3.2  3.15576e+10   0.00987413  7.03826e-06  0.000572988
          298          3.4    3.353e+10   0.00984725  6.89858e-06  0.000561305
          298          3.5  3.45162e+10   0.00983445  6.83267e-06  0.000555791
          298          3.6  3.55023e+10   0.00982205  6.76914e-06  0.000550477
          298          3.7  3.64885e+10   0.00981002  6.70785e-06   0.00054535
          298          3.8  3.74747e+10   0.00979833  6.64867e-06  0.000540399
          298          3.9  3.84609e+10   0.00978698  6.59146e-06  0.000535614
          298          4.9  4.83226e+10   0.00968839  6.10708e-06  0.000495093
          298          5.1   5.0295e+10   0.00967133  6.02548e-06  0.000488266
          298          5.2  5.12812e+10   0.00966306  5.98621e-06  0.000484981
          298          5.9  5.81844e+10   0.00960968  5.73627e-06  0.000464067
          298            6  5.91706e+10   0.00960263   5.7037e-06  0.000461342
          298          6.1  6.01568e+10   0.00959569  5.67183e-06  0.000458675
          298          6.4  6.31153e+10   0.00957562  5.58014e-06  0.000451002
          298          6.5  6.41015e+10   0.00956915  5.55081e-06  0.000448548
          298          6.7  6.60738e+10   0.00955654  5.49386e-06  0.000443781
          298            7  6.90323e+10   0.00953838  5.41244e-06  0.000436968
          298          7.5  7.39632e+10    0.0095099  5.28633e-06  0.000426412
          298            8  7.88941e+10   0.00948342  5.17067e-06   0.00041673
          298          9.4  9.27006e+10   0.00941789  4.89118e-06  0.000393329
          298          9.7  9.56591e+10   0.00940523  4.83827e-06  0.000388899
          298          9.9  9.76315e+10   0.00939702  4.80417e-06  0.000386043
          298           10  9.86176e+10   0.00939298  4.78745e-06  0.000384643
          298         10.2   1.0059e+11   0.00938504  4.75466e-06  0.000381896
          298         10.5  1.03549e+11   0.00937343    4.707e-06  0.000377905
          298         10.9  1.07493e+11    0.0093585  4.64613e-06  0.000372807
          298           11  1.08479e+11   0.00935487  4.63137e-06   0.00037157
          298         12.7  1.25244e+11   0.00929795  4.40426e-06  0.000352544
          298         13.6   1.3412e+11   0.00927107  4.29944e-06   0.00034376
          298         14.3  1.41023e+11   0.00925145  4.22396e-06  0.000337433
          298         14.6  1.43982e+11   0.00924336  4.19306e-06  0.000334843
          298         15.1  1.48913e+11   0.00923026  4.14336e-06  0.000330677
          298         15.7   1.5483e+11   0.00921515  4.08646e-06  0.000325907
