    E, kcal/mol    D, mol/kcal         W1->P0
            -20              0            ***
            -19              0            ***
            -18              0            ***
            -17              0            ***
            -16              0            ***
            -15              0            ***
            -14        2851.78              0
            -13        4656.94              0
            -12        5936.45              0
            -11        9627.53              0
            -10        12427.8              0
             -9        16362.2              0
             -8        22878.1              0
             -7        30588.3              0
             -6        37835.7              0
             -5        47193.7              0
             -4        57337.5              0
             -3          69970              0
             -2        84643.8              0
             -1         100328              0
    3.53776e-15         118783              0
              1         139320        20253.3
              2         162705    9.59861e+06
              3         187122    1.19395e+09
              4         215107    4.83093e+10
              5         246610    2.89706e+11
              6         279220     7.7114e+11
              7         316462    1.46653e+12
              8         358267    2.33286e+12
              9         402171    3.34734e+12
