    E, kcal/mol    D, mol/kcal         W1->P0
            -14        1437.69              0
          -13.5        1939.37              0
            -13        2335.67              0
          -12.5        2673.87              0
            -12        2973.85              0
          -11.5        3246.23              0
            -11        4677.07              0
          -10.5        5488.43              0
            -10         6138.6              0
           -9.5        6705.55              0
             -9        8030.52              0
           -8.5        9224.98              0
             -8        10990.4              0
           -7.5        12497.5              0
             -7        13696.9              0
           -6.5        15901.3              0
             -6        17449.8              0
           -5.5        20066.9              0
             -5        22004.8              0
           -4.5        24640.9              0
             -4        26561.6              0
           -3.5        30040.1              0
             -3        32977.7              0
           -2.5        36371.7              0
             -2        39145.5              0
           -1.5        42590.3              0
             -1        46695.9              0
           -0.5        50272.7              0
   -4.76237e-15        55171.4              0
            0.5        59314.2        40786.2
              1        64100.8         987626
            1.5        68900.2    1.08407e+07
              2        75426.6    8.08239e+07
            2.5        80507.4    4.91916e+08
              3        87043.5    2.49347e+09
            3.5          92299    1.08994e+10
              4        98550.6    3.76469e+10
            4.5         105599    9.70018e+10
              5         113550    1.95009e+11
            5.5         120750     3.3754e+11
              6         128162    5.23721e+11
            6.5         136210    7.50247e+11
              7         143845    1.02053e+12
            7.5         153988     1.3098e+12
              8         162833    1.64354e+12
            8.5         173007    1.99543e+12
              9         182410    2.38632e+12
            9.5         193937    2.77805e+12
             10         204094    3.22173e+12
           10.5         216297    3.67075e+12
             11         227431    4.17818e+12
           11.5         239681    4.70695e+12
             12         252303    5.26876e+12
           12.5         265245    5.86296e+12
             13         279736    6.45925e+12
           13.5         292928    7.12054e+12
             14         307939    7.77124e+12
           14.5         322571    8.46251e+12
             15         339015    9.13542e+12
           15.5         354324     9.8675e+12
             16         372140    1.05596e+13
           16.5         388714    1.13192e+13
             17         406593    1.20751e+13
           17.5         425109    1.28462e+13
             18         444285    1.36312e+13
           18.5         464284    1.44236e+13
             19         484272    1.52482e+13
           19.5         504870    1.60845e+13
             20         525983    1.69341e+13
           20.5         548875    1.77549e+13
             21         571129    1.86236e+13
           21.5         595106    1.94629e+13
             22         618331    2.03544e+13
           22.5         642870    2.12317e+13
             23         668100    2.21164e+13
           23.5         694971    2.29771e+13
             24         721661     2.3874e+13
           24.5         750066    2.47439e+13
             25         778115    2.56547e+13
           25.5         807470    2.65509e+13
             26         837536    2.74515e+13
           26.5         867549    2.83808e+13
             27         899158    2.92842e+13
           27.5         931512    3.01894e+13
             28         964648    3.10955e+13
           28.5         998266    3.20134e+13
             29    1.03346e+06    3.29089e+13
           29.5    1.06857e+06    3.38353e+13
             30    1.10559e+06    3.47294e+13
           30.5    1.14276e+06    3.56469e+13
             31    1.18091e+06    3.65614e+13
           31.5    1.22006e+06    3.74718e+13
             32     1.2603e+06     3.8376e+13
           32.5     1.3012e+06    3.92861e+13
             33    1.34341e+06    4.01825e+13
           33.5    1.38607e+06    4.10907e+13
             34    1.42989e+06    4.19904e+13
           34.5     1.4753e+06    4.28697e+13
             35    1.52089e+06    4.37708e+13
           35.5    1.56797e+06     4.4656e+13
             36    1.61562e+06    4.55519e+13
           36.5     1.6641e+06    4.64511e+13
             37    1.71442e+06    4.73254e+13
           37.5    1.76549e+06    4.82056e+13
             38    1.81684e+06    4.91036e+13
           38.5    1.87055e+06    4.99635e+13
             39    1.92426e+06    5.08486e+13
           39.5    1.97954e+06    5.17172e+13
             40    2.03698e+06    5.25545e+13
           40.5     2.0948e+06    5.34079e+13
             41     2.1532e+06    5.42721e+13
           41.5    2.21375e+06    5.51083e+13
             42    2.27431e+06    5.59701e+13
           42.5    2.33608e+06    5.68279e+13
             43    2.40042e+06    5.76486e+13
           43.5    2.46522e+06     5.8484e+13
             44    2.53131e+06    5.93138e+13
           44.5    2.59795e+06    6.01555e+13
             45    2.66634e+06    6.09811e+13
           45.5     2.7364e+06    6.17927e+13
             46    2.80791e+06    6.25963e+13
           46.5    2.88003e+06     6.3411e+13
             47    2.95396e+06    6.42108e+13
           47.5    3.02887e+06     6.5014e+13
             48    3.10532e+06    6.58091e+13
           48.5    3.18371e+06    6.65883e+13
             49    3.26245e+06    6.73847e+13
           49.5     3.3428e+06    6.81721e+13
             50    3.42486e+06    6.89488e+13
           50.5    3.50831e+06    6.97217e+13
             51    3.59336e+06    7.04866e+13
           51.5    3.68008e+06    7.12426e+13
             52    3.76683e+06    7.20212e+13
           52.5    3.85593e+06    7.27785e+13
             53     3.9473e+06     7.3517e+13
           53.5    4.03881e+06    7.42767e+13
             54    4.13313e+06    7.50086e+13
           54.5    4.22848e+06    7.57457e+13
             55    4.32465e+06    7.64916e+13
           55.5    4.42337e+06    7.72157e+13
             56    4.52409e+06    7.79284e+13
           56.5    4.62544e+06    7.86535e+13
             57     4.7293e+06    7.93589e+13
           57.5    4.83377e+06    8.00768e+13
             58    4.93946e+06    8.07968e+13
           58.5    5.04841e+06    8.14864e+13
             59    5.15814e+06    8.21861e+13
           59.5    5.27004e+06    8.28743e+13
             60    5.38318e+06    8.35657e+13
