Temperature = 1500K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      93.3842    0.0209895
      93.2842    0.0216408
      93.1842    0.0223114
      93.0842    0.0230032
      92.9842    0.0237157
      92.8842    0.0244504
      92.7842    0.0252084
      92.6842    0.0259897
      92.5842    0.0267952
      92.4842    0.0276248
      92.3842    0.0284806
      92.2842    0.0293624
      92.1842    0.0302711
      92.0842    0.0312085
      91.9842    0.0321753
      91.8842    0.0331725
      91.7842    0.0342005
      91.6842    0.0352585
      91.5842    0.0363494
      91.4842    0.0374736
      91.3842     0.038633
      91.2842    0.0398278
      91.1842    0.0410603
      91.0842    0.0423319
      90.9842    0.0436421
      90.8842    0.0449929
      90.7842    0.0463839
      90.6842     0.047817
      90.5842    0.0492945
      90.4842    0.0508193
      90.3842    0.0523913
      90.2842    0.0540122
      90.1842    0.0556824
      90.0842    0.0574046
      89.9842    0.0591778
      89.8842    0.0610071
      89.7842    0.0628913
      89.6843    0.0648357
      89.5843    0.0668402
      89.4843    0.0689053
      89.3843    0.0710335
      89.2843    0.0732252
      89.1843    0.0754865
      89.0843    0.0778163
      88.9843    0.0802175
      88.8843    0.0826965
      88.7843    0.0852513
      88.6843    0.0878857
      88.5843    0.0905998
      88.4843    0.0933929
      88.3843    0.0962731
      88.2843    0.0992407
      88.1843     0.102302
      88.0843     0.105459
      87.9843     0.108714
      87.8843     0.112072
      87.7843     0.115528
      87.6843     0.119092
      87.5843     0.122762
      87.4843     0.126544
      87.3843     0.130446
      87.2843     0.134469
      87.1843     0.138616
      87.0843     0.142889
      86.9843     0.147292
      86.8843     0.151833
      86.7843     0.156507
      86.6843     0.161331
      86.5843     0.166302
      86.4843      0.17143
      86.3843     0.176715
      86.2843     0.182154
      86.1843      0.18776
      86.0844     0.193533
      85.9844     0.199491
      85.8844     0.205629
      85.7844     0.211958
      85.6844     0.218493
      85.5844     0.225223
      85.4844     0.232159
      85.3844     0.239304
      85.2844     0.246655
      85.1844     0.254239
      85.0844     0.262057
      84.9844     0.270118
      84.8844     0.278427
      84.7844      0.28699
      84.6844     0.295821
      84.5844     0.304913
      84.4844     0.314289
      84.3844     0.323943
      84.2844     0.333896
      84.1844     0.344165
      84.0844     0.354747
      83.9844     0.365645
      83.8844     0.376876
      83.7844     0.388447
      83.6844     0.400382
      83.5844     0.412669
      83.4844     0.425356
      83.3844     0.438429
      83.2844     0.451909
      83.1844     0.465786
      83.0844      0.48007
      82.9844      0.49479
      82.8844     0.509947
      82.7844     0.525596
      82.6844     0.541725
      82.5844      0.55836
      82.4844     0.575526
      82.3845     0.593186
      82.2845     0.611387
      82.1845     0.630137
      82.0845      0.64943
      81.9845     0.669343
      81.8845     0.689871
      81.7845     0.711024
      81.6845     0.732809
      81.5845     0.755257
      81.4845     0.778414
      81.3845     0.802249
      81.2845     0.826839
      81.1845     0.852166
      81.0845     0.878281
      80.9845     0.905209
      80.8845     0.932932
      80.7845     0.961477
      80.6845     0.990897
      80.5845      1.02121
      80.4845      1.05248
      80.3845      1.08469
      80.2845      1.11796
      80.1845      1.15221
      80.0845       1.1875
      79.9845      1.22382
      79.8845      1.26121
      79.7845      1.29974
      79.6845      1.33944
      79.5845      1.38043
      79.4845      1.42265
      79.3845      1.46615
      79.2845      1.51105
      79.1845      1.55724
      79.0845      1.60484
      78.9845      1.65388
      78.8845      1.70436
      78.7846      1.75648
      78.6846      1.81017
      78.5846      1.86543
      78.4846      1.92234
      78.3846      1.98098
      78.2846      2.04149
      78.1846      2.10376
      78.0846      2.16805
      77.9846      2.23428
      77.8846      2.30252
      77.7846       2.3728
      77.6846      2.44515
      77.5846      2.51963
      77.4846       2.5964
      77.3846      2.67551
      77.2846      2.75715
      77.1846      2.84124
      77.0846      2.92804
      76.9846      3.01739
      76.8846      3.10943
      76.7846      3.20418
      76.6846       3.3017
      76.5846      3.40227
      76.4846      3.50589
      76.3846      3.61286
      76.2846      3.72286
      76.1846      3.83622
      76.0846      3.95324
      75.9846      4.07359
      75.8846      4.19767
      75.7846      4.32556
      75.6846      4.45724
      75.5846      4.59312
      75.4846      4.73289
      75.3846      4.87675
      75.2846      5.02488
      75.1846      5.17754
      75.0847       5.3351
      74.9847      5.49733
      74.8847      5.66493
      74.7847      5.83743
      74.6847      6.01496
      74.5847      6.19776
      74.4847      6.38594
      74.3847      6.57969
      74.2847       6.7795
      74.1847      6.98547
      74.0847      7.19792
      73.9847       7.4164
      73.8847      7.64196
      73.7847      7.87416
      73.6847      8.11333
      73.5847      8.35959
      73.4847      8.61312
      73.3847      8.87476
      73.2847      9.14408
      73.1847      9.42177
      73.0847      9.70725
      72.9847      10.0015
      72.8847      10.3052
      72.7847      10.6177
      72.6847        10.94
      72.5847      11.2724
      72.4847      11.6143
      72.3847      11.9667
      72.2847       12.329
      72.1847      12.7018
      72.0847      13.0857
      71.9847      13.4814
      71.8847        13.89
      71.7847      14.3109
      71.6847      14.7452
      71.5847      15.1921
      71.4847      15.6521
      71.3848      16.1256
      71.2848      16.6132
      71.1848      17.1154
      71.0848      17.6338
      70.9848      18.1677
      70.8848      18.7174
      70.7848      19.2827
      70.6848      19.8665
      70.5848      20.4674
      70.4848      21.0864
      70.3848      21.7241
      70.2848      22.3811
      70.1848      23.0587
      70.0848      23.7546
      69.9848      24.4723
      69.8848      25.2099
      69.7848      25.9702
      69.6848      26.7554
      69.5848      27.5632
      69.4848      28.3971
      69.3848      29.2558
      69.2848      30.1388
      69.1848      31.0488
      69.0848      31.9845
      68.9848      32.9475
      68.8848      33.9395
      68.7848      34.9628
      68.6848      36.0191
      68.5848      37.1049
      68.4848      38.2254
      68.3848      39.3783
      68.2848       40.565
      68.1848      41.7869
      68.0848      43.0455
      67.9848      44.3433
      67.8848      45.6818
      67.7849      47.0573
      67.6849      48.4739
      67.5849      49.9298
      67.4849      51.4342
      67.3849      52.9829
      67.2849       54.579
      67.1849      56.2256
      67.0849      57.9201
      66.9849      59.6637
      66.8849      61.4539
      66.7849      63.3005
      66.6849      65.1972
      66.5849      67.1534
      66.4849      69.1748
      66.3849      71.2563
      66.2849      73.4006
      66.1849      75.6085
      66.0849      77.8788
      65.9849      80.2189
      65.8849      82.6249
      65.7849      85.1025
      65.6849      87.6575
      65.5849      90.2911
      65.4849      93.0039
      65.3849      95.7915
      65.2849      98.6693
      65.1849       101.63
      65.0849      104.678
      64.9849      107.818
      64.8849      111.057
      64.7849      114.393
      64.6849      117.825
      64.5849      121.352
      64.4849      124.983
      64.3849      128.715
      64.2849      132.573
      64.1849      136.545
       64.085      140.645
       63.985      144.864
       63.885      149.206
       63.785      153.673
       63.685      158.259
       63.585      162.991
       63.485      167.851
       63.385      172.874
       63.285       178.06
       63.185      183.386
       63.085      188.872
       62.985      194.521
       62.885      200.329
       62.785      206.317
       62.685      212.476
       62.585      218.829
       62.485      225.374
       62.385        232.1
       62.285      239.029
       62.185      246.146
       62.085      253.497
       61.985      261.057
       61.885      268.845
       61.785      276.879
       61.685      285.143
       61.585      293.656
       61.485      302.413
       61.385      311.405
       61.285      320.667
       61.185      330.182
       61.085       340.03
       60.985      350.187
       60.885      360.638
       60.785      371.397
       60.685      382.465
       60.585      393.853
      60.4851      405.542
      60.3851      417.614
      60.2851      430.034
      60.1851      442.863
      60.0851      456.067
      59.9851       469.62
      59.8851      483.585
      59.7851      497.966
      59.6851      512.752
      59.5851      528.011
      59.4851      543.735
      59.3851      559.938
      59.2851      576.571
      59.1851      593.655
      59.0851      611.262
      58.9851      629.339
      58.8851       648.02
      58.7851      667.239
      58.6851      687.078
      58.5851      707.475
      58.4851      728.457
      58.3851      750.072
      58.2851      772.305
      58.1851      795.135
      58.0851      818.669
      57.9851      842.892
      57.8851      867.948
      57.7851      893.698
      57.6851      920.189
      57.5851      947.465
      57.4851      975.525
      57.3851       1004.4
      57.2851      1034.05
      57.1851      1064.75
      57.0851      1096.29
      56.9851      1128.76
      56.8851      1162.16
      56.7852      1196.44
      56.6852      1231.76
      56.5852      1268.14
      56.4852      1305.55
      56.3852      1344.26
      56.2852      1383.99
      56.1852      1424.93
      56.0852      1466.94
      55.9852      1510.07
      55.8852      1554.54
      55.7852      1600.18
      55.6852       1647.4
      55.5852       1696.1
      55.4852      1746.17
      55.3852      1797.63
      55.2852      1850.58
      55.1852      1905.13
      55.0852      1961.26
      54.9852       2018.9
      54.8852      2078.52
      54.7852      2139.72
      54.6852      2202.91
      54.5852      2267.76
      54.4852      2334.47
      54.3852      2403.16
      54.2852      2473.83
      54.1852      2546.57
      54.0852      2621.45
      53.9852       2698.7
      53.8852      2778.02
      53.7852      2859.66
      53.6852      2943.67
      53.5852      3029.83
      53.4852      3118.66
      53.3852      3210.19
      53.2852      3304.51
      53.1853       3401.9
      53.0853      3501.71
      52.9853      3604.62
      52.8853      3710.16
      52.7853      3818.49
      52.6853      3930.35
      52.5853      4045.47
      52.4853       4164.3
      52.3853      4286.65
      52.2853       4412.2
      52.1853      4541.24
      52.0853      4674.02
      51.9853       4810.9
      51.8853       4951.8
      51.7853      5096.94
      51.6853      5246.78
      51.5853       5400.2
      51.4853      5558.33
      51.3853      5720.54
      51.2853      5887.42
      51.1853      6059.29
      51.0853      6236.17
      50.9853      6418.62
      50.8853      6605.91
      50.7853      6798.92
      50.6853      6997.01
      50.5853      7200.93
      50.4853      7410.73
      50.3853      7625.86
      50.2853      7847.85
      50.1853      8077.03
      50.0853      8312.85
      49.9853      8555.96
      49.8853      8804.95
      49.7853      9061.82
      49.6853      9325.21
      49.5853      9595.63
      49.4854       9875.9
      49.3854      10163.8
      49.2854      10460.5
      49.1854        10765
      49.0854      11077.4
      48.9854      11398.4
      48.8854      11728.8
      48.7854      12069.7
      48.6854      12421.3
      48.5854      12782.8
      48.4854      13155.3
