    E, kcal/mol    D, mol/kcal         W1->P0
            -50              0            ***
          -49.5              0            ***
            -49              0            ***
          -48.5              0            ***
            -48              0            ***
          -47.5              0            ***
            -47              0            ***
          -46.5              0            ***
            -46              0            ***
          -45.5              0            ***
            -45              0            ***
          -44.5              0            ***
            -44              0            ***
          -43.5              0            ***
            -43              0            ***
          -42.5              0            ***
            -42              0            ***
          -41.5              0            ***
            -41              0            ***
          -40.5              0            ***
            -40              0            ***
          -39.5              0            ***
            -39              0            ***
          -38.5              0            ***
            -38              0            ***
          -37.5              0            ***
            -37              0            ***
          -36.5              0            ***
            -36              0            ***
          -35.5              0            ***
            -35              0            ***
          -34.5              0            ***
            -34              0            ***
          -33.5              0            ***
            -33              0            ***
          -32.5              0            ***
            -32              0            ***
          -31.5              0            ***
            -31              0            ***
          -30.5              0            ***
            -30              0            ***
          -29.5              0            ***
            -29              0            ***
          -28.5              0            ***
            -28              0            ***
          -27.5              0            ***
            -27              0            ***
          -26.5              0            ***
            -26              0            ***
          -25.5              0            ***
            -25              0            ***
          -24.5              0            ***
            -24              0            ***
          -23.5              0            ***
            -23              0            ***
          -22.5              0            ***
            -22              0            ***
          -21.5              0            ***
            -21              0            ***
          -20.5              0            ***
            -20              0            ***
          -19.5              0            ***
            -19              0            ***
          -18.5              0            ***
            -18              0            ***
          -17.5              0            ***
            -17              0            ***
          -16.5              0            ***
            -16              0            ***
          -15.5              0            ***
            -15              0            ***
          -14.5        1205.26              0
            -14        2868.71              0
          -13.5         3873.8              0
            -13        4667.24              0
          -12.5        5344.16              0
            -12        5944.48              0
          -11.5        6489.51              0
            -11        9343.28              0
          -10.5        10968.8              0
            -10        12270.4              0
           -9.5          13405              0
             -9        16043.7              0
           -8.5        18438.6              0
             -8        21959.9              0
           -7.5        24980.1              0
             -7        27381.3              0
           -6.5        31782.9              0
             -6        34878.1              0
           -5.5        40112.2              0
             -5        43941.6              0
           -4.5        49258.2              0
             -4          53103              0
           -3.5        60040.1              0
             -3        65926.1              0
           -2.5        72708.5              0
             -2        78262.1              0
           -1.5        85145.2              0
             -1        93354.4              0
           -0.5         100495              0
   -3.52416e-14         110299              0
            0.5         118574        61519.3
              1         128148    1.48832e+06
            1.5         137741    1.63251e+07
              2         150789    1.21637e+08
            2.5         160962    7.39822e+08
              3         174021    3.74824e+09
            3.5         184543    1.63745e+10
              4         197021    5.65374e+10
            4.5         211130    1.45618e+11
              5         227001    2.92735e+11
            5.5         241427    5.06582e+11
              6         256228    7.86014e+11
            6.5         272336    1.12588e+12
              7         287605    1.53142e+12
            7.5         307876    1.96554e+12
              8         325570    2.46626e+12
            8.5         345914    2.99425e+12
              9         364724    3.58067e+12
            9.5         387737    4.16883e+12
             10         408107    4.83385e+12
           10.5         432450    5.50829e+12
             11         454705    6.26978e+12
           11.5         479230    7.06274e+12
             12         504473    7.90561e+12
           12.5         530324     8.7976e+12
             13         559328    9.69178e+12
           13.5         585697    1.06842e+13
             14         615704    1.16606e+13
           14.5         644975    1.26975e+13
             15         677834    1.37076e+13
           15.5         708472    1.48054e+13
             16         744092    1.58439e+13
           16.5         777240    1.69834e+13
             17         812993    1.81175e+13
           17.5         850020    1.92745e+13
             18         888333    2.04528e+13
           18.5         928366    2.16407e+13
             19         968306    2.28785e+13
           19.5    1.00949e+06    2.41333e+13
             20    1.05173e+06    2.54077e+13
           20.5     1.0975e+06    2.66389e+13
             21    1.14201e+06    2.79422e+13
           21.5    1.18996e+06    2.92013e+13
             22     1.2364e+06    3.05387e+13
           22.5    1.28543e+06     3.1856e+13
             23    1.33594e+06    3.31819e+13
