Temperature = 1500K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      93.3842    0.0209545
      93.2842    0.0216047
      93.1842    0.0222742
      93.0842    0.0229649
      92.9842    0.0236762
      92.8842    0.0244097
      92.7842    0.0251664
      92.6842    0.0259464
      92.5842    0.0267505
      92.4842    0.0275788
      92.3842    0.0284332
      92.2842    0.0293135
      92.1842    0.0302207
      92.0842    0.0311566
      91.9842    0.0321217
      91.8842    0.0331172
      91.7842    0.0341435
      91.6842    0.0351997
      91.5842    0.0362889
      91.4842    0.0374111
      91.3842    0.0385686
      91.2842    0.0397615
      91.1842    0.0409919
      91.0842    0.0422614
      90.9842    0.0435694
      90.8842     0.044918
      90.7842    0.0463067
      90.6842    0.0477374
      90.5842    0.0492124
      90.4842    0.0507346
      90.3842     0.052304
      90.2842    0.0539223
      90.1842    0.0555896
      90.0842     0.057309
      89.9842    0.0590792
      89.8842    0.0609055
      89.7842    0.0627865
      89.6843    0.0647277
      89.5843    0.0667289
      89.4843    0.0687905
      89.3843    0.0709152
      89.2843    0.0731032
      89.1843    0.0753608
      89.0843    0.0776867
      88.9843    0.0800838
      88.8843    0.0825588
      88.7843    0.0851093
      88.6843    0.0877393
      88.5843    0.0904489
      88.4843    0.0932373
      88.3843    0.0961127
      88.2843    0.0990755
      88.1843     0.102132
      88.0843     0.105283
      87.9843     0.108533
      87.8843     0.111885
      87.7843     0.115336
      87.6843     0.118894
      87.5843     0.122558
      87.4843     0.126333
      87.3843     0.130228
      87.2843     0.134245
      87.1843     0.138385
      87.0843     0.142651
      86.9843     0.147047
      86.8843      0.15158
      86.7843     0.156247
      86.6843     0.161062
      86.5843     0.166025
      86.4843     0.171145
      86.3843      0.17642
      86.2843     0.181851
      86.1843     0.187448
      86.0844     0.193211
      85.9844     0.199158
      85.8844     0.205286
      85.7844     0.211605
      85.6844     0.218129
      85.5844     0.224848
      85.4844     0.231772
      85.3844     0.238905
      85.2844     0.246245
      85.1844     0.253815
      85.0844      0.26162
      84.9844     0.269668
      84.8844     0.277963
      84.7844     0.286512
      84.6844     0.295329
      84.5844     0.304405
      84.4844     0.313765
      84.3844     0.323403
      84.2844      0.33334
      84.1844     0.343591
      84.0844     0.354156
      83.9844     0.365036
      83.8844     0.376248
      83.7844       0.3878
      83.6844     0.399715
      83.5844     0.411981
      83.4844     0.424648
      83.3844     0.437699
      83.2844     0.451156
      83.1844      0.46501
      83.0844      0.47927
      82.9844     0.493966
      82.8844     0.509098
      82.7844     0.524721
      82.6844     0.540823
      82.5844      0.55743
      82.4844     0.574567
      82.3845     0.592198
      82.2845     0.610369
      82.1845     0.629088
      82.0845     0.648348
      81.9845     0.668228
      81.8845     0.688722
      81.7845      0.70984
      81.6845     0.731588
      81.5845     0.753999
      81.4845     0.777118
      81.3845     0.800913
      81.2845     0.825462
      81.1845     0.850747
      81.0845     0.876818
      80.9845     0.903701
      80.8845     0.931378
      80.7845     0.959876
      80.6845     0.989246
      80.5845      1.01951
      80.4845      1.05073
      80.3845      1.08288
      80.2845       1.1161
      80.1845      1.15029
      80.0845      1.18552
      79.9845      1.22179
      79.8845      1.25911
      79.7845      1.29758
      79.6845      1.33721
      79.5845      1.37813
      79.4845      1.42028
      79.3845      1.46371
      79.2845      1.50854
      79.1845      1.55464
      79.0845      1.60217
      78.9845      1.65113
      78.8845      1.70152
      78.7846      1.75356
      78.6846      1.80716
      78.5846      1.86233
      78.4846      1.91914
      78.3846      1.97768
      78.2846      2.03809
      78.1846      2.10026
      78.0846      2.16444
      77.9846      2.23055
      77.8846      2.29869
      77.7846      2.36885
      77.6846      2.44108
      77.5846      2.51544
      77.4846      2.59208
      77.3846      2.67105
      77.2846      2.75256
      77.1846      2.83651
      77.0846      2.92316
      76.9846      3.01237
      76.8846      3.10425
      76.7846      3.19884
      76.6846       3.2962
      76.5846      3.39661
      76.4846      3.50005
      76.3846      3.60684
      76.2846      3.71666
      76.1846      3.82983
      76.0846      3.94665
      75.9846      4.06681
      75.8846      4.19068
      75.7846      4.31836
      75.6846      4.44981
      75.5846      4.58547
      75.4846      4.72501
      75.3846      4.86863
      75.2846      5.01651
      75.1846      5.16891
      75.0847      5.32621
      74.9847      5.48817
      74.8847       5.6555
      74.7847      5.82771
      74.6847      6.00494
      74.5847      6.18744
      74.4847      6.37531
      74.3847      6.56873
      74.2847      6.76821
      74.1847      6.97384
      74.0847      7.18593
      73.9847      7.40404
      73.8847      7.62924
      73.7847      7.86104
      73.6847      8.09982
      73.5847      8.34566
      73.4847      8.59878
      73.3847      8.85998
      73.2847      9.12885
      73.1847      9.40608
      73.0847      9.69108
      72.9847      9.98481
      72.8847      10.2881
      72.7847         10.6
      72.6847      10.9217
      72.5847      11.2536
      72.4847       11.595
      72.3847      11.9467
      72.2847      12.3084
      72.1847      12.6807
      72.0847      13.0639
      71.9847      13.4589
      71.8847      13.8669
      71.7847      14.2871
      71.6847      14.7207
      71.5847      15.1668
      71.4847       15.626
      71.3848      16.0988
      71.2848      16.5855
      71.1848      17.0869
      71.0848      17.6044
      70.9848      18.1374
      70.8848      18.6863
      70.7848      19.2506
      70.6848      19.8334
      70.5848      20.4333
      70.4848      21.0513
      70.3848      21.6879
      70.2848      22.3438
      70.1848      23.0203
      70.0848      23.7151
      69.9848      24.4316
      69.8848      25.1679
      69.7848      25.9269
      69.6848      26.7108
      69.5848      27.5173
      69.4848      28.3498
      69.3848       29.207
      69.2848      30.0886
      69.1848      30.9971
      69.0848      31.9312
      68.9848      32.8927
      68.8848      33.8829
      68.7848      34.9046
      68.6848      35.9591
      68.5848      37.0431
      68.4848      38.1618
      68.3848      39.3127
      68.2848      40.4974
      68.1848      41.7173
      68.0848      42.9738
      67.9848      44.2694
      67.8848      45.6057
      67.7849       46.979
      67.6849      48.3931
      67.5849      49.8466
      67.4849      51.3485
      67.3849      52.8946
      67.2849      54.4881
      67.1849      56.1319
      67.0849      57.8236
      66.9849      59.5643
      66.8849      61.3516
      66.7849       63.195
      66.6849      65.0886
      66.5849      67.0415
      66.4849      69.0596
      66.3849      71.1376
      66.2849      73.2784
      66.1849      75.4826
      66.0849      77.7491
      65.9849      80.0853
      65.8849      82.4872
      65.7849      84.9607
      65.6849      87.5115
      65.5849      90.1407
      65.4849       92.849
      65.3849       95.632
      65.2849      98.5049
      65.1849       101.46
      65.0849      104.503
      64.9849      107.638
      64.8849      110.872
      64.7849      114.203
      64.6849      117.629
      64.5849       121.15
      64.4849      124.775
      64.3849        128.5
      64.2849      132.352
      64.1849      136.318
       64.085      140.411
       63.985      144.623
       63.885      148.958
       63.785      153.417
       63.685      157.995
       63.585      162.719
       63.485      167.572
       63.385      172.586
       63.285      177.764
       63.185       183.08
       63.085      188.557
       62.985      194.197
       62.885      199.995
       62.785      205.974
       62.685      212.122
       62.585      218.465
       62.485      224.999
       62.385      231.713
       62.285      238.631
       62.185      245.737
       62.085      253.075
       61.985      260.622
       61.885      268.397
       61.785      276.418
       61.685      284.668
       61.585      293.167
       61.485      301.909
       61.385      310.887
       61.285      320.133
       61.185      329.633
       61.085      339.463
       60.985      349.604
       60.885      360.037
       60.785      370.778
       60.685      381.828
       60.585      393.197
      60.4851      404.867
      60.3851      416.919
      60.2851      429.318
      60.1851      442.125
      60.0851      455.307
      59.9851      468.838
      59.8851       482.78
      59.7851      497.136
      59.6851      511.898
      59.5851      527.131
      59.4851      542.829
      59.3851      559.005
      59.2851       575.61
      59.1851      592.666
      59.0851      610.244
      58.9851      628.291
      58.8851       646.94
      58.7851      666.127
      58.6851      685.934
      58.5851      706.297
      58.4851      727.244
      58.3851      748.823
      58.2851      771.019
      58.1851       793.81
      58.0851      817.306
      57.9851      841.488
      57.8851      866.502
      57.7851       892.21
      57.6851      918.657
      57.5851      945.887
      57.4851        973.9
      57.3851      1002.73
      57.2851      1032.32
      57.1851      1062.98
      57.0851      1094.46
      56.9851      1126.88
      56.8851      1160.22
      56.7852      1194.44
      56.6852      1229.71
      56.5852      1266.02
      56.4852      1303.37
      56.3852      1342.02
      56.2852      1381.68
      56.1852      1422.56
      56.0852       1464.5
      55.9852      1507.55
      55.8852      1551.95
      55.7852      1597.52
      55.6852      1644.65
      55.5852      1693.27
      55.4852      1743.26
      55.3852      1794.64
      55.2852      1847.49
      55.1852      1901.96
      55.0852      1957.99
      54.9852      2015.53
      54.8852      2075.06
      54.7852      2136.16
      54.6852      2199.24
      54.5852      2263.98
      54.4852      2330.58
      54.3852      2399.16
      54.2852      2469.71
      54.1852      2542.33
      54.0852      2617.08
      53.9852       2694.2
      53.8852      2773.39
      53.7852       2854.9
      53.6852      2938.76
      53.5852      3024.78
      53.4852      3113.46
      53.3852      3204.84
      53.2852      3299.01
      53.1853      3396.24
      53.0853      3495.88
      52.9853      3598.61
      52.8853      3703.98
      52.7853      3812.13
      52.6853       3923.8
      52.5853      4038.74
      52.4853      4157.37
      52.3853      4279.51
      52.2853      4404.85
      52.1853      4533.68
      52.0853      4666.23
      51.9853      4802.88
      51.8853      4943.56
      51.7853      5088.45
      51.6853      5238.04
      51.5853      5391.21
      51.4853      5549.07
      51.3853      5711.02
      51.2853      5877.61
      51.1853       6049.2
      51.0853      6225.78
      50.9853      6407.93
      50.8853      6594.91
      50.7853      6787.59
      50.6853      6985.36
      50.5853      7188.94
      50.4853      7398.39
      50.3853      7613.16
      50.2853      7834.78
      50.1853      8063.58
      50.0853      8299.01
      49.9853      8541.71
      49.8853      8790.29
      49.7853      9046.73
      49.6853      9309.68
      49.5853      9579.64
      49.4854      9859.46
      49.3854      10146.9
      49.2854      10443.1
      49.1854      10747.1
      49.0854        11059
      48.9854      11379.4
      48.8854      11709.3
      48.7854      12049.6
      48.6854      12400.6
      48.5854      12761.5
      48.4854      13133.4
      48.3854      13513.8
      48.2854      13906.1
      48.1854      14308.3
      48.0854      14722.2
      47.9854      15148.7
      47.8854      15588.6
      47.7854      16041.8
      47.6854      16505.6
      47.5854      16983.8
      47.4854      17474.5
      47.3854      17979.8
      47.2854      18500.2
      47.1854      19035.1
      47.0854      19586.7
      46.9854      20154.8
      46.8854      20737.4
      46.7854      21338.2
      46.6854      21953.1
      46.5854      22587.9
      46.4854      23238.7
      46.3854        23908
      46.2854      24601.4
      46.1854      25311.4
      46.0854        26043
      45.9854      26793.9
      45.8854      27563.7
      45.7855      28354.7
      45.6855      29169.7
      45.5855      30012.3
      45.4855        30881
      45.3855      31770.7
      45.2855      32687.8
      45.1855      33625.3
      45.0855      34592.2
      44.9855      35583.5
      44.8855      36604.4
      44.7855      37658.7
      44.6855        38746
      44.5855      39862.4
      44.4855      41003.7
      44.3855      42181.4
      44.2855      43389.9
      44.1855      44636.2
      44.0855        45923
      43.9855      47246.3
      43.8855        48607
      43.7855      50001.9
      43.6855      51431.7
      43.5855      52906.9
      43.4855      54415.7
      43.3855      55975.6
      43.2855      57576.9
      43.1855      59222.6
      43.0855      60922.4
      42.9855      62661.2
      42.8855        64454
      42.7855      66293.2
      42.6855      68178.5
      42.5855      70116.1
      42.4855      72118.3
      42.3855      74190.2
      42.2855      76316.6
      42.1856      78493.2
      42.0856      80738.6
      41.9856      83032.4
      41.8856      85402.2
      41.7856      87837.1
      41.6856      90348.5
      41.5856      92933.6
      41.4856      95585.8
      41.3856      98307.9
      41.2856       101088
      41.1856       103960
      41.0856       106907
      40.9856       109954
      40.8856       113102
      40.7856       116322
      40.6856       119633
      40.5856       123025
      40.4856       126499
      40.3856       130088
      40.2856       133757
      40.1856       137562
      40.0856       141469
      39.9856       145459
      39.8856       149583
      39.7856       153797
      39.6856       158147
      39.5856       162607
      39.4856       167180
      39.3856       171887
      39.2856       176767
      39.1856       181786
      39.0856       186935
      38.9856       192202
      38.8856       197641
      38.7856       203194
      38.6856       208949
      38.5856       214866
      38.4857       220932
      38.3857       227177
      38.2857       233582
      38.1857       240155
      38.0857       246861
      37.9857       253801
      37.8857       260936
      37.7857       268333
      37.6857       275923
      37.5857       283685
      37.4857       291663
      37.3857       299833
      37.2857       308201
      37.1857       316859
      37.0857       325720
      36.9857       334952
      36.8857       344350
      36.7857       353939
      36.6857       363866
      36.5857       374003
      36.4857       384493
      36.3857       395280
      36.2857       406370
      36.1857       417731
      36.0857       429428
      35.9857       441457
      35.8857       453795
      35.7857       466407
      35.6857       479455
      35.5857       492788
      35.4857       506662
      35.3857       520794
      35.2857       535281
      35.1857       550198
      35.0857       565492
      34.9857       581188
      34.8858       597192
      34.7858       613816
      34.6858       630967
      34.5858       648599
      34.4858       666675
      34.3858       685162
      34.2858       704157
      34.1858       723604
      34.0858       743527
      33.9858       764215
      33.8858       785465
      33.7858       807424
      33.6858       829733
      33.5858       852463
      33.4858       876041
      33.3858       900104
      33.2858       925123
      33.1858       950932
      33.0858       977178
      32.9858  1.00404e+06
      32.8858  1.03173e+06
      32.7858  1.06021e+06
      32.6858  1.08942e+06
      32.5858  1.11928e+06
      32.4858  1.15029e+06
      32.3858   1.1821e+06
      32.2858  1.21487e+06
      32.1858  1.24819e+06
      32.0858  1.28234e+06
      31.9858  1.31753e+06
      31.8858  1.35361e+06
      31.7858  1.39067e+06
      31.6858  1.42849e+06
      31.5858   1.4681e+06
      31.4858  1.50846e+06
      31.3858  1.54996e+06
      31.2858  1.59247e+06
      31.1859  1.63598e+06
      31.0859  1.68071e+06
      30.9859   1.7266e+06
      30.8859  1.77381e+06
      30.7859   1.8223e+06
      30.6859  1.87211e+06
      30.5859  1.92366e+06
      30.4859  1.97591e+06
      30.3859  2.02908e+06
      30.2859  2.08442e+06
      30.1859  2.14094e+06
      30.0859  2.20032e+06
      29.9859  2.26068e+06
      29.8859  2.32191e+06
      29.7859  2.38452e+06
      29.6859   2.4492e+06
      29.5859  2.51575e+06
      29.4859  2.58408e+06
      29.3859  2.65404e+06
      29.2859  2.72746e+06
      29.1859  2.80148e+06
      29.0859  2.87783e+06
      28.9859  2.95527e+06
      28.8859  3.03464e+06
      28.7859  3.11655e+06
      28.6859   3.2006e+06
      28.5859  3.28718e+06
      28.4859  3.37623e+06
      28.3859  3.46829e+06
      28.2859  3.56188e+06
      28.1859   3.6582e+06
      28.0859  3.75679e+06
      27.9859  3.85792e+06
      27.8859  3.96217e+06
      27.7859  4.06997e+06
      27.6859  4.17892e+06
       27.586  4.29082e+06
       27.486  4.40579e+06
       27.386  4.52515e+06
       27.286  4.64576e+06
       27.186   4.7684e+06
       27.086  4.89689e+06
       26.986  5.02917e+06
       26.886   5.1664e+06
       26.786  5.30539e+06
       26.686    5.446e+06
       26.586  5.58966e+06
       26.486   5.7385e+06
       26.386  5.89193e+06
       26.286  6.04998e+06
       26.186  6.21368e+06
       26.086  6.38261e+06
       25.986  6.55214e+06
       25.886  6.72726e+06
       25.786  6.90446e+06
       25.686  7.08637e+06
       25.586  7.27501e+06
       25.486  7.47068e+06
       25.386  7.66788e+06
       25.286  7.87083e+06
       25.186  8.08112e+06
       25.086  8.29442e+06
       24.986  8.51432e+06
       24.886  8.73933e+06
       24.786  8.97138e+06
       24.686  9.21375e+06
       24.586   9.4586e+06
       24.486    9.705e+06
       24.386  9.95816e+06
       24.286  1.02184e+07
       24.186  1.04898e+07
       24.086  1.07632e+07
       23.986  1.10414e+07
      23.8861   1.1339e+07
      23.7861  1.16368e+07
      23.6861  1.19473e+07
      23.5861    1.226e+07
      23.4861   1.2575e+07
      23.3861  1.28965e+07
      23.2861  1.32304e+07
      23.1861   1.3575e+07
      23.0861  1.39305e+07
      22.9861  1.42999e+07
      22.8861  1.46818e+07
      22.7861  1.50629e+07
      22.6861  1.54578e+07
      22.5861  1.58566e+07
      22.4861  1.62681e+07
      22.3861  1.67033e+07
      22.2861  1.71423e+07
      22.1861  1.75826e+07
      22.0861  1.80363e+07
      21.9861  1.85084e+07
      21.8861  1.89861e+07
      21.7861  1.94805e+07
      21.6861  1.99878e+07
      21.5861  2.05232e+07
      21.4861   2.1066e+07
      21.3861  2.16119e+07
      21.2861  2.21584e+07
      21.1861  2.27206e+07
      21.0861  2.32995e+07
      20.9861  2.39087e+07
      20.8861   2.4521e+07
      20.7861  2.51577e+07
      20.6861  2.58217e+07
      20.5861  2.64802e+07
      20.4861  2.71728e+07
      20.3861  2.78665e+07
      20.2861  2.85629e+07
      20.1862  2.92768e+07
      20.0862  3.00374e+07
      19.9862  3.07937e+07
      19.8862  3.15757e+07
      19.7862   3.2392e+07
      19.6862  3.32389e+07
      19.5862  3.40778e+07
      19.4862  3.49518e+07
      19.3862  3.58349e+07
      19.2862  3.67722e+07
      19.1862  3.77303e+07
      19.0862  3.86916e+07
      18.9862  3.96487e+07
      18.8862  4.06376e+07
      18.7862  4.16731e+07
      18.6862  4.27187e+07
      18.5862  4.38094e+07
      18.4862  4.49624e+07
      18.3862  4.61318e+07
      18.2862  4.73126e+07
      18.1862  4.84918e+07
      18.0862  4.96618e+07
      17.9862  5.08667e+07
      17.8862  5.21081e+07
      17.7862  5.34298e+07
      17.6862  5.47479e+07
      17.5862  5.61261e+07
      17.4862  5.75727e+07
      17.3862  5.89907e+07
      17.2862  6.05027e+07
      17.1862  6.20073e+07
      17.0862  6.35166e+07
      16.9862  6.51205e+07
      16.8862  6.67548e+07
      16.7862  6.83637e+07
      16.6862  7.00335e+07
      16.5863  7.17908e+07
      16.4863  7.36243e+07
      16.3863  7.54241e+07
      16.2863  7.73211e+07
      16.1863  7.92791e+07
      16.0863  8.13081e+07
      15.9863  8.33525e+07
      15.8863  8.53864e+07
      15.7863   8.7389e+07
      15.6863  8.94651e+07
      15.5863   9.1658e+07
      15.4863  9.38601e+07
      15.3863  9.61745e+07
      15.2863   9.8651e+07
      15.1863  1.01156e+08
      15.0863  1.03677e+08
      14.9863  1.06177e+08
      14.8863  1.08637e+08
      14.7863  1.11198e+08
      14.6863  1.13938e+08
      14.5863   1.1675e+08
      14.4863  1.19497e+08
      14.3863  1.22397e+08
      14.2863  1.25474e+08
      14.1863  1.28445e+08
      14.0863  1.31682e+08
      13.9863  1.34889e+08
      13.8863  1.38179e+08
      13.7863  1.41604e+08
      13.6863  1.45008e+08
      13.5863  1.48308e+08
      13.4863  1.51759e+08
      13.3863   1.5544e+08
      13.2863  1.59323e+08
      13.1863  1.63103e+08
      13.0863  1.67234e+08
      12.9863  1.71411e+08
      12.8864  1.75619e+08
      12.7864   1.7983e+08
      12.6864  1.83965e+08
      12.5864  1.87967e+08
      12.4864  1.92141e+08
      12.3864  1.96615e+08
      12.2864  2.01072e+08
      12.1864  2.05816e+08
      12.0864  2.10993e+08
      11.9864  2.16217e+08
      11.8864  2.21455e+08
      11.7864  2.26607e+08
      11.6864  2.31652e+08
      11.5864  2.37124e+08
      11.4864  2.42893e+08
      11.3864  2.48609e+08
      11.2864  2.54087e+08
      11.1864  2.59966e+08
      11.0864  2.66317e+08
      10.9864   2.7233e+08
      10.8864  2.79122e+08
      10.7864  2.85968e+08
      10.6864  2.92852e+08
      10.5864  2.99724e+08
      10.4864  3.06458e+08
      10.3864  3.12816e+08
      10.2864  3.19538e+08
      10.1864  3.26861e+08
      10.0864  3.34694e+08
      9.98643  3.42156e+08
      9.88643  3.50569e+08
      9.78644  3.59051e+08
      9.68644  3.67564e+08
      9.58644  3.76033e+08
      9.48645  3.84255e+08
      9.38645  3.92115e+08
      9.28645  4.00753e+08
      9.18645  4.09912e+08
      9.08646  4.18412e+08
      8.98646  4.27665e+08
      8.88646  4.38099e+08
      8.78646  4.48603e+08
      8.68647  4.59104e+08
      8.58647   4.6937e+08
      8.48647  4.79624e+08
      8.38648  4.90829e+08
      8.28648  5.01966e+08
      8.18648  5.12802e+08
      8.08648  5.22806e+08
      7.98649  5.33838e+08
      7.88649  5.46096e+08
      7.78649  5.57229e+08
      7.68649  5.70469e+08
       7.5865  5.83723e+08
       7.4865  5.96935e+08
       7.3865  6.09959e+08
      7.28651  6.22425e+08
      7.18651  6.33651e+08
      7.08651  6.45796e+08
      6.98651  6.59567e+08
      6.88652  6.74678e+08
      6.78652  6.88588e+08
      6.68652  7.05161e+08
      6.58652  7.21844e+08
      6.48653  7.38558e+08
      6.38653  7.55147e+08
      6.28653  7.71143e+08
      6.18654  7.86779e+08
      6.08654  8.04405e+08
      5.98654  8.21521e+08
      5.88654  8.36573e+08
      5.78655  8.53716e+08
      5.68655  8.74216e+08
      5.58655  8.94908e+08
      5.48655  9.15741e+08
      5.38656  9.36647e+08
      5.28656  9.57528e+08
      5.18656   9.7823e+08
      5.08657   9.9848e+08
      4.98657  1.01759e+09
      4.88657  1.03404e+09
      4.78657  1.05328e+09
      4.68658  1.07584e+09
      4.58658  1.09496e+09
      4.48658  1.11996e+09
      4.38658  1.14487e+09
      4.28659  1.16954e+09
      4.18659  1.19362e+09
      4.08659  1.21613e+09
       3.9866  1.23541e+09
       3.8866  1.25881e+09
       3.7866  1.28691e+09
       3.6866  1.31431e+09
      3.58661  1.33798e+09
      3.48661  1.36924e+09
      3.38661  1.40071e+09
      3.28661  1.43231e+09
      3.18662  1.46393e+09
      3.08662  1.49538e+09
      2.98662  1.52641e+09
      2.88663  1.55656e+09
      2.78663  1.58469e+09
      2.68663  1.60632e+09
      2.58663  1.63358e+09
      2.48664   1.6701e+09
