Temperature = 1985K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W1
      122.298    0.0662577
      122.198    0.0677946
      122.098    0.0693683
      121.998    0.0709775
      121.898    0.0726248
      121.798    0.0743091
      121.698    0.0760316
      121.598    0.0777946
      121.498    0.0795975
      121.398    0.0814438
      121.298    0.0833326
      121.198    0.0852652
      121.098    0.0872422
      120.998    0.0892638
      120.898     0.091333
      120.798    0.0934486
      120.698    0.0956124
      120.598    0.0978282
      120.498     0.100095
      120.398     0.102416
      120.298     0.104788
      120.198     0.107216
      120.098     0.109699
      119.998     0.112238
      119.898     0.114838
      119.798     0.117497
      119.698     0.120218
      119.598     0.123003
      119.498     0.125851
      119.398     0.128764
      119.298     0.131745
      119.198     0.134794
      119.098     0.137914
      118.998     0.141107
      118.898     0.144375
      118.798     0.147716
      118.698     0.151135
      118.598     0.154631
      118.498     0.158205
      118.398     0.161864
      118.298     0.165607
      118.198      0.16944
      118.098     0.173361
      117.998      0.17737
      117.898     0.181472
      117.798     0.185666
      117.698     0.189959
      117.598      0.19435
      117.498      0.19884
      117.398     0.203439
      117.298     0.208141
      117.198     0.212954
      117.098     0.217873
      116.998     0.222907
      116.898     0.228056
      116.798     0.233323
      116.698     0.238717
      116.598     0.244232
      116.498     0.249874
      116.398     0.255645
      116.298     0.261548
      116.198     0.267585
      116.098     0.273761
      115.998     0.280082
      115.898     0.286551
      115.798     0.293168
      115.698     0.299939
      115.598      0.30686
      115.498     0.313942
      115.398     0.321183
      115.298     0.328588
      115.198     0.336169
      115.098     0.343925
      114.998     0.351869
      114.899     0.359987
      114.799     0.368289
      114.699     0.376782
      114.599     0.385468
      114.499     0.394361
      114.399     0.403458
      114.299     0.412761
      114.199     0.422284
      114.099     0.432015
      113.999     0.441978
      113.899     0.452159
      113.799     0.462577
      113.699     0.473237
      113.599     0.484146
      113.499     0.495313
      113.399     0.506728
      113.299       0.5184
      113.199     0.530337
      113.099     0.542547
      112.999     0.555033
      112.899     0.567813
      112.799     0.580894
      112.699     0.594279
      112.599     0.607961
      112.499     0.621962
      112.399     0.636273
      112.299     0.650919
      112.199     0.665895
      112.099     0.681215
      111.999     0.696897
      111.899     0.712936
      111.799     0.729353
      111.699     0.746129
      111.599     0.763286
      111.499      0.78084
      111.399     0.798794
      111.299     0.817185
      111.199     0.835993
      111.099      0.85522
      110.999     0.874889
      110.899     0.894984
      110.799     0.915561
      110.699     0.936586
      110.599     0.958108
      110.499     0.980136
      110.399      1.00267
      110.299      1.02572
      110.199      1.04929
      110.099      1.07338
      109.999      1.09802
      109.899      1.12323
      109.799      1.14901
      109.699       1.1754
      109.599      1.20242
      109.499      1.23003
      109.399      1.25827
      109.299      1.28716
      109.199      1.31669
      109.099      1.34692
      108.999      1.37784
      108.899      1.40947
      108.799      1.44183
      108.699       1.4749
      108.599      1.50876
      108.499      1.54335
      108.399      1.57873
      108.299      1.61494
      108.199      1.65198
      108.099      1.68992
      107.999      1.72869
      107.899      1.76832
      107.799      1.80885
      107.699      1.85027
      107.599      1.89269
      107.499      1.93603
      107.399      1.98042
      107.299      2.02584
      107.199      2.07227
      107.099      2.11976
      106.999      2.16831
      106.899      2.21795
      106.799      2.26874
      106.699       2.3207
      106.599      2.37384
      106.499      2.42824
      106.399      2.48386
      106.299      2.54073
      106.199      2.59886
      106.099      2.65835
      105.999      2.71917
      105.899      2.78148
      105.799      2.84518
      105.699      2.91032
      105.599      2.97691
      105.499      3.04496
      105.399      3.11462
      105.299       3.1858
      105.199      3.25861
      105.099      3.33316
      104.999      3.40942
      104.899      3.48744
      104.799      3.56716
      104.699      3.64865
      104.599      3.73202
      104.499      3.81719
      104.399      3.90444
      104.299      3.99363
      104.199      4.08498
      104.099      4.17835
      103.999      4.27378
      103.899      4.37141
      103.799      4.47121
      103.699      4.57329
      103.599      4.67778
      103.499      4.78467
      103.399      4.89393
      103.299      5.00568
      103.199      5.11992
      103.099      5.23674
      102.999      5.35614
      102.899      5.47839
      102.799       5.6034
      102.699      5.73146
      102.599      5.86225
      102.499      5.99598
      102.399      6.13267
      102.299      6.27237
      102.199       6.4154
      102.099      6.56155
      101.999      6.71117
      101.899      6.86431
      101.799      7.02079
      101.699      7.18089
      101.599       7.3445
      101.499      7.51173
      101.399      7.68286
      101.299      7.85778
      101.199      8.03695
      101.099      8.22002
      100.999      8.40734
      100.899      8.59879
      100.799      8.79447
      100.699      8.99467
      100.599      9.19934
      100.499      9.40884
      100.399      9.62321
      100.299      9.84226
      100.199      10.0662
      100.099      10.2952
      99.9989      10.5292
      99.8989      10.7686
      99.7989      11.0134
      99.6989      11.2641
      99.5989      11.5204
      99.4989      11.7828
      99.3989      12.0506
      99.2989      12.3245
      99.1989      12.6044
      99.0989      12.8905
      98.9989      13.1835
      98.8989      13.4832
      98.7989      13.7898
      98.6989      14.1033
      98.5989      14.4237
       98.499      14.7514
