*F - collisional frequency
*Q - minimal relaxational eigenvalue
*E - eigenvalue
*P - eigenvector projection squared on the relaxational subspace
 Temperature,    Pressure,          *F,         *Q/F         *E/F           *P
            K         torr        1/sec                        W1           W1
          700          500  2.03642e+09    0.0188973  4.19326e-05   0.00220237
          700          600  2.44371e+09    0.0188069  4.07737e-05   0.00213959
          700          700  2.85099e+09    0.0187306  3.98094e-05   0.00208737
          700          800  3.25828e+09    0.0186647  3.89857e-05   0.00204276
          700          900  3.66556e+09    0.0186066  3.82681e-05    0.0020039
          700         1000  4.07285e+09    0.0185548  3.76332e-05   0.00196951
          700         2000   8.1457e+09    0.0182154  3.36204e-05   0.00175223
          700         3000  1.22185e+10    0.0180183  3.14031e-05   0.00163219
          700         4000  1.62914e+10    0.0178791  2.98867e-05   0.00155011
          700         5000  2.03642e+10    0.0177715  2.87424e-05   0.00148815
          700         6000  2.44371e+10    0.0176837  2.78276e-05   0.00143863
          700         7000  2.85099e+10    0.0176097  2.70681e-05    0.0013975
          700         8000  3.25828e+10    0.0175456  2.64205e-05   0.00136242
          700         9000  3.66556e+10    0.0174891  2.58569e-05   0.00133189
          700        10000  4.07285e+10    0.0174386  2.53589e-05   0.00130491
          700        20000   8.1457e+10    0.0171066  2.22195e-05   0.00113458
